id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,null
2,comment,comment,0,null,block
3,comment,block,1,comment,documentation
4,comment,documentation,2,block,null
5,comment,comment,0,null,line
6,comment,line,1,comment,null
7,comment,comment,0,null,line
8,comment,line,1,comment,character
9,comment,character,2,line,null
10,comment,comment,0,null,line
11,comment,line,1,comment,double-dash
12,comment,double-dash,2,line,null
13,comment,comment,0,null,line
14,comment,line,1,comment,double-slash
15,comment,double-slash,2,line,null
16,comment,comment,0,null,line
17,comment,line,1,comment,number-sign
18,comment,number-sign,2,line,null
19,comment,comment,0,null,line
20,comment,line,1,comment,percentage
21,comment,percentage,2,line,null
22,constant,constant,0,null,character
23,constant,character,1,constant,escape
24,constant,escape,2,character,null
25,constant,constant,0,null,language
26,constant,language,1,constant,null
27,constant,constant,0,null,numeric
28,constant,numeric,1,constant,null
29,constant,constant,0,null,numeric
30,constant,numeric,1,constant,complex
31,constant,complex,2,numeric,null
32,constant,constant,0,null,numeric
33,constant,numeric,1,constant,complex
34,constant,complex,2,numeric,imaginary
35,constant,imaginary,3,complex,null
36,constant,constant,0,null,numeric
37,constant,numeric,1,constant,complex
38,constant,complex,2,numeric,real
39,constant,real,3,complex,null
40,constant,constant,0,null,numeric
41,constant,numeric,1,constant,float
42,constant,float,2,numeric,null
43,constant,constant,0,null,numeric
44,constant,numeric,1,constant,float
45,constant,float,2,numeric,binary
46,constant,binary,3,float,null
47,constant,constant,0,null,numeric
48,constant,numeric,1,constant,float
49,constant,float,2,numeric,decimal
50,constant,decimal,3,float,null
51,constant,constant,0,null,numeric
52,constant,numeric,1,constant,float
53,constant,float,2,numeric,hexadecimal
54,constant,hexadecimal,3,float,null
55,constant,constant,0,null,numeric
56,constant,numeric,1,constant,float
57,constant,float,2,numeric,octal
58,constant,octal,3,float,null
59,constant,constant,0,null,numeric
60,constant,numeric,1,constant,float
61,constant,float,2,numeric,other
62,constant,other,3,float,null
63,constant,constant,0,null,numeric
64,constant,numeric,1,constant,integer
65,constant,integer,2,numeric,null
66,constant,constant,0,null,numeric
67,constant,numeric,1,constant,integer
68,constant,integer,2,numeric,binary
69,constant,binary,3,integer,null
70,constant,constant,0,null,numeric
71,constant,numeric,1,constant,integer
72,constant,integer,2,numeric,decimal
73,constant,decimal,3,integer,null
74,constant,constant,0,null,numeric
75,constant,numeric,1,constant,integer
76,constant,integer,2,numeric,hexadecimal
77,constant,hexadecimal,3,integer,null
78,constant,constant,0,null,numeric
79,constant,numeric,1,constant,integer
80,constant,integer,2,numeric,octal
81,constant,octal,3,integer,null
82,constant,constant,0,null,numeric
83,constant,numeric,1,constant,integer
84,constant,integer,2,numeric,other
85,constant,other,3,integer,null
86,constant,constant,0,null,other
87,constant,other,1,constant,null
88,constant,constant,0,null,other
89,constant,other,1,constant,placeholder
90,constant,placeholder,2,other,null
91,constant,constant,0,null,regexp
92,constant,regexp,1,constant,null
93,entity,entity,0,null,name
94,entity,name,1,entity,class
95,entity,class,2,name,null
96,entity,entity,0,null,name
97,entity,name,1,entity,class
98,entity,class,2,name,forward-decl
99,entity,forward-decl,3,class,null
100,entity,entity,0,null,name
101,entity,name,1,entity,constant
102,entity,constant,2,name,null
103,entity,entity,0,null,name
104,entity,name,1,entity,decorator
105,entity,decorator,2,name,null
106,entity,entity,0,null,name
107,entity,name,1,entity,enum
108,entity,enum,2,name,null
109,entity,entity,0,null,name
110,entity,name,1,entity,function
111,entity,function,2,name,null
112,entity,entity,0,null,name
113,entity,name,1,entity,function
114,entity,function,2,name,constructor
115,entity,constructor,3,function,null
116,entity,entity,0,null,name
117,entity,name,1,entity,function
118,entity,function,2,name,destructor
119,entity,destructor,3,function,null
120,entity,entity,0,null,name
121,entity,name,1,entity,function
122,entity,function,2,name,member
123,entity,member,3,function,null
124,entity,entity,0,null,name
125,entity,name,1,entity,function
126,entity,function,2,name,preprocessor
127,entity,preprocessor,3,function,null
128,entity,entity,0,null,name
129,entity,name,1,entity,impl
130,entity,impl,2,name,null
131,entity,entity,0,null,name
132,entity,name,1,entity,interface
133,entity,interface,2,name,null
134,entity,entity,0,null,name
135,entity,name,1,entity,label
136,entity,label,2,name,null
137,entity,entity,0,null,name
138,entity,name,1,entity,namespace
139,entity,namespace,2,name,null
140,entity,entity,0,null,name
141,entity,name,1,entity,section
142,entity,section,2,name,null
143,entity,entity,0,null,name
144,entity,name,1,entity,struct
145,entity,struct,2,name,null
146,entity,entity,0,null,name
147,entity,name,1,entity,tag
148,entity,tag,2,name,null
149,entity,entity,0,null,name
150,entity,name,1,entity,trait
151,entity,trait,2,name,null
152,entity,entity,0,null,name
153,entity,name,1,entity,type
154,entity,type,2,name,null
155,entity,entity,0,null,name
156,entity,name,1,entity,type
157,entity,type,2,name,class
158,entity,class,3,type,null
159,entity,entity,0,null,name
160,entity,name,1,entity,type
161,entity,type,2,name,enum
162,entity,enum,3,type,null
163,entity,entity,0,null,name
164,entity,name,1,entity,type
165,entity,type,2,name,interface
166,entity,interface,3,type,null
167,entity,entity,0,null,name
168,entity,name,1,entity,type
169,entity,type,2,name,parameter
170,entity,parameter,3,type,null
171,entity,entity,0,null,name
172,entity,name,1,entity,type
173,entity,type,2,name,struct
174,entity,struct,3,type,null
175,entity,entity,0,null,name
