id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,at-sign
2,comment,at-sign,2,block,bibtex
3,comment,bibtex,3,at-sign,null
4,comment,comment,0,null,block
5,comment,block,1,comment,bibtex
6,comment,bibtex,2,block,null
7,constant,constant,0,null,numeric
8,constant,numeric,1,constant,bibtex
9,constant,bibtex,2,numeric,null
10,entity,entity,0,null,name
11,entity,name,1,entity,type
12,entity,type,2,name,entry-key
13,entity,entry-key,3,type,bibtex
14,entity,bibtex,4,entry-key,null
15,keyword,keyword,0,null,operator
16,keyword,operator,1,keyword,bibtex
17,keyword,bibtex,2,operator,null
18,keyword,keyword,0,null,other
19,keyword,other,1,keyword,entry-type
20,keyword,entry-type,2,other,bibtex
21,keyword,bibtex,3,entry-type,null
22,keyword,keyword,0,null,other
23,keyword,other,1,keyword,preamble
24,keyword,preamble,2,other,bibtex
25,keyword,bibtex,3,preamble,null
26,keyword,keyword,0,null,other
27,keyword,other,1,keyword,string-constant
28,keyword,string-constant,2,other,bibtex
29,keyword,bibtex,3,string-constant,null
30,meta,meta,0,null,entry
31,meta,entry,1,meta,braces
32,meta,braces,2,entry,bibtex
33,meta,bibtex,3,braces,null
34,meta,meta,0,null,entry
35,meta,entry,1,meta,parenthesis
36,meta,parenthesis,2,entry,bibtex
37,meta,bibtex,3,parenthesis,null
38,meta,meta,0,null,key-assignment
39,meta,key-assignment,1,meta,bibtex
40,meta,bibtex,2,key-assignment,null
41,meta,meta,0,null,preamble
42,meta,preamble,1,meta,braces
43,meta,braces,2,preamble,bibtex
44,meta,bibtex,3,braces,null
45,meta,meta,0,null,preamble
46,meta,preamble,1,meta,parenthesis
47,meta,parenthesis,2,preamble,bibtex
48,meta,bibtex,3,parenthesis,null
49,meta,meta,0,null,string-constant
50,meta,string-constant,1,meta,braces
51,meta,braces,2,string-constant,bibtex
52,meta,bibtex,3,braces,null
53,meta,meta,0,null,string-constant
54,meta,string-constant,1,meta,parenthesis
55,meta,parenthesis,2,string-constant,bibtex
56,meta,bibtex,3,parenthesis,null
57,punctuation,punctuation,0,null,definition
58,punctuation,definition,1,punctuation,comment
59,punctuation,comment,2,definition,bibtex
60,punctuation,bibtex,3,comment,null
61,punctuation,punctuation,0,null,definition
62,punctuation,definition,1,punctuation,group
63,punctuation,group,2,definition,begin
64,punctuation,begin,3,group,bibtex
65,punctuation,bibtex,4,begin,null
66,punctuation,punctuation,0,null,definition
67,punctuation,definition,1,punctuation,group
68,punctuation,group,2,definition,end
69,punctuation,end,3,group,bibtex
70,punctuation,bibtex,4,end,null
71,punctuation,punctuation,0,null,definition
72,punctuation,definition,1,punctuation,keyword
73,punctuation,keyword,2,definition,bibtex
74,punctuation,bibtex,3,keyword,null
75,punctuation,punctuation,0,null,definition
76,punctuation,definition,1,punctuation,string
77,punctuation,string,2,definition,begin
78,punctuation,begin,3,string,bibtex
79,punctuation,bibtex,4,begin,null
80,punctuation,punctuation,0,null,definition
81,punctuation,definition,1,punctuation,string
82,punctuation,string,2,definition,end
83,punctuation,end,3,string,bibtex
84,punctuation,bibtex,4,end,null
85,punctuation,punctuation,0,null,section
86,punctuation,section,1,punctuation,entry
87,punctuation,entry,2,section,begin
88,punctuation,begin,3,entry,bibtex
89,punctuation,bibtex,4,begin,null
90,punctuation,punctuation,0,null,section
91,punctuation,section,1,punctuation,entry
92,punctuation,entry,2,section,end
93,punctuation,end,3,entry,bibtex
94,punctuation,bibtex,4,end,null
95,punctuation,punctuation,0,null,section
96,punctuation,section,1,punctuation,preamble
97,punctuation,preamble,2,section,begin
98,punctuation,begin,3,preamble,bibtex
99,punctuation,bibtex,4,begin,null
100,punctuation,punctuation,0,null,section
101,punctuation,section,1,punctuation,preamble
102,punctuation,preamble,2,section,end
103,punctuation,end,3,preamble,bibtex
104,punctuation,bibtex,4,end,null
105,punctuation,punctuation,0,null,section
106,punctuation,section,1,punctuation,string-constant
107,punctuation,string-constant,2,section,begin
108,punctuation,begin,3,string-constant,bibtex
109,punctuation,bibtex,4,begin,null
110,punctuation,punctuation,0,null,section
111,punctuation,section,1,punctuation,string-constant
112,punctuation,string-constant,2,section,end
113,punctuation,end,3,string-constant,bibtex
114,punctuation,bibtex,4,end,null
115,punctuation,punctuation,0,null,separator
116,punctuation,separator,1,punctuation,key-value
117,punctuation,key-value,2,separator,bibtex
118,punctuation,bibtex,3,key-value,null
119,support,support,0,null,function
120,support,function,1,support,key
121,support,key,2,function,bibtex
122,support,bibtex,3,key,null
123,support,support,0,null,variable
124,support,variable,1,support,bibtex
125,support,bibtex,2,variable,null
126,variable,variable,0,null,other
127,variable,other,1,variable,bibtex
128,variable,bibtex,2,other,null
