id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,handlebars
2,comment,handlebars,2,block,null
3,comment,comment,0,null,block
4,comment,block,1,comment,html
5,comment,html,2,block,null
6,comment,comment,0,null,block
7,comment,block,1,comment,js
8,comment,js,2,block,null
9,comment,comment,0,null,line
10,comment,line,1,comment,double-slash
11,comment,double-slash,2,line,js
12,comment,js,3,double-slash,null
13,constant,constant,0,null,character
14,constant,character,1,constant,entity
15,constant,entity,2,character,html
16,constant,html,3,entity,null
17,constant,constant,0,null,character
18,constant,character,1,constant,escape
19,constant,escape,2,character,js
20,constant,js,3,escape,null
21,constant,constant,0,null,other
22,constant,other,1,constant,inline-data
23,constant,inline-data,2,other,html
24,constant,html,3,inline-data,null
25,entity,entity,0,null,name
26,entity,name,1,entity,tag
27,entity,tag,2,name,block
28,entity,block,3,tag,any
29,entity,any,4,block,html
30,entity,html,5,any,null
31,entity,entity,0,null,name
32,entity,name,1,entity,tag
33,entity,tag,2,name,doctype
34,entity,doctype,3,tag,html
35,entity,html,4,doctype,null
36,entity,entity,0,null,name
37,entity,name,1,entity,tag
38,entity,tag,2,name,html
39,entity,html,3,tag,null
40,entity,entity,0,null,name
41,entity,name,1,entity,tag
42,entity,tag,2,name,inline
43,entity,inline,3,tag,any
44,entity,any,4,inline,html
45,entity,html,5,any,null
46,entity,entity,0,null,name
47,entity,name,1,entity,tag
48,entity,tag,2,name,other
49,entity,other,3,tag,html
50,entity,html,4,other,null
51,entity,entity,0,null,name
52,entity,name,1,entity,tag
53,entity,tag,2,name,script
54,entity,script,3,tag,html
55,entity,html,4,script,null
56,entity,entity,0,null,name
57,entity,name,1,entity,tag
58,entity,tag,2,name,structure
59,entity,structure,3,tag,any
60,entity,any,4,structure,html
61,entity,html,5,any,null
62,entity,entity,0,null,name
63,entity,name,1,entity,tag
64,entity,tag,2,name,style
65,entity,style,3,tag,html
66,entity,html,4,style,null
67,entity,entity,0,null,name
68,entity,name,1,entity,tag
69,entity,tag,2,name,tokenised
70,entity,tokenised,3,tag,html
71,entity,html,4,tokenised,null
72,entity,entity,0,null,name
73,entity,name,1,entity,tag
74,entity,tag,2,name,xml
75,entity,xml,3,tag,html
76,entity,html,4,xml,null
77,entity,entity,0,null,other
78,entity,other,1,entity,attribute-name
79,entity,attribute-name,2,other,generic
80,entity,generic,3,attribute-name,html
81,entity,html,4,generic,null
82,entity,entity,0,null,other
83,entity,other,1,entity,attribute-name
84,entity,attribute-name,2,other,handlebars
85,entity,handlebars,3,attribute-name,null
86,entity,entity,0,null,other
87,entity,other,1,entity,attribute-name
88,entity,attribute-name,2,other,html
89,entity,html,3,attribute-name,null
90,entity,entity,0,null,other
91,entity,other,1,entity,attribute-name
92,entity,attribute-name,2,other,id
93,entity,id,3,attribute-name,html
94,entity,html,4,id,null
95,entity,entity,0,null,other
96,entity,other,1,entity,attribute-value
97,entity,attribute-value,2,other,handlebars
98,entity,handlebars,3,attribute-value,null
99,invalid,invalid,0,null,illegal
100,invalid,illegal,1,invalid,bad-ampersand
101,invalid,bad-ampersand,2,illegal,html
102,invalid,html,3,bad-ampersand,null
103,invalid,invalid,0,null,illegal
104,invalid,illegal,1,invalid,bad-angle-bracket
105,invalid,bad-angle-bracket,2,illegal,html
106,invalid,html,3,bad-angle-bracket,null
107,invalid,invalid,0,null,illegal
108,invalid,illegal,1,invalid,bad-comments-or-CDATA
109,invalid,bad-comments-or-CDATA,2,illegal,html
110,invalid,html,3,bad-comments-or-CDATA,null
111,invalid,invalid,0,null,illegal
112,invalid,illegal,1,invalid,incomplete
113,invalid,incomplete,2,illegal,html
114,invalid,html,3,incomplete,null
115,keyword,keyword,0,null,annotation
116,keyword,annotation,1,keyword,handlebars
117,keyword,handlebars,2,annotation,null
118,keyword,keyword,0,null,control
119,keyword,control,1,keyword,null
120,markup,markup,0,null,raw
121,markup,raw,1,markup,yaml
122,markup,yaml,2,raw,front-matter
123,markup,front-matter,3,yaml,null
124,meta,meta,0,null,attribute-with-value
125,meta,attribute-with-value,1,meta,id
126,meta,id,2,attribute-with-value,html
127,meta,html,3,id,null
128,meta,meta,0,null,function
129,meta,function,1,meta,block
130,meta,block,2,function,end
131,meta,end,3,block,handlebars
132,meta,handlebars,4,end,null
133,meta,meta,0,null,function
134,meta,function,1,meta,block
135,meta,block,2,function,start
