id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,documentation
2,comment,documentation,2,block,json
3,comment,json,3,documentation,comments
4,comment,comments,4,json,null
5,comment,comment,0,null,block
6,comment,block,1,comment,json
7,comment,json,2,block,comments
8,comment,comments,3,json,null
9,comment,comment,0,null,line
10,comment,line,1,comment,double-slash
11,comment,double-slash,2,line,js
12,comment,js,3,double-slash,null
13,constant,constant,0,null,character
14,constant,character,1,constant,escape
15,constant,escape,2,character,json
16,constant,json,3,escape,comments
17,constant,comments,4,json,null
18,constant,constant,0,null,language
19,constant,language,1,constant,json
20,constant,json,2,language,comments
21,constant,comments,3,json,null
22,constant,constant,0,null,numeric
23,constant,numeric,1,constant,json
24,constant,json,2,numeric,comments
25,constant,comments,3,json,null
26,invalid,invalid,0,null,illegal
27,invalid,illegal,1,invalid,expected-array-separator
28,invalid,expected-array-separator,2,illegal,json
29,invalid,json,3,expected-array-separator,comments
30,invalid,comments,4,json,null
31,invalid,invalid,0,null,illegal
32,invalid,illegal,1,invalid,expected-dictionary-separator
33,invalid,expected-dictionary-separator,2,illegal,json
34,invalid,json,3,expected-dictionary-separator,comments
35,invalid,comments,4,json,null
36,invalid,invalid,0,null,illegal
37,invalid,illegal,1,invalid,unrecognized-string-escape
38,invalid,unrecognized-string-escape,2,illegal,json
39,invalid,json,3,unrecognized-string-escape,comments
40,invalid,comments,4,json,null
41,meta,meta,0,null,structure
42,meta,structure,1,meta,array
43,meta,array,2,structure,json
44,meta,json,3,array,comments
45,meta,comments,4,json,null
46,meta,meta,0,null,structure
47,meta,structure,1,meta,dictionary
48,meta,dictionary,2,structure,json
49,meta,json,3,dictionary,comments
50,meta,comments,4,json,null
51,meta,meta,0,null,structure
52,meta,structure,1,meta,dictionary
53,meta,dictionary,2,structure,value
54,meta,value,3,dictionary,json
55,meta,json,4,value,comments
56,meta,comments,5,json,null
57,punctuation,punctuation,0,null,definition
58,punctuation,definition,1,punctuation,array
59,punctuation,array,2,definition,begin
60,punctuation,begin,3,array,json
61,punctuation,json,4,begin,comments
62,punctuation,comments,5,json,null
63,punctuation,punctuation,0,null,definition
64,punctuation,definition,1,punctuation,array
65,punctuation,array,2,definition,end
66,punctuation,end,3,array,json
67,punctuation,json,4,end,comments
68,punctuation,comments,5,json,null
69,punctuation,punctuation,0,null,definition
70,punctuation,definition,1,punctuation,comment
71,punctuation,comment,2,definition,json
72,punctuation,json,3,comment,comments
73,punctuation,comments,4,json,null
74,punctuation,punctuation,0,null,definition
75,punctuation,definition,1,punctuation,dictionary
76,punctuation,dictionary,2,definition,begin
77,punctuation,begin,3,dictionary,json
78,punctuation,json,4,begin,comments
79,punctuation,comments,5,json,null
80,punctuation,punctuation,0,null,definition
81,punctuation,definition,1,punctuation,dictionary
82,punctuation,dictionary,2,definition,end
83,punctuation,end,3,dictionary,json
84,punctuation,json,4,end,comments
85,punctuation,comments,5,json,null
86,punctuation,punctuation,0,null,definition
87,punctuation,definition,1,punctuation,string
88,punctuation,string,2,definition,begin
89,punctuation,begin,3,string,json
90,punctuation,json,4,begin,comments
91,punctuation,comments,5,json,null
92,punctuation,punctuation,0,null,definition
93,punctuation,definition,1,punctuation,string
94,punctuation,string,2,definition,end
95,punctuation,end,3,string,json
96,punctuation,json,4,end,comments
97,punctuation,comments,5,json,null
98,punctuation,punctuation,0,null,separator
99,punctuation,separator,1,punctuation,array
100,punctuation,array,2,separator,json
101,punctuation,json,3,array,comments
102,punctuation,comments,4,json,null
103,punctuation,punctuation,0,null,separator
104,punctuation,separator,1,punctuation,dictionary
105,punctuation,dictionary,2,separator,key-value
106,punctuation,key-value,3,dictionary,json
107,punctuation,json,4,key-value,comments
108,punctuation,comments,5,json,null
109,punctuation,punctuation,0,null,separator
110,punctuation,separator,1,punctuation,dictionary
111,punctuation,dictionary,2,separator,pair
112,punctuation,pair,3,dictionary,json
113,punctuation,json,4,pair,comments
114,punctuation,comments,5,json,null
115,punctuation,punctuation,0,null,support
116,punctuation,support,1,punctuation,type
117,punctuation,type,2,support,property-name
118,punctuation,property-name,3,type,begin
119,punctuation,begin,4,property-name,json
120,punctuation,json,5,begin,comments
121,punctuation,comments,6,json,null
122,punctuation,punctuation,0,null,support
123,punctuation,support,1,punctuation,type
124,punctuation,type,2,support,property-name
125,punctuation,property-name,3,type,end
126,punctuation,end,4,property-name,json
127,punctuation,json,5,end,comments
128,punctuation,comments,6,json,null
129,string,string,0,null,json
130,string,json,1,string,comments
131,string,comments,2,json,null
132,string,string,0,null,quoted
133,string,quoted,1,string,double
134,string,double,2,quoted,json
135,string,json,3,double,comments
136,string,comments,4,json,null
137,support,support,0,null,type
138,support,type,1,support,property-name
139,support,property-name,2,type,json
140,support,json,3,property-name,comments
141,support,comments,4,json,null
