id,root,name,layer,parent,children
0,case-clause,case-clause,0,null,expr
1,case-clause,expr,1,case-clause,js
2,case-clause,js,2,expr,jsx
3,case-clause,jsx,3,js,null
4,comment,comment,0,null,block
5,comment,block,1,comment,documentation
6,comment,documentation,2,block,js
7,comment,js,3,documentation,jsx
8,comment,jsx,4,js,null
9,comment,comment,0,null,block
10,comment,block,1,comment,js
11,comment,js,2,block,jsx
12,comment,jsx,3,js,null
13,comment,comment,0,null,line
14,comment,line,1,comment,double-slash
15,comment,double-slash,2,line,js
16,comment,js,3,double-slash,jsx
17,comment,jsx,4,js,null
18,comment,comment,0,null,line
19,comment,line,1,comment,shebang
20,comment,shebang,2,line,js
21,comment,js,3,shebang,jsx
22,comment,jsx,4,js,null
23,comment,comment,0,null,line
24,comment,line,1,comment,triple-slash
25,comment,triple-slash,2,line,directive
26,comment,directive,3,triple-slash,js
27,comment,js,4,directive,jsx
28,comment,jsx,5,js,null
29,constant,constant,0,null,character
30,constant,character,1,constant,control
31,constant,control,2,character,regexp
32,constant,regexp,3,control,null
33,constant,constant,0,null,character
34,constant,character,1,constant,entity
35,constant,entity,2,character,js
36,constant,js,3,entity,jsx
37,constant,jsx,4,js,null
38,constant,constant,0,null,character
39,constant,character,1,constant,escape
40,constant,escape,2,character,backslash
41,constant,backslash,3,escape,regexp
42,constant,regexp,4,backslash,null
43,constant,constant,0,null,character
44,constant,character,1,constant,escape
45,constant,escape,2,character,js
46,constant,js,3,escape,jsx
47,constant,jsx,4,js,null
48,constant,constant,0,null,character
49,constant,character,1,constant,numeric
50,constant,numeric,2,character,regexp
51,constant,regexp,3,numeric,null
52,constant,constant,0,null,language
53,constant,language,1,constant,access-type
54,constant,access-type,2,language,jsdoc
55,constant,jsdoc,3,access-type,null
56,constant,constant,0,null,language
57,constant,language,1,constant,boolean
58,constant,boolean,2,language,false
59,constant,false,3,boolean,js
60,constant,js,4,false,jsx
61,constant,jsx,5,js,null
62,constant,constant,0,null,language
63,constant,language,1,constant,boolean
64,constant,boolean,2,language,true
65,constant,true,3,boolean,js
66,constant,js,4,true,jsx
67,constant,jsx,5,js,null
68,constant,constant,0,null,language
69,constant,language,1,constant,import-export-all
70,constant,import-export-all,2,language,js
71,constant,js,3,import-export-all,jsx
72,constant,jsx,4,js,null
73,constant,constant,0,null,language
74,constant,language,1,constant,infinity
75,constant,infinity,2,language,js
76,constant,js,3,infinity,jsx
77,constant,jsx,4,js,null
78,constant,constant,0,null,language
79,constant,language,1,constant,nan
80,constant,nan,2,language,js
81,constant,js,3,nan,jsx
82,constant,jsx,4,js,null
83,constant,constant,0,null,language
84,constant,language,1,constant,null
85,constant,null,2,language,js
86,constant,js,3,null,jsx
87,constant,jsx,4,js,null
88,constant,constant,0,null,language
89,constant,language,1,constant,symbol-type
90,constant,symbol-type,2,language,jsdoc
91,constant,jsdoc,3,symbol-type,null
92,constant,constant,0,null,language
93,constant,language,1,constant,undefined
94,constant,undefined,2,language,js
95,constant,js,3,undefined,jsx
96,constant,jsx,4,js,null
97,constant,constant,0,null,numeric
98,constant,numeric,1,constant,binary
99,constant,binary,2,numeric,js
100,constant,js,3,binary,jsx
101,constant,jsx,4,js,null
102,constant,constant,0,null,numeric
103,constant,numeric,1,constant,decimal
104,constant,decimal,2,numeric,js
105,constant,js,3,decimal,jsx
106,constant,jsx,4,js,null
107,constant,constant,0,null,numeric
108,constant,numeric,1,constant,hex
109,constant,hex,2,numeric,js
110,constant,js,3,hex,jsx
111,constant,jsx,4,js,null
112,constant,constant,0,null,numeric
113,constant,numeric,1,constant,octal
114,constant,octal,2,numeric,js
115,constant,js,3,octal,jsx
116,constant,jsx,4,js,null
117,constant,constant,0,null,other
118,constant,other,1,constant,character-class
119,constant,character-class,2,other,range
120,constant,range,3,character-class,regexp
121,constant,regexp,4,range,null
122,constant,constant,0,null,other
123,constant,other,1,constant,character-class
124,constant,character-class,2,other,regexp
125,constant,regexp,3,character-class,null
126,constant,constant,0,null,other
127,constant,other,1,constant,character-class
128,constant,character-class,2,other,set
129,constant,set,3,character-class,regexp
130,constant,regexp,4,set,null
131,constant,constant,0,null,other
132,constant,other,1,constant,description
133,constant,description,2,other,jsdoc
134,constant,jsdoc,3,description,null
135,constant,constant,0,null,other
136,constant,other,1,constant,email
137,constant,email,2,other,link
138,constant,link,3,email,underline
139,constant,underline,4,link,jsdoc
140,constant,jsdoc,5,underline,null
141,entity,entity,0,null,name
142,entity,name,1,entity,function
143,entity,function,2,name,js
144,entity,js,3,function,jsx
145,entity,jsx,4,js,null
146,entity,entity,0,null,name
147,entity,name,1,entity,function
148,entity,function,2,name,tagged-template
149,entity,tagged-template,3,function,js
150,entity,js,4,tagged-template,jsx
151,entity,jsx,5,js,null
152,entity,entity,0,null,name
153,entity,name,1,entity,label
154,entity,label,2,name,js
155,entity,js,3,label,jsx
156,entity,jsx,4,js,null
157,entity,entity,0,null,name
158,entity,name,1,entity,tag
159,entity,tag,2,name,directive
160,entity,directive,3,tag,js
161,entity,js,4,directive,jsx
162,entity,jsx,5,js,null
163,entity,entity,0,null,name
164,entity,name,1,entity,tag
165,entity,tag,2,name,inline
166,entity,inline,3,tag,jsdoc
167,entity,jsdoc,4,inline,null
168,entity,entity,0,null,name
169,entity,name,1,entity,tag
170,entity,tag,2,name,js
171,entity,js,3,tag,jsx
172,entity,jsx,4,js,null
173,entity,entity,0,null,name
174,entity,name,1,entity,tag
175,entity,tag,2,name,namespace
176,entity,namespace,3,tag,js
177,entity,js,4,namespace,jsx
178,entity,jsx,5,js,null
179,entity,entity,0,null,name
180,entity,name,1,entity,type
181,entity,type,2,name,alias
182,entity,alias,3,type,js
183,entity,js,4,alias,jsx
184,entity,jsx,5,js,null
185,entity,entity,0,null,name
186,entity,name,1,entity,type
187,entity,type,2,name,class
188,entity,class,3,type,js
