id,root,name,layer,parent,children
0,comment,comment,0,null,line
1,comment,line,1,comment,percentage
2,comment,percentage,2,line,latex
3,comment,latex,3,percentage,null
4,comment,comment,0,null,line
5,comment,line,1,comment,percentage
6,comment,percentage,2,line,tex
7,comment,tex,3,percentage,null
8,constant,constant,0,null,character
9,constant,character,1,constant,escape
10,constant,escape,2,character,latex
11,constant,latex,3,escape,null
12,constant,constant,0,null,character
13,constant,character,1,constant,latex
14,constant,latex,2,character,null
15,constant,constant,0,null,other
16,constant,other,1,constant,reference
17,constant,reference,2,other,citation
18,constant,citation,3,reference,latex
19,constant,latex,4,citation,null
20,constant,constant,0,null,other
21,constant,other,1,constant,reference
22,constant,reference,2,other,label
23,constant,label,3,reference,latex
24,constant,latex,4,label,null
25,entity,entity,0,null,name
26,entity,name,1,entity,footnote
27,entity,footnote,2,name,latex
28,entity,latex,3,footnote,null
29,entity,entity,0,null,name
30,entity,name,1,entity,section
31,entity,section,2,name,latex
32,entity,latex,3,section,null
33,keyword,keyword,0,null,control
34,keyword,control,1,keyword,cite
35,keyword,cite,2,control,latex
36,keyword,latex,3,cite,null
37,keyword,keyword,0,null,control
38,keyword,control,1,keyword,equation
39,keyword,equation,2,control,align
40,keyword,align,3,equation,latex
41,keyword,latex,4,align,null
42,keyword,keyword,0,null,control
43,keyword,control,1,keyword,equation
44,keyword,equation,2,control,newline
45,keyword,newline,3,equation,latex
46,keyword,latex,4,newline,null
47,keyword,keyword,0,null,control
48,keyword,control,1,keyword,include
49,keyword,include,2,control,latex
50,keyword,latex,3,include,null
51,keyword,keyword,0,null,control
52,keyword,control,1,keyword,label
53,keyword,label,2,control,latex
54,keyword,latex,3,label,null
55,keyword,keyword,0,null,control
56,keyword,control,1,keyword,layout
57,keyword,layout,2,control,latex
58,keyword,latex,3,layout,null
59,keyword,keyword,0,null,control
60,keyword,control,1,keyword,preamble
61,keyword,preamble,2,control,latex
62,keyword,latex,3,preamble,null
63,keyword,keyword,0,null,control
64,keyword,control,1,keyword,ref
65,keyword,ref,2,control,latex
66,keyword,latex,3,ref,null
67,keyword,keyword,0,null,control
68,keyword,control,1,keyword,table
69,keyword,table,2,control,cell
70,keyword,cell,3,table,latex
71,keyword,latex,4,cell,null
72,keyword,keyword,0,null,control
73,keyword,control,1,keyword,table
74,keyword,table,2,control,newline
75,keyword,newline,3,table,latex
76,keyword,latex,4,newline,null
77,keyword,keyword,0,null,other
78,keyword,other,1,keyword,item
79,keyword,item,2,other,latex
80,keyword,latex,3,item,null
81,markup,markup,0,null,bold
82,markup,bold,1,markup,textbf
83,markup,textbf,2,bold,latex
84,markup,latex,3,textbf,null
85,markup,markup,0,null,italic
86,markup,italic,1,markup,emph
87,markup,emph,2,italic,latex
88,markup,latex,3,emph,null
89,markup,markup,0,null,italic
90,markup,italic,1,markup,textit
91,markup,textit,2,italic,latex
92,markup,latex,3,textit,null
93,markup,markup,0,null,raw
94,markup,raw,1,markup,texttt
95,markup,texttt,2,raw,latex
96,markup,latex,3,texttt,null
97,markup,markup,0,null,raw
98,markup,raw,1,markup,verb
99,markup,verb,2,raw,latex
100,markup,latex,3,verb,null
