id,root,name,layer,parent,children
0,comment,comment,0,null,line
1,comment,line,1,comment,number-sign
2,comment,number-sign,2,line,python
3,comment,python,3,number-sign,null
4,comment,comment,0,null,regexp
5,comment,regexp,1,comment,null
6,comment,comment,0,null,typehint
7,comment,typehint,1,comment,directive
8,comment,directive,2,typehint,notation
9,comment,notation,3,directive,python
10,comment,python,4,notation,null
11,comment,comment,0,null,typehint
12,comment,typehint,1,comment,ignore
13,comment,ignore,2,typehint,notation
14,comment,notation,3,ignore,python
15,comment,python,4,notation,null
16,comment,comment,0,null,typehint
17,comment,typehint,1,comment,punctuation
18,comment,punctuation,2,typehint,notation
19,comment,notation,3,punctuation,python
20,comment,python,4,notation,null
21,comment,comment,0,null,typehint
22,comment,typehint,1,comment,type
23,comment,type,2,typehint,notation
24,comment,notation,3,type,python
25,comment,python,4,notation,null
26,comment,comment,0,null,typehint
27,comment,typehint,1,comment,variable
28,comment,variable,2,typehint,notation
29,comment,notation,3,variable,python
30,comment,python,4,notation,null
31,constant,constant,0,null,character
32,constant,character,1,constant,escape
33,constant,escape,2,character,python
34,constant,python,3,escape,null
35,constant,constant,0,null,character
36,constant,character,1,constant,escape
37,constant,escape,2,character,regexp
38,constant,regexp,3,escape,null
39,constant,constant,0,null,character
40,constant,character,1,constant,format
41,constant,format,2,character,placeholder
42,constant,placeholder,3,format,other
43,constant,other,4,placeholder,python
44,constant,python,5,other,null
45,constant,constant,0,null,character
46,constant,character,1,constant,set
47,constant,set,2,character,regexp
48,constant,regexp,3,set,null
49,constant,constant,0,null,character
50,constant,character,1,constant,unicode
51,constant,unicode,2,character,regexp
52,constant,regexp,3,unicode,null
53,constant,constant,0,null,language
54,constant,language,1,constant,python
55,constant,python,2,language,null
56,constant,constant,0,null,numeric
57,constant,numeric,1,constant,bin
58,constant,bin,2,numeric,python
59,constant,python,3,bin,null
60,constant,constant,0,null,numeric
61,constant,numeric,1,constant,dec
62,constant,dec,2,numeric,python
63,constant,python,3,dec,null
64,constant,constant,0,null,numeric
65,constant,numeric,1,constant,float
66,constant,float,2,numeric,python
67,constant,python,3,float,null
68,constant,constant,0,null,numeric
69,constant,numeric,1,constant,hex
70,constant,hex,2,numeric,python
71,constant,python,3,hex,null
72,constant,constant,0,null,numeric
73,constant,numeric,1,constant,oct
74,constant,oct,2,numeric,python
75,constant,python,3,oct,null
76,constant,constant,0,null,numeric
77,constant,numeric,1,constant,python
78,constant,python,2,numeric,null
79,constant,constant,0,null,other
80,constant,other,1,constant,caps
81,constant,caps,2,other,python
82,constant,python,3,caps,null
83,constant,constant,0,null,other
84,constant,other,1,constant,ellipsis
85,constant,ellipsis,2,other,python
86,constant,python,3,ellipsis,null
87,constant,constant,0,null,other
88,constant,other,1,constant,set
89,constant,set,2,other,regexp
90,constant,regexp,3,set,null
91,entity,entity,0,null,name
92,entity,name,1,entity,function
93,entity,function,2,name,decorator
94,entity,decorator,3,function,python
95,entity,python,4,decorator,null
96,entity,entity,0,null,name
97,entity,name,1,entity,function
98,entity,function,2,name,python
99,entity,python,3,function,null
100,entity,entity,0,null,name
101,entity,name,1,entity,tag
102,entity,tag,2,name,backreference
103,entity,backreference,3,tag,regexp
104,entity,regexp,4,backreference,null
105,entity,entity,0,null,name
106,entity,name,1,entity,tag
107,entity,tag,2,name,named
108,entity,named,3,tag,backreference
109,entity,backreference,4,named,regexp
110,entity,regexp,5,backreference,null
111,entity,entity,0,null,name
112,entity,name,1,entity,tag
113,entity,tag,2,name,named
114,entity,named,3,tag,group
115,entity,group,4,named,regexp
116,entity,regexp,5,group,null
117,entity,entity,0,null,name
118,entity,name,1,entity,type
119,entity,type,2,name,class
120,entity,class,3,type,python
121,entity,python,4,class,null
122,entity,entity,0,null,other
123,entity,other,1,entity,inherited-class
124,entity,inherited-class,2,other,python
125,entity,python,3,inherited-class,null
126,invalid,invalid,0,null,deprecated
127,invalid,deprecated,1,invalid,backtick
128,invalid,backtick,2,deprecated,python
129,invalid,python,3,backtick,null
130,invalid,invalid,0,null,deprecated
131,invalid,deprecated,1,invalid,prefix
132,invalid,prefix,2,deprecated,python
133,invalid,python,3,prefix,null
134,invalid,invalid,0,null,deprecated
135,invalid,deprecated,1,invalid,semicolon
136,invalid,semicolon,2,deprecated,python
137,invalid,python,3,semicolon,null
138,invalid,invalid,0,null,illegal
139,invalid,illegal,1,invalid,annotation
140,invalid,annotation,2,illegal,python
141,invalid,python,3,annotation,null
142,invalid,invalid,0,null,illegal
143,invalid,illegal,1,invalid,brace
144,invalid,brace,2,illegal,python
145,invalid,python,3,brace,null
146,invalid,invalid,0,null,illegal
147,invalid,illegal,1,invalid,dec
148,invalid,dec,2,illegal,python
149,invalid,python,3,dec,null
150,invalid,invalid,0,null,illegal
151,invalid,illegal,1,invalid,decorator
