id,root,name,layer,parent,children
0,comment,comment,0,null,regexp
1,comment,regexp,1,comment,null
2,constant,constant,0,null,character
3,constant,character,1,constant,escape
4,constant,escape,2,character,python
5,constant,python,3,escape,null
6,constant,constant,0,null,character
7,constant,character,1,constant,escape
8,constant,escape,2,character,regexp
9,constant,regexp,3,escape,null
10,constant,constant,0,null,character
11,constant,character,1,constant,format
12,constant,format,2,character,placeholder
13,constant,placeholder,3,format,other
14,constant,other,4,placeholder,python
15,constant,python,5,other,null
16,constant,constant,0,null,character
17,constant,character,1,constant,set
18,constant,set,2,character,regexp
19,constant,regexp,3,set,null
20,constant,constant,0,null,character
21,constant,character,1,constant,unicode
22,constant,unicode,2,character,regexp
23,constant,regexp,3,unicode,null
24,constant,constant,0,null,other
25,constant,other,1,constant,set
26,constant,set,2,other,regexp
27,constant,regexp,3,set,null
28,entity,entity,0,null,name
29,entity,name,1,entity,tag
30,entity,tag,2,name,backreference
31,entity,backreference,3,tag,regexp
32,entity,regexp,4,backreference,null
33,entity,entity,0,null,name
34,entity,name,1,entity,tag
35,entity,tag,2,name,named
36,entity,named,3,tag,backreference
37,entity,backreference,4,named,regexp
38,entity,regexp,5,backreference,null
39,entity,entity,0,null,name
40,entity,name,1,entity,tag
41,entity,tag,2,name,named
42,entity,named,3,tag,group
43,entity,group,4,named,regexp
44,entity,regexp,5,group,null
45,invalid,invalid,0,null,illegal
46,invalid,illegal,1,invalid,brace
47,invalid,brace,2,illegal,python
48,invalid,python,3,brace,null
49,invalid,invalid,0,null,illegal
50,invalid,illegal,1,invalid,newline
51,invalid,newline,2,illegal,python
52,invalid,python,3,newline,null
53,keyword,keyword,0,null,codetag
54,keyword,codetag,1,keyword,notation
55,keyword,notation,2,codetag,python
56,keyword,python,3,notation,null
57,keyword,keyword,0,null,operator
58,keyword,operator,1,keyword,conditional
59,keyword,conditional,2,operator,negative
60,keyword,negative,3,conditional,regexp
61,keyword,regexp,4,negative,null
62,keyword,keyword,0,null,operator
63,keyword,operator,1,keyword,conditional
64,keyword,conditional,2,operator,regexp
65,keyword,regexp,3,conditional,null
66,keyword,keyword,0,null,operator
67,keyword,operator,1,keyword,disjunction
68,keyword,disjunction,2,operator,regexp
69,keyword,regexp,3,disjunction,null
70,keyword,keyword,0,null,operator
71,keyword,operator,1,keyword,lookahead
72,keyword,lookahead,2,operator,negative
73,keyword,negative,3,lookahead,regexp
74,keyword,regexp,4,negative,null
75,keyword,keyword,0,null,operator
76,keyword,operator,1,keyword,lookahead
77,keyword,lookahead,2,operator,regexp
78,keyword,regexp,3,lookahead,null
79,keyword,keyword,0,null,operator
80,keyword,operator,1,keyword,lookbehind
81,keyword,lookbehind,2,operator,negative
82,keyword,negative,3,lookbehind,regexp
83,keyword,regexp,4,negative,null
84,keyword,keyword,0,null,operator
85,keyword,operator,1,keyword,lookbehind
86,keyword,lookbehind,2,operator,regexp
87,keyword,regexp,3,lookbehind,null
88,keyword,keyword,0,null,operator
89,keyword,operator,1,keyword,negation
90,keyword,negation,2,operator,regexp
91,keyword,regexp,3,negation,null
92,keyword,keyword,0,null,operator
93,keyword,operator,1,keyword,quantifier
94,keyword,quantifier,2,operator,regexp
95,keyword,regexp,3,quantifier,null
96,meta,meta,0,null,backreference
97,meta,backreference,1,meta,named
98,meta,named,2,backreference,regexp
99,meta,regexp,3,named,null
100,meta,meta,0,null,backreference
101,meta,backreference,1,meta,regexp
102,meta,regexp,2,backreference,null
103,meta,meta,0,null,character
104,meta,character,1,meta,set
105,meta,set,2,character,regexp
106,meta,regexp,3,set,null
107,meta,meta,0,null,named
108,meta,named,1,meta,regexp
109,meta,regexp,2,named,null
110,punctuation,punctuation,0,null,character
111,punctuation,character,1,punctuation,set
112,punctuation,set,2,character,begin
113,punctuation,begin,3,set,regexp
114,punctuation,regexp,4,begin,null
115,punctuation,punctuation,0,null,character
116,punctuation,character,1,punctuation,set
117,punctuation,set,2,character,end
118,punctuation,end,3,set,regexp
119,punctuation,regexp,4,end,null
120,punctuation,punctuation,0,null,comment
121,punctuation,comment,1,punctuation,begin
122,punctuation,begin,2,comment,regexp
123,punctuation,regexp,3,begin,null
124,punctuation,punctuation,0,null,comment
