id,root,name,layer,parent,children
0,comment,comment,0,null,line
1,comment,line,1,comment,percentage
2,comment,percentage,2,line,directive
3,comment,directive,3,percentage,tex
4,comment,tex,4,directive,null
5,comment,comment,0,null,line
6,comment,line,1,comment,percentage
7,comment,percentage,2,line,tex
8,comment,tex,3,percentage,null
9,constant,constant,0,null,character
10,constant,character,1,constant,escape
11,constant,escape,2,character,tex
12,constant,tex,3,escape,null
13,constant,constant,0,null,character
14,constant,character,1,constant,math
15,constant,math,2,character,tex
16,constant,tex,3,math,null
17,constant,constant,0,null,numeric
18,constant,numeric,1,constant,category
19,constant,category,2,numeric,tex
20,constant,tex,3,category,null
21,constant,constant,0,null,numeric
22,constant,numeric,1,constant,math
23,constant,math,2,numeric,tex
24,constant,tex,3,math,null
25,constant,constant,0,null,other
26,constant,other,1,constant,general
27,constant,general,2,other,math
28,constant,math,3,general,tex
29,constant,tex,4,math,null
30,constant,constant,0,null,other
31,constant,other,1,constant,math
32,constant,math,2,other,tex
33,constant,tex,3,math,null
34,keyword,keyword,0,null,control
35,keyword,control,1,keyword,catcode
36,keyword,catcode,2,control,tex
37,keyword,tex,3,catcode,null
38,keyword,keyword,0,null,control
39,keyword,control,1,keyword,newline
40,keyword,newline,2,control,tex
41,keyword,tex,3,newline,null
42,keyword,keyword,0,null,control
43,keyword,control,1,keyword,tex
44,keyword,tex,2,control,null
45,meta,meta,0,null,catcode
46,meta,catcode,1,meta,tex
47,meta,tex,2,catcode,null
48,meta,meta,0,null,embedded
49,meta,embedded,1,meta,line
50,meta,line,2,embedded,r
51,meta,r,3,line,null
52,meta,meta,0,null,group
53,meta,group,1,meta,braces
54,meta,braces,2,group,tex
55,meta,tex,3,braces,null
56,meta,meta,0,null,math
57,meta,math,1,meta,block
58,meta,block,2,math,tex
59,meta,tex,3,block,null
60,meta,meta,0,null,text
61,meta,text,1,meta,normal
62,meta,normal,2,text,tex
63,meta,tex,3,normal,null
64,punctuation,punctuation,0,null,definition
65,punctuation,definition,1,punctuation,arguments
66,punctuation,arguments,2,definition,begin
67,punctuation,begin,3,arguments,tex
68,punctuation,tex,4,begin,null
69,punctuation,punctuation,0,null,definition
70,punctuation,definition,1,punctuation,arguments
71,punctuation,arguments,2,definition,end
72,punctuation,end,3,arguments,tex
73,punctuation,tex,4,end,null
74,punctuation,punctuation,0,null,definition
75,punctuation,definition,1,punctuation,brackets
76,punctuation,brackets,2,definition,tex
77,punctuation,tex,3,brackets,null
78,punctuation,punctuation,0,null,definition
79,punctuation,definition,1,punctuation,comment
80,punctuation,comment,2,definition,tex
81,punctuation,tex,3,comment,null
82,punctuation,punctuation,0,null,definition
83,punctuation,definition,1,punctuation,constant
84,punctuation,constant,2,definition,math
85,punctuation,math,3,constant,tex
86,punctuation,tex,4,math,null
87,punctuation,punctuation,0,null,definition
88,punctuation,definition,1,punctuation,function
89,punctuation,function,2,definition,math
90,punctuation,math,3,function,tex
91,punctuation,tex,4,math,null
92,punctuation,punctuation,0,null,definition
93,punctuation,definition,1,punctuation,function
94,punctuation,function,2,definition,tex
95,punctuation,tex,3,function,null
96,punctuation,punctuation,0,null,definition
