id,root,name,layer,parent,children
0,case-clause,case-clause,0,null,expr
1,case-clause,expr,1,case-clause,ts
2,case-clause,ts,2,expr,null
3,cast,cast,0,null,expr
4,cast,expr,1,cast,ts
5,cast,ts,2,expr,null
6,comment,comment,0,null,block
7,comment,block,1,comment,documentation
8,comment,documentation,2,block,ts
9,comment,ts,3,documentation,null
10,comment,comment,0,null,block
11,comment,block,1,comment,ts
12,comment,ts,2,block,null
13,comment,comment,0,null,line
14,comment,line,1,comment,double-slash
15,comment,double-slash,2,line,ts
16,comment,ts,3,double-slash,null
17,comment,comment,0,null,line
18,comment,line,1,comment,shebang
19,comment,shebang,2,line,ts
20,comment,ts,3,shebang,null
21,comment,comment,0,null,line
22,comment,line,1,comment,triple-slash
23,comment,triple-slash,2,line,directive
24,comment,directive,3,triple-slash,ts
25,comment,ts,4,directive,null
26,constant,constant,0,null,character
27,constant,character,1,constant,control
28,constant,control,2,character,regexp
29,constant,regexp,3,control,null
30,constant,constant,0,null,character
31,constant,character,1,constant,escape
32,constant,escape,2,character,backslash
33,constant,backslash,3,escape,regexp
34,constant,regexp,4,backslash,null
35,constant,constant,0,null,character
36,constant,character,1,constant,escape
37,constant,escape,2,character,ts
38,constant,ts,3,escape,null
39,constant,constant,0,null,character
40,constant,character,1,constant,numeric
41,constant,numeric,2,character,regexp
42,constant,regexp,3,numeric,null
43,constant,constant,0,null,language
44,constant,language,1,constant,access-type
45,constant,access-type,2,language,jsdoc
46,constant,jsdoc,3,access-type,null
47,constant,constant,0,null,language
48,constant,language,1,constant,boolean
49,constant,boolean,2,language,false
50,constant,false,3,boolean,ts
51,constant,ts,4,false,null
52,constant,constant,0,null,language
53,constant,language,1,constant,boolean
54,constant,boolean,2,language,true
55,constant,true,3,boolean,ts
56,constant,ts,4,true,null
57,constant,constant,0,null,language
58,constant,language,1,constant,import-export-all
59,constant,import-export-all,2,language,ts
60,constant,ts,3,import-export-all,null
61,constant,constant,0,null,language
62,constant,language,1,constant,infinity
63,constant,infinity,2,language,ts
64,constant,ts,3,infinity,null
65,constant,constant,0,null,language
66,constant,language,1,constant,nan
67,constant,nan,2,language,ts
68,constant,ts,3,nan,null
69,constant,constant,0,null,language
70,constant,language,1,constant,null
71,constant,null,2,language,ts
72,constant,ts,3,null,null
73,constant,constant,0,null,language
74,constant,language,1,constant,symbol-type
75,constant,symbol-type,2,language,jsdoc
76,constant,jsdoc,3,symbol-type,null
77,constant,constant,0,null,language
78,constant,language,1,constant,undefined
79,constant,undefined,2,language,ts
80,constant,ts,3,undefined,null
81,constant,constant,0,null,numeric
82,constant,numeric,1,constant,binary
83,constant,binary,2,numeric,ts
84,constant,ts,3,binary,null
85,constant,constant,0,null,numeric
86,constant,numeric,1,constant,decimal
87,constant,decimal,2,numeric,ts
88,constant,ts,3,decimal,null
89,constant,constant,0,null,numeric
90,constant,numeric,1,constant,hex
91,constant,hex,2,numeric,ts
92,constant,ts,3,hex,null
93,constant,constant,0,null,numeric
94,constant,numeric,1,constant,octal
95,constant,octal,2,numeric,ts
96,constant,ts,3,octal,null
97,constant,constant,0,null,other
98,constant,other,1,constant,character-class
99,constant,character-class,2,other,range
100,constant,range,3,character-class,regexp
101,constant,regexp,4,range,null
102,constant,constant,0,null,other
103,constant,other,1,constant,character-class
104,constant,character-class,2,other,regexp
105,constant,regexp,3,character-class,null
106,constant,constant,0,null,other
107,constant,other,1,constant,character-class
108,constant,character-class,2,other,set
109,constant,set,3,character-class,regexp
110,constant,regexp,4,set,null
111,constant,constant,0,null,other
112,constant,other,1,constant,description
113,constant,description,2,other,jsdoc
114,constant,jsdoc,3,description,null
115,constant,constant,0,null,other
116,constant,other,1,constant,email
117,constant,email,2,other,link
118,constant,link,3,email,underline
119,constant,underline,4,link,jsdoc
120,constant,jsdoc,5,underline,null
121,entity,entity,0,null,name
122,entity,name,1,entity,function
123,entity,function,2,name,tagged-template
124,entity,tagged-template,3,function,ts
125,entity,ts,4,tagged-template,null
126,entity,entity,0,null,name
127,entity,name,1,entity,function
128,entity,function,2,name,ts
129,entity,ts,3,function,null
130,entity,entity,0,null,name
131,entity,name,1,entity,label
132,entity,label,2,name,ts
133,entity,ts,3,label,null
134,entity,entity,0,null,name
135,entity,name,1,entity,tag
136,entity,tag,2,name,directive
137,entity,directive,3,tag,ts
138,entity,ts,4,directive,null
139,entity,entity,0,null,name
140,entity,name,1,entity,tag
141,entity,tag,2,name,inline
142,entity,inline,3,tag,jsdoc
143,entity,jsdoc,4,inline,null
144,entity,entity,0,null,name
145,entity,name,1,entity,type
146,entity,type,2,name,alias
147,entity,alias,3,type,ts
148,entity,ts,4,alias,null
149,entity,entity,0,null,name
150,entity,name,1,entity,type
151,entity,type,2,name,class
152,entity,class,3,type,ts
153,entity,ts,4,class,null
154,entity,entity,0,null,name
155,entity,name,1,entity,type
156,entity,type,2,name,enum
157,entity,enum,3,type,ts
158,entity,ts,4,enum,null
159,entity,entity,0,null,name
160,entity,name,1,entity,type
161,entity,type,2,name,instance
162,entity,instance,3,type,jsdoc
163,entity,jsdoc,4,instance,null
164,entity,entity,0,null,name
165,entity,name,1,entity,type
166,entity,type,2,name,interface
167,entity,interface,3,type,ts
168,entity,ts,4,interface,null
169,entity,entity,0,null,name
170,entity,name,1,entity,type
171,entity,type,2,name,module
172,entity,module,3,type,ts
173,entity,ts,4,module,null
174,entity,entity,0,null,name
175,entity,name,1,entity,type
176,entity,type,2,name,ts
177,entity,ts,3,type,null
178,entity,entity,0,null,other
179,entity,other,1,entity,attribute-name
180,entity,attribute-name,2,other,directive
181,entity,directive,3,attribute-name,ts
182,entity,ts,4,directive,null
183,entity,entity,0,null,other
184,entity,other,1,entity,inherited-class
185,entity,inherited-class,2,other,ts
186,entity,ts,3,inherited-class,null
187,invalid,invalid,0,null,illegal
188,invalid,illegal,1,invalid,newline
189,invalid,newline,2,illegal,ts
190,invalid,ts,3,newline,null
191,invalid,invalid,0,null,illegal
192,invalid,illegal,1,invalid,syntax
193,invalid,syntax,2,illegal,jsdoc
194,invalid,jsdoc,3,syntax,null
195,keyword,keyword,0,null,control
196,keyword,control,1,keyword,anchor
