id,root,name,layer,parent,children
0,case-clause,case-clause,0,null,expr
1,case-clause,expr,1,case-clause,tsx
2,case-clause,tsx,2,expr,null
3,comment,comment,0,null,block
4,comment,block,1,comment,documentation
5,comment,documentation,2,block,tsx
6,comment,tsx,3,documentation,null
7,comment,comment,0,null,block
8,comment,block,1,comment,tsx
9,comment,tsx,2,block,null
10,comment,comment,0,null,line
11,comment,line,1,comment,double-slash
12,comment,double-slash,2,line,tsx
13,comment,tsx,3,double-slash,null
14,comment,comment,0,null,line
15,comment,line,1,comment,shebang
16,comment,shebang,2,line,tsx
17,comment,tsx,3,shebang,null
18,comment,comment,0,null,line
19,comment,line,1,comment,triple-slash
20,comment,triple-slash,2,line,directive
21,comment,directive,3,triple-slash,tsx
22,comment,tsx,4,directive,null
23,constant,constant,0,null,character
24,constant,character,1,constant,control
25,constant,control,2,character,regexp
26,constant,regexp,3,control,null
27,constant,constant,0,null,character
28,constant,character,1,constant,entity
29,constant,entity,2,character,tsx
30,constant,tsx,3,entity,null
31,constant,constant,0,null,character
32,constant,character,1,constant,escape
33,constant,escape,2,character,backslash
34,constant,backslash,3,escape,regexp
35,constant,regexp,4,backslash,null
36,constant,constant,0,null,character
37,constant,character,1,constant,escape
38,constant,escape,2,character,tsx
39,constant,tsx,3,escape,null
40,constant,constant,0,null,character
41,constant,character,1,constant,numeric
42,constant,numeric,2,character,regexp
43,constant,regexp,3,numeric,null
44,constant,constant,0,null,language
45,constant,language,1,constant,access-type
46,constant,access-type,2,language,jsdoc
47,constant,jsdoc,3,access-type,null
48,constant,constant,0,null,language
49,constant,language,1,constant,boolean
50,constant,boolean,2,language,false
51,constant,false,3,boolean,tsx
52,constant,tsx,4,false,null
53,constant,constant,0,null,language
54,constant,language,1,constant,boolean
55,constant,boolean,2,language,true
56,constant,true,3,boolean,tsx
57,constant,tsx,4,true,null
58,constant,constant,0,null,language
59,constant,language,1,constant,import-export-all
60,constant,import-export-all,2,language,tsx
61,constant,tsx,3,import-export-all,null
62,constant,constant,0,null,language
63,constant,language,1,constant,infinity
64,constant,infinity,2,language,tsx
65,constant,tsx,3,infinity,null
66,constant,constant,0,null,language
67,constant,language,1,constant,nan
68,constant,nan,2,language,tsx
69,constant,tsx,3,nan,null
70,constant,constant,0,null,language
71,constant,language,1,constant,null
72,constant,null,2,language,tsx
73,constant,tsx,3,null,null
74,constant,constant,0,null,language
75,constant,language,1,constant,symbol-type
76,constant,symbol-type,2,language,jsdoc
77,constant,jsdoc,3,symbol-type,null
78,constant,constant,0,null,language
79,constant,language,1,constant,undefined
80,constant,undefined,2,language,tsx
81,constant,tsx,3,undefined,null
82,constant,constant,0,null,numeric
83,constant,numeric,1,constant,binary
84,constant,binary,2,numeric,tsx
85,constant,tsx,3,binary,null
86,constant,constant,0,null,numeric
87,constant,numeric,1,constant,decimal
88,constant,decimal,2,numeric,tsx
89,constant,tsx,3,decimal,null
90,constant,constant,0,null,numeric
91,constant,numeric,1,constant,hex
92,constant,hex,2,numeric,tsx
93,constant,tsx,3,hex,null
94,constant,constant,0,null,numeric
95,constant,numeric,1,constant,octal
96,constant,octal,2,numeric,tsx
97,constant,tsx,3,octal,null
98,constant,constant,0,null,other
99,constant,other,1,constant,character-class
100,constant,character-class,2,other,range
101,constant,range,3,character-class,regexp
102,constant,regexp,4,range,null
103,constant,constant,0,null,other
104,constant,other,1,constant,character-class
105,constant,character-class,2,other,regexp
106,constant,regexp,3,character-class,null
107,constant,constant,0,null,other
108,constant,other,1,constant,character-class
109,constant,character-class,2,other,set
110,constant,set,3,character-class,regexp
111,constant,regexp,4,set,null
112,constant,constant,0,null,other
113,constant,other,1,constant,description
114,constant,description,2,other,jsdoc
115,constant,jsdoc,3,description,null
116,constant,constant,0,null,other
117,constant,other,1,constant,email
118,constant,email,2,other,link
119,constant,link,3,email,underline
120,constant,underline,4,link,jsdoc
121,constant,jsdoc,5,underline,null
122,entity,entity,0,null,name
123,entity,name,1,entity,function
124,entity,function,2,name,tagged-template
125,entity,tagged-template,3,function,tsx
126,entity,tsx,4,tagged-template,null
127,entity,entity,0,null,name
128,entity,name,1,entity,function
129,entity,function,2,name,tsx
130,entity,tsx,3,function,null
131,entity,entity,0,null,name
132,entity,name,1,entity,label
133,entity,label,2,name,tsx
134,entity,tsx,3,label,null
135,entity,entity,0,null,name
136,entity,name,1,entity,tag
137,entity,tag,2,name,directive
138,entity,directive,3,tag,tsx
139,entity,tsx,4,directive,null
140,entity,entity,0,null,name
141,entity,name,1,entity,tag
142,entity,tag,2,name,inline
143,entity,inline,3,tag,jsdoc
144,entity,jsdoc,4,inline,null
145,entity,entity,0,null,name
146,entity,name,1,entity,tag
147,entity,tag,2,name,namespace
148,entity,namespace,3,tag,tsx
149,entity,tsx,4,namespace,null
150,entity,entity,0,null,name
151,entity,name,1,entity,tag
152,entity,tag,2,name,tsx
153,entity,tsx,3,tag,null
154,entity,entity,0,null,name
155,entity,name,1,entity,type
156,entity,type,2,name,alias
157,entity,alias,3,type,tsx
158,entity,tsx,4,alias,null
159,entity,entity,0,null,name
160,entity,name,1,entity,type
161,entity,type,2,name,class
162,entity,class,3,type,tsx
163,entity,tsx,4,class,null
164,entity,entity,0,null,name
165,entity,name,1,entity,type
166,entity,type,2,name,enum
167,entity,enum,3,type,tsx
168,entity,tsx,4,enum,null
169,entity,entity,0,null,name
170,entity,name,1,entity,type
171,entity,type,2,name,instance
172,entity,instance,3,type,jsdoc
173,entity,jsdoc,4,instance,null
174,entity,entity,0,null,name
175,entity,name,1,entity,type
176,entity,type,2,name,interface
177,entity,interface,3,type,tsx
178,entity,tsx,4,interface,null
179,entity,entity,0,null,name
180,entity,name,1,entity,type
181,entity,type,2,name,module
182,entity,module,3,type,tsx
183,entity,tsx,4,module,null
184,entity,entity,0,null,name
185,entity,name,1,entity,type
186,entity,type,2,name,tsx
187,entity,tsx,3,type,null
188,entity,entity,0,null,other
189,entity,other,1,entity,attribute-name
190,entity,attribute-name,2,other,directive
191,entity,directive,3,attribute-name,tsx
192,entity,tsx,4,directive,null
193,entity,entity,0,null,other
194,entity,other,1,entity,attribute-name
195,entity,attribute-name,2,other,namespace
196,entity,namespace,3,attribute-name,tsx
197,entity,tsx,4,namespace,null
198,entity,entity,0,null,other
199,entity,other,1,entity,attribute-name
200,entity,attribute-name,2,other,tsx
201,entity,tsx,3,attribute-name,null
202,entity,entity,0,null,other
203,entity,other,1,entity,inherited-class
204,entity,inherited-class,2,other,tsx
205,entity,tsx,3,inherited-class,null
206,invalid,invalid,0,null,illegal
207,invalid,illegal,1,invalid,attribute
208,invalid,attribute,2,illegal,tsx
209,invalid,tsx,3,attribute,null
210,invalid,invalid,0,null,illegal
211,invalid,illegal,1,invalid,newline
212,invalid,newline,2,illegal,tsx
213,invalid,tsx,3,newline,null
214,invalid,invalid,0,null,illegal
215,invalid,illegal,1,invalid,syntax
216,invalid,syntax,2,illegal,jsdoc
217,invalid,jsdoc,3,syntax,null
218,keyword,keyword,0,null,control
219,keyword,control,1,keyword,anchor
220,keyword,anchor,2,control,regexp
221,keyword,regexp,3,anchor,null
222,keyword,keyword,0,null,control
223,keyword,control,1,keyword,as
224,keyword,as,2,control,tsx
225,keyword,tsx,3,as,null
226,keyword,keyword,0,null,control
227,keyword,control,1,keyword,assert
228,keyword,assert,2,control,tsx
229,keyword,tsx,3,assert,null
230,keyword,keyword,0,null,control
231,keyword,control,1,keyword,conditional
