id,root,name,layer,parent,children
0,comment,comment,0,null,line
1,comment,line,1,comment,apostrophe
2,comment,apostrophe,2,line,asp
3,comment,asp,3,apostrophe,null
4,constant,constant,0,null,character
5,constant,character,1,constant,escape
6,constant,escape,2,character,apostrophe
7,constant,apostrophe,3,escape,asp
8,constant,asp,4,apostrophe,null
9,constant,constant,0,null,language
10,constant,language,1,constant,asp
11,constant,asp,2,language,null
12,constant,constant,0,null,numeric
13,constant,numeric,1,constant,asp
14,constant,asp,2,numeric,null
15,entity,entity,0,null,name
16,entity,name,1,entity,function
17,entity,function,2,name,asp
18,entity,asp,3,function,null
19,keyword,keyword,0,null,control
20,keyword,control,1,keyword,asp
21,keyword,asp,2,control,null
22,keyword,keyword,0,null,operator
23,keyword,operator,1,keyword,asp
24,keyword,asp,2,operator,null
25,keyword,keyword,0,null,operator
26,keyword,operator,1,keyword,js
27,keyword,js,2,operator,null
28,meta,meta,0,null,ending-space
29,meta,ending-space,1,meta,null
30,meta,meta,0,null,even-tab
31,meta,even-tab,1,meta,spaces
32,meta,spaces,2,even-tab,null
33,meta,meta,0,null,even-tab
34,meta,even-tab,1,meta,tabs
35,meta,tabs,2,even-tab,null
36,meta,meta,0,null,function
37,meta,function,1,meta,asp
38,meta,asp,2,function,null
39,meta,meta,0,null,leading-space
40,meta,leading-space,1,meta,null
41,meta,meta,0,null,odd-tab
42,meta,odd-tab,1,meta,spaces
43,meta,spaces,2,odd-tab,null
44,meta,meta,0,null,odd-tab
45,meta,odd-tab,1,meta,tabs
46,meta,tabs,2,odd-tab,null
47,meta,meta,0,null,round-brackets
48,meta,round-brackets,1,meta,null
49,meta,meta,0,null,separator
50,meta,separator,1,meta,comma
51,meta,comma,2,separator,asp
52,meta,asp,3,comma,null
53,punctuation,punctuation,0,null,definition
54,punctuation,definition,1,punctuation,comment
55,punctuation,comment,2,definition,asp
56,punctuation,asp,3,comment,null
57,punctuation,punctuation,0,null,definition
58,punctuation,definition,1,punctuation,parameters
59,punctuation,parameters,2,definition,asp
60,punctuation,asp,3,parameters,null
61,punctuation,punctuation,0,null,definition
62,punctuation,definition,1,punctuation,string
63,punctuation,string,2,definition,begin
64,punctuation,begin,3,string,asp
65,punctuation,asp,4,begin,null
66,punctuation,punctuation,0,null,definition
67,punctuation,definition,1,punctuation,string
68,punctuation,string,2,definition,end
69,punctuation,end,3,string,asp
70,punctuation,asp,4,end,null
71,punctuation,punctuation,0,null,definition
72,punctuation,definition,1,punctuation,variable
73,punctuation,variable,2,definition,asp
74,punctuation,asp,3,variable,null
75,punctuation,punctuation,0,null,section
76,punctuation,section,1,punctuation,round-brackets
77,punctuation,round-brackets,2,section,begin
78,punctuation,begin,3,round-brackets,asp
79,punctuation,asp,4,begin,null
80,punctuation,punctuation,0,null,section
81,punctuation,section,1,punctuation,round-brackets
82,punctuation,round-brackets,2,section,end
83,punctuation,end,3,round-brackets,asp
84,punctuation,asp,4,end,null
85,punctuation,punctuation,0,null,whitespace
86,punctuation,whitespace,1,punctuation,comment
87,punctuation,comment,2,whitespace,leading
88,punctuation,leading,3,comment,asp
89,punctuation,asp,4,leading,null
90,storage,storage,0,null,modifier
91,storage,modifier,1,storage,asp
92,storage,asp,2,modifier,null
93,storage,storage,0,null,type
94,storage,type,1,storage,asp
95,storage,asp,2,type,null
96,storage,storage,0,null,type
97,storage,type,1,storage,function
98,storage,function,2,type,asp
99,storage,asp,3,function,null
100,string,string,0,null,quoted
101,string,quoted,1,string,double
102,string,double,2,quoted,asp
103,string,asp,3,double,null
104,support,support,0,null,class
105,support,class,1,support,asp
106,support,asp,2,class,null
107,support,support,0,null,class
108,support,class,1,support,collection
109,support,collection,2,class,asp
110,support,asp,3,collection,null
111,support,support,0,null,constant
112,support,constant,1,support,asp
113,support,asp,2,constant,null
114,support,support,0,null,function
115,support,function,1,support,asp
116,support,asp,2,function,null
117,support,support,0,null,function
118,support,function,1,support,event
119,support,event,2,function,asp
120,support,asp,3,event,null
121,support,support,0,null,function
122,support,function,1,support,vb
123,support,vb,2,function,asp
124,support,asp,3,vb,null
125,support,support,0,null,type
126,support,type,1,support,vb
127,support,vb,2,type,asp
128,support,asp,3,vb,null
129,variable,variable,0,null,other
130,variable,other,1,variable,asp
131,variable,asp,2,other,null
132,variable,variable,0,null,other
133,variable,other,1,variable,bfeac
134,variable,bfeac,2,other,asp
135,variable,asp,3,bfeac,null
136,variable,variable,0,null,other
137,variable,other,1,variable,dim
138,variable,dim,2,other,asp
139,variable,asp,3,dim,null
140,variable,variable,0,null,parameter
141,variable,parameter,1,variable,function
142,variable,function,2,parameter,asp
143,variable,asp,3,function,null
