id,root,name,layer,parent,children
0,comment,comment,0,null,line
1,comment,line,1,comment,colon
2,comment,colon,2,line,batchfile
3,comment,batchfile,3,colon,null
4,comment,comment,0,null,line
5,comment,line,1,comment,rem
6,comment,rem,2,line,batchfile
7,comment,batchfile,3,rem,null
8,constant,constant,0,null,character
9,constant,character,1,constant,escape
10,constant,escape,2,character,batchfile
11,constant,batchfile,3,escape,null
12,constant,constant,0,null,language
13,constant,language,1,constant,batchfile
14,constant,batchfile,2,language,null
15,constant,constant,0,null,numeric
16,constant,numeric,1,constant,batchfile
17,constant,batchfile,2,numeric,null
18,invalid,invalid,0,null,illegal
19,invalid,illegal,1,invalid,newline
20,invalid,newline,2,illegal,batchfile
21,invalid,batchfile,3,newline,null
22,invalid,invalid,0,null,illegal
23,invalid,illegal,1,invalid,unexpected-character
24,invalid,unexpected-character,2,illegal,batchfile
25,invalid,batchfile,3,unexpected-character,null
26,keyword,keyword,0,null,command
27,keyword,command,1,keyword,batchfile
28,keyword,batchfile,2,command,null
29,keyword,keyword,0,null,command
30,keyword,command,1,keyword,rem
31,keyword,rem,2,command,batchfile
32,keyword,batchfile,3,rem,null
33,keyword,keyword,0,null,control
34,keyword,control,1,keyword,conditional
35,keyword,conditional,2,control,batchfile
36,keyword,batchfile,3,conditional,null
37,keyword,keyword,0,null,control
38,keyword,control,1,keyword,repeat
39,keyword,repeat,2,control,batchfile
40,keyword,batchfile,3,repeat,null
41,keyword,keyword,0,null,control
42,keyword,control,1,keyword,repeat
43,keyword,repeat,2,control,do
44,keyword,do,3,repeat,batchfile
45,keyword,batchfile,4,do,null
46,keyword,keyword,0,null,control
47,keyword,control,1,keyword,repeat
48,keyword,repeat,2,control,in
49,keyword,in,3,repeat,batchfile
50,keyword,batchfile,4,in,null
51,keyword,keyword,0,null,control
52,keyword,control,1,keyword,statement
53,keyword,statement,2,control,batchfile
54,keyword,batchfile,3,statement,null
55,keyword,keyword,0,null,operator
56,keyword,operator,1,keyword,arithmetic
57,keyword,arithmetic,2,operator,batchfile
58,keyword,batchfile,3,arithmetic,null
59,keyword,keyword,0,null,operator
60,keyword,operator,1,keyword,assignment
61,keyword,assignment,2,operator,augmented
62,keyword,augmented,3,assignment,batchfile
63,keyword,batchfile,4,augmented,null
64,keyword,keyword,0,null,operator
65,keyword,operator,1,keyword,assignment
66,keyword,assignment,2,operator,batchfile
67,keyword,batchfile,3,assignment,null
68,keyword,keyword,0,null,operator
69,keyword,operator,1,keyword,at
70,keyword,at,2,operator,batchfile
71,keyword,batchfile,3,at,null
72,keyword,keyword,0,null,operator
73,keyword,operator,1,keyword,comparison
74,keyword,comparison,2,operator,batchfile
75,keyword,batchfile,3,comparison,null
76,keyword,keyword,0,null,operator
77,keyword,operator,1,keyword,conditional
78,keyword,conditional,2,operator,batchfile
79,keyword,batchfile,3,conditional,null
80,keyword,keyword,0,null,operator
81,keyword,operator,1,keyword,logical
82,keyword,logical,2,operator,batchfile
83,keyword,batchfile,3,logical,null
84,keyword,keyword,0,null,operator
85,keyword,operator,1,keyword,pipe
