id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,banner
2,comment,banner,2,block,c
3,comment,c,3,banner,null
4,comment,comment,0,null,block
5,comment,block,1,comment,c
6,comment,c,2,block,null
7,comment,comment,0,null,block
8,comment,block,1,comment,documentation
9,comment,documentation,2,block,c
10,comment,c,3,documentation,null
11,comment,comment,0,null,block
12,comment,block,1,comment,preprocessor
13,comment,preprocessor,2,block,elif-branch
14,comment,elif-branch,3,preprocessor,c
15,comment,c,4,elif-branch,null
16,comment,comment,0,null,block
17,comment,block,1,comment,preprocessor
18,comment,preprocessor,2,block,elif-branch
19,comment,elif-branch,3,preprocessor,in-block
20,comment,in-block,4,elif-branch,c
21,comment,c,5,in-block,null
22,comment,comment,0,null,block
23,comment,block,1,comment,preprocessor
24,comment,preprocessor,2,block,else-branch
25,comment,else-branch,3,preprocessor,c
26,comment,c,4,else-branch,null
27,comment,comment,0,null,block
28,comment,block,1,comment,preprocessor
29,comment,preprocessor,2,block,else-branch
30,comment,else-branch,3,preprocessor,in-block
31,comment,in-block,4,else-branch,c
32,comment,c,5,in-block,null
33,comment,comment,0,null,block
34,comment,block,1,comment,preprocessor
35,comment,preprocessor,2,block,if-branch
36,comment,if-branch,3,preprocessor,c
37,comment,c,4,if-branch,null
38,comment,comment,0,null,block
39,comment,block,1,comment,preprocessor
40,comment,preprocessor,2,block,if-branch
41,comment,if-branch,3,preprocessor,in-block
42,comment,in-block,4,if-branch,c
43,comment,c,5,in-block,null
44,comment,comment,0,null,line
45,comment,line,1,comment,banner
46,comment,banner,2,line,c
47,comment,c,3,banner,null
48,comment,comment,0,null,line
49,comment,line,1,comment,double-slash
50,comment,double-slash,2,line,c
51,comment,c,3,double-slash,null
52,comment,comment,0,null,line
53,comment,line,1,comment,double-slash
54,comment,double-slash,2,line,documentation
55,comment,documentation,3,double-slash,c
56,comment,c,4,documentation,null
57,constant,constant,0,null,character
58,constant,character,1,constant,escape
59,constant,escape,2,character,c
