id,root,name,layer,parent,children
0,comment,comment,0,null,line
1,comment,line,1,comment,semicolon
2,comment,semicolon,2,line,clojure
3,comment,clojure,3,semicolon,null
4,comment,comment,0,null,line
5,comment,line,1,comment,shebang
6,comment,shebang,2,line,clojure
7,comment,clojure,3,shebang,null
8,constant,constant,0,null,character
9,constant,character,1,constant,escape
10,constant,escape,2,character,clojure
11,constant,clojure,3,escape,null
12,constant,constant,0,null,keyword
13,constant,keyword,1,constant,clojure
14,constant,clojure,2,keyword,null
15,constant,constant,0,null,language
16,constant,language,1,constant,boolean
17,constant,boolean,2,language,clojure
18,constant,clojure,3,boolean,null
19,constant,constant,0,null,language
20,constant,language,1,constant,nil
21,constant,nil,2,language,clojure
22,constant,clojure,3,nil,null
23,constant,constant,0,null,numeric
24,constant,numeric,1,constant,arbitrary-radix
25,constant,arbitrary-radix,2,numeric,clojure
26,constant,clojure,3,arbitrary-radix,null
27,constant,constant,0,null,numeric
28,constant,numeric,1,constant,double
29,constant,double,2,numeric,clojure
30,constant,clojure,3,double,null
31,constant,constant,0,null,numeric
32,constant,numeric,1,constant,hexadecimal
33,constant,hexadecimal,2,numeric,clojure
34,constant,clojure,3,hexadecimal,null
35,constant,constant,0,null,numeric
36,constant,numeric,1,constant,long
37,constant,long,2,numeric,clojure
38,constant,clojure,3,long,null
39,constant,constant,0,null,numeric
40,constant,numeric,1,constant,octal
41,constant,octal,2,numeric,clojure
42,constant,clojure,3,octal,null
43,constant,constant,0,null,numeric
44,constant,numeric,1,constant,ratio
45,constant,ratio,2,numeric,clojure
46,constant,clojure,3,ratio,null
47,constant,constant,0,null,numeric
48,constant,numeric,1,constant,symbol
49,constant,symbol,2,numeric,clojure
50,constant,clojure,3,symbol,null
51,entity,entity,0,null,global
52,entity,global,1,entity,clojure
53,entity,clojure,2,global,null
54,entity,entity,0,null,name
55,entity,name,1,entity,function
56,entity,function,2,name,clojure
57,entity,clojure,3,function,null
58,keyword,keyword,0,null,control
