id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,coffee
2,comment,coffee,2,block,null
3,comment,comment,0,null,line
4,comment,line,1,comment,number-sign
5,comment,number-sign,2,line,coffee
6,comment,coffee,3,number-sign,null
7,constant,constant,0,null,character
8,constant,character,1,constant,character-class
9,constant,character-class,2,character,regexp
10,constant,regexp,3,character-class,null
11,constant,constant,0,null,character
12,constant,character,1,constant,control
13,constant,control,2,character,regexp
14,constant,regexp,3,control,null
15,constant,constant,0,null,character
16,constant,character,1,constant,escape
17,constant,escape,2,character,backslash
18,constant,backslash,3,escape,coffee
19,constant,coffee,4,backslash,null
20,constant,constant,0,null,character
21,constant,character,1,constant,escape
22,constant,escape,2,character,backslash
23,constant,backslash,3,escape,regexp
24,constant,regexp,4,backslash,null
25,constant,constant,0,null,character
26,constant,character,1,constant,numeric
27,constant,numeric,2,character,regexp
28,constant,regexp,3,numeric,null
29,constant,constant,0,null,language
30,constant,language,1,constant,boolean
31,constant,boolean,2,language,false
32,constant,false,3,boolean,coffee
33,constant,coffee,4,false,null
34,constant,constant,0,null,language
35,constant,language,1,constant,boolean
36,constant,boolean,2,language,true
37,constant,true,3,boolean,coffee
38,constant,coffee,4,true,null
39,constant,constant,0,null,language
40,constant,language,1,constant,coffee
41,constant,coffee,2,language,null
42,constant,constant,0,null,language
43,constant,language,1,constant,null
44,constant,null,2,language,coffee
45,constant,coffee,3,null,null
46,constant,constant,0,null,numeric
47,constant,numeric,1,constant,binary
48,constant,binary,2,numeric,coffee
49,constant,coffee,3,binary,null
50,constant,constant,0,null,numeric
51,constant,numeric,1,constant,decimal
52,constant,decimal,2,numeric,coffee
53,constant,coffee,3,decimal,null
54,constant,constant,0,null,numeric
55,constant,numeric,1,constant,hex
56,constant,hex,2,numeric,coffee
57,constant,coffee,3,hex,null
58,constant,constant,0,null,numeric
59,constant,numeric,1,constant,octal
60,constant,octal,2,numeric,coffee
61,constant,coffee,3,octal,null
62,constant,constant,0,null,other
63,constant,other,1,constant,character-class
64,constant,character-class,2,other,range
65,constant,range,3,character-class,regexp
66,constant,regexp,4,range,null
67,constant,constant,0,null,other
68,constant,other,1,constant,character-class
69,constant,character-class,2,other,set
70,constant,set,3,character-class,regexp
71,constant,regexp,4,set,null
72,constant,constant,0,null,other
73,constant,other,1,constant,object
74,constant,object,2,other,coffee
75,constant,coffee,3,object,null
76,constant,constant,0,null,other
77,constant,other,1,constant,object
78,constant,object,2,other,property
79,constant,property,3,object,coffee
80,constant,coffee,4,property,null
81,constant,constant,0,null,other
82,constant,other,1,constant,property
83,constant,property,2,other,coffee
84,constant,coffee,3,property,null
85,entity,entity,0,null,name
86,entity,name,1,entity,function
87,entity,function,2,name,coffee
88,entity,coffee,3,function,null
89,entity,entity,0,null,name
90,entity,name,1,entity,tag
91,entity,tag,2,name,coffee
92,entity,coffee,3,tag,null
93,entity,entity,0,null,name
94,entity,name,1,entity,type
95,entity,type,2,name,class
96,entity,class,3,type,coffee
97,entity,coffee,4,class,null
98,entity,entity,0,null,name
99,entity,name,1,entity,type
100,entity,type,2,name,instance
101,entity,instance,3,type,coffee
102,entity,coffee,4,instance,null
103,entity,entity,0,null,name
104,entity,name,1,entity,type
105,entity,type,2,name,object
106,entity,object,3,type,coffee
107,entity,coffee,4,object,null
108,entity,entity,0,null,other
109,entity,other,1,entity,attribute-name
110,entity,attribute-name,2,other,coffee
111,entity,coffee,3,attribute-name,null
112,entity,entity,0,null,other
113,entity,other,1,entity,inherited-class
114,entity,inherited-class,2,other,coffee
115,entity,coffee,3,inherited-class,null
116,invalid,invalid,0,null,illegal
117,invalid,illegal,1,invalid,identifier
118,invalid,identifier,2,illegal,coffee
119,invalid,coffee,3,identifier,null
120,keyword,keyword,0,null,control
121,keyword,control,1,keyword,anchor
122,keyword,anchor,2,control,regexp
123,keyword,regexp,3,anchor,null
124,keyword,keyword,0,null,control
125,keyword,control,1,keyword,coffee
126,keyword,coffee,2,control,null
127,keyword,keyword,0,null,control
128,keyword,control,1,keyword,inheritance
129,keyword,inheritance,2,control,coffee
130,keyword,coffee,3,inheritance,null
131,keyword,keyword,0,null,operator
132,keyword,operator,1,keyword,$1
133,keyword,$1,2,operator,coffee
134,keyword,coffee,3,$1,null
135,keyword,keyword,0,null,operator
136,keyword,operator,1,keyword,assignment
