id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,cpp
2,comment,cpp,2,block,null
3,comment,comment,0,null,block
4,comment,block,1,comment,documentation
5,comment,documentation,2,block,cpp
6,comment,cpp,3,documentation,null
7,comment,comment,0,null,line
8,comment,line,1,comment,double-slash
9,comment,double-slash,2,line,cpp
10,comment,cpp,3,double-slash,null
11,comment,comment,0,null,line
12,comment,line,1,comment,double-slash
13,comment,double-slash,2,line,documentation
14,comment,documentation,3,double-slash,cpp
15,comment,cpp,4,documentation,null
16,constant,constant,0,null,character
17,constant,character,1,constant,escape
18,constant,escape,2,character,cpp
19,constant,cpp,3,escape,null
20,entity,entity,0,null,name
21,entity,name,1,entity,function
22,entity,function,2,name,call
23,entity,call,3,function,cpp
24,entity,cpp,4,call,null
25,entity,entity,0,null,name
26,entity,name,1,entity,function
27,entity,function,2,name,call
28,entity,call,3,function,initializer
29,entity,initializer,4,call,cpp
30,entity,cpp,5,initializer,null
31,entity,entity,0,null,name
32,entity,name,1,entity,function
33,entity,function,2,name,constructor
34,entity,constructor,3,function,cpp
35,entity,cpp,4,constructor,null
36,entity,entity,0,null,name
37,entity,name,1,entity,function
38,entity,function,2,name,definition
39,entity,definition,3,function,cpp
40,entity,cpp,4,definition,null
41,entity,entity,0,null,name
42,entity,name,1,entity,function
43,entity,function,2,name,definition
44,entity,definition,3,function,special
45,entity,special,4,definition,constructor
46,entity,constructor,5,special,cpp
47,entity,cpp,6,constructor,null
48,entity,entity,0,null,name
49,entity,name,1,entity,function
50,entity,function,2,name,definition
51,entity,definition,3,function,special
52,entity,special,4,definition,member
53,entity,member,5,special,destructor
54,entity,destructor,6,member,cpp
55,entity,cpp,7,destructor,null
56,entity,entity,0,null,name
57,entity,name,1,entity,function
58,entity,function,2,name,destructor
59,entity,destructor,3,function,cpp
60,entity,cpp,4,destructor,null
61,entity,entity,0,null,name
62,entity,name,1,entity,function
63,entity,function,2,name,member
64,entity,member,3,function,cpp
65,entity,cpp,4,member,null
66,entity,entity,0,null,name
67,entity,name,1,entity,function
68,entity,function,2,name,preprocessor
69,entity,preprocessor,3,function,cpp
70,entity,cpp,4,preprocessor,null
71,entity,entity,0,null,name
72,entity,name,1,entity,namespace
73,entity,namespace,2,name,cpp
74,entity,cpp,3,namespace,null
75,entity,entity,0,null,name
76,entity,name,1,entity,operator
77,entity,operator,2,name,cpp
78,entity,cpp,3,operator,null
79,entity,entity,0,null,name
80,entity,name,1,entity,operator
81,entity,operator,2,name,custom-literal
82,entity,custom-literal,3,operator,cpp
83,entity,cpp,4,custom-literal,null
84,entity,entity,0,null,name
85,entity,name,1,entity,operator
86,entity,operator,2,name,type
87,entity,type,3,operator,array
88,entity,array,4,type,cpp
89,entity,cpp,5,array,null
90,entity,entity,0,null,name
91,entity,name,1,entity,operator
92,entity,operator,2,name,type
93,entity,type,3,operator,cpp
94,entity,cpp,4,type,null
95,entity,entity,0,null,name
96,entity,name,1,entity,operator
97,entity,operator,2,name,type
98,entity,type,3,operator,pointer
99,entity,pointer,4,type,cpp
100,entity,cpp,5,pointer,null
101,entity,entity,0,null,name
102,entity,name,1,entity,operator
103,entity,operator,2,name,type
104,entity,type,3,operator,reference
105,entity,reference,4,type,cpp
106,entity,cpp,5,reference,null
107,entity,entity,0,null,name
108,entity,name,1,entity,other
109,entity,other,2,name,preprocessor
110,entity,preprocessor,3,other,macro
111,entity,macro,4,preprocessor,predefined
112,entity,predefined,5,macro,DLLEXPORT
113,entity,DLLEXPORT,6,predefined,cpp
114,entity,cpp,7,DLLEXPORT,null
115,entity,entity,0,null,name
116,entity,name,1,entity,other
117,entity,other,2,name,preprocessor
118,entity,preprocessor,3,other,macro
119,entity,macro,4,preprocessor,predefined
120,entity,predefined,5,macro,probably
121,entity,probably,6,predefined,$0
122,entity,$0,7,probably,cpp
123,entity,cpp,8,$0,null
124,entity,entity,0,null,name
125,entity,name,1,entity,scope-resolution
126,entity,scope-resolution,2,name,constructor
127,entity,constructor,3,scope-resolution,cpp
128,entity,cpp,4,constructor,null
129,entity,entity,0,null,name
130,entity,name,1,entity,scope-resolution
131,entity,scope-resolution,2,name,cpp
132,entity,cpp,3,scope-resolution,null
133,entity,entity,0,null,name
134,entity,name,1,entity,scope-resolution
135,entity,scope-resolution,2,name,destructor
136,entity,destructor,3,scope-resolution,cpp
137,entity,cpp,4,destructor,null
138,entity,entity,0,null,name
139,entity,name,1,entity,scope-resolution
140,entity,scope-resolution,2,name,operator-overload
141,entity,operator-overload,3,scope-resolution,cpp
142,entity,cpp,4,operator-overload,null
143,entity,entity,0,null,name
144,entity,name,1,entity,scope-resolution
145,entity,scope-resolution,2,name,operator
146,entity,operator,3,scope-resolution,cpp
147,entity,cpp,4,operator,null
148,entity,entity,0,null,name
149,entity,name,1,entity,scope-resolution
150,entity,scope-resolution,2,name,type
151,entity,type,3,scope-resolution,cpp
152,entity,cpp,4,type,null
153,entity,entity,0,null,name
154,entity,name,1,entity,type
155,entity,type,2,name,alias
156,entity,alias,3,type,cpp
157,entity,cpp,4,alias,null
158,entity,entity,0,null,name
159,entity,name,1,entity,type
160,entity,type,2,name,class
161,entity,class,3,type,cpp
162,entity,cpp,4,class,null
163,entity,entity,0,null,name
164,entity,name,1,entity,type
165,entity,type,2,name,constructor
166,entity,constructor,3,type,cpp
167,entity,cpp,4,constructor,null
168,entity,entity,0,null,name
169,entity,name,1,entity,type
170,entity,type,2,name,cpp
171,entity,cpp,3,type,null
172,entity,entity,0,null,name
173,entity,name,1,entity,type
174,entity,type,2,name,destructor
175,entity,destructor,3,type,cpp
176,entity,cpp,4,destructor,null
177,entity,entity,0,null,name
178,entity,name,1,entity,type
179,entity,type,2,name,enum
180,entity,enum,3,type,cpp
181,entity,cpp,4,enum,null
182,entity,entity,0,null,name
183,entity,name,1,entity,type
184,entity,type,2,name,parameter
185,entity,parameter,3,type,cpp
186,entity,cpp,4,parameter,null
187,entity,entity,0,null,name
188,entity,name,1,entity,type
189,entity,type,2,name,pointer
190,entity,pointer,3,type,function
191,entity,function,4,pointer,cpp
192,entity,cpp,5,function,null
193,entity,entity,0,null,name
194,entity,name,1,entity,type
195,entity,type,2,name,struct
196,entity,struct,3,type,cpp
197,entity,cpp,4,struct,null
198,entity,entity,0,null,name
199,entity,name,1,entity,type
200,entity,type,2,name,union
201,entity,union,3,type,cpp
202,entity,cpp,4,union,null
203,entity,entity,0,null,other
204,entity,other,1,entity,attribute-name
205,entity,attribute-name,2,other,pragma
206,entity,pragma,3,attribute-name,preprocessor
207,entity,preprocessor,4,pragma,cpp
208,entity,cpp,5,preprocessor,null
209,entity,entity,0,null,other
210,entity,other,1,entity,attribute
211,entity,attribute,2,other,$0
212,entity,$0,3,attribute,cpp
213,entity,cpp,4,$0,null
214,invalid,invalid,0,null,illegal
215,invalid,illegal,1,invalid,delimiter-too-long
216,invalid,delimiter-too-long,2,illegal,null
217,invalid,invalid,0,null,illegal
218,invalid,illegal,1,invalid,reference-type
219,invalid,reference-type,2,illegal,cpp
220,invalid,cpp,3,reference-type,null
221,invalid,invalid,0,null,illegal
222,invalid,illegal,1,invalid,unknown-escape
223,invalid,unknown-escape,2,illegal,cpp
224,invalid,cpp,3,unknown-escape,null
225,keyword,keyword,0,null,control
226,keyword,control,1,keyword,case
227,keyword,case,2,control,cpp
228,keyword,cpp,3,case,null
229,keyword,keyword,0,null,control
230,keyword,control,1,keyword,default
231,keyword,default,2,control,cpp
232,keyword,cpp,3,default,null
233,keyword,keyword,0,null,control
234,keyword,control,1,keyword,directive
235,keyword,directive,2,control,conditional
236,keyword,conditional,3,directive,$6
237,keyword,$6,4,conditional,cpp
238,keyword,cpp,5,$6,null
239,keyword,keyword,0,null,control
240,keyword,control,1,keyword,directive
241,keyword,directive,2,control,conditional
242,keyword,conditional,3,directive,defined
243,keyword,defined,4,conditional,cpp
244,keyword,cpp,5,defined,null
245,keyword,keyword,0,null,control
246,keyword,control,1,keyword,directive
247,keyword,directive,2,control,define
248,keyword,define,3,directive,cpp
249,keyword,cpp,4,define,null
250,keyword,keyword,0,null,control
251,keyword,control,1,keyword,directive
252,keyword,directive,2,control,diagnostic
253,keyword,diagnostic,3,directive,$7
254,keyword,$7,4,diagnostic,cpp
255,keyword,cpp,5,$7,null
256,keyword,keyword,0,null,control
257,keyword,control,1,keyword,directive
258,keyword,directive,2,control,line
259,keyword,line,3,directive,cpp
260,keyword,cpp,4,line,null
261,keyword,keyword,0,null,control
262,keyword,control,1,keyword,directive
263,keyword,directive,2,control,pragma
264,keyword,pragma,3,directive,cpp
265,keyword,cpp,4,pragma,null
266,keyword,keyword,0,null,control
267,keyword,control,1,keyword,switch
268,keyword,switch,2,control,cpp
269,keyword,cpp,3,switch,null
270,keyword,keyword,0,null,operator
271,keyword,operator,1,keyword,alignas
272,keyword,alignas,2,operator,cpp
273,keyword,cpp,3,alignas,null
274,keyword,keyword,0,null,operator
275,keyword,operator,1,keyword,alignof
276,keyword,alignof,2,operator,cpp
277,keyword,cpp,3,alignof,null
278,keyword,keyword,0,null,operator
279,keyword,operator,1,keyword,arithmetic
280,keyword,arithmetic,2,operator,cpp
281,keyword,cpp,3,arithmetic,null
282,keyword,keyword,0,null,operator
283,keyword,operator,1,keyword,assignment
284,keyword,assignment,2,operator,compound
285,keyword,compound,3,assignment,bitwise
286,keyword,bitwise,4,compound,cpp
287,keyword,cpp,5,bitwise,null
288,keyword,keyword,0,null,operator
289,keyword,operator,1,keyword,assignment
290,keyword,assignment,2,operator,compound
291,keyword,compound,3,assignment,cpp
292,keyword,cpp,4,compound,null
293,keyword,keyword,0,null,operator
294,keyword,operator,1,keyword,assignment
295,keyword,assignment,2,operator,cpp
296,keyword,cpp,3,assignment,null
297,keyword,keyword,0,null,operator
298,keyword,operator,1,keyword,bitwise
299,keyword,bitwise,2,operator,cpp
300,keyword,cpp,3,bitwise,null
301,keyword,keyword,0,null,operator
302,keyword,operator,1,keyword,bitwise
303,keyword,bitwise,2,operator,shift
304,keyword,shift,3,bitwise,cpp
305,keyword,cpp,4,shift,null
306,keyword,keyword,0,null,operator
307,keyword,operator,1,keyword,comparison
308,keyword,comparison,2,operator,cpp
309,keyword,cpp,3,comparison,null
310,keyword,keyword,0,null,operator
311,keyword,operator,1,keyword,decrement
312,keyword,decrement,2,operator,cpp
