id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,cs
2,comment,cs,2,block,null
3,comment,comment,0,null,block
4,comment,block,1,comment,documentation
5,comment,documentation,2,block,cs
6,comment,cs,3,documentation,null
7,comment,comment,0,null,line
8,comment,line,1,comment,double-slash
9,comment,double-slash,2,line,cs
10,comment,cs,3,double-slash,null
11,constant,constant,0,null,character
12,constant,character,1,constant,entity
13,constant,entity,2,character,cs
14,constant,cs,3,entity,null
15,constant,constant,0,null,character
16,constant,character,1,constant,escape
17,constant,escape,2,character,cs
18,constant,cs,3,escape,null
19,constant,constant,0,null,language
20,constant,language,1,constant,boolean
21,constant,boolean,2,language,false
22,constant,false,3,boolean,cs
23,constant,cs,4,false,null
24,constant,constant,0,null,language
25,constant,language,1,constant,boolean
26,constant,boolean,2,language,true
27,constant,true,3,boolean,cs
28,constant,cs,4,true,null
29,constant,constant,0,null,language
30,constant,language,1,constant,null
31,constant,null,2,language,cs
32,constant,cs,3,null,null
33,constant,constant,0,null,numeric
34,constant,numeric,1,constant,binary
35,constant,binary,2,numeric,cs
36,constant,cs,3,binary,null
37,constant,constant,0,null,numeric
38,constant,numeric,1,constant,decimal
39,constant,decimal,2,numeric,cs
40,constant,cs,3,decimal,null
41,constant,constant,0,null,numeric
42,constant,numeric,1,constant,hex
43,constant,hex,2,numeric,cs
44,constant,cs,3,hex,null
45,constant,constant,0,null,numeric
46,constant,numeric,1,constant,other
47,constant,other,2,numeric,exponent
48,constant,exponent,3,other,cs
49,constant,cs,4,exponent,null
50,constant,constant,0,null,numeric
51,constant,numeric,1,constant,other
52,constant,other,2,numeric,preffix
53,constant,preffix,3,other,binary
54,constant,binary,4,preffix,cs
55,constant,cs,5,binary,null
56,constant,constant,0,null,numeric
57,constant,numeric,1,constant,other
58,constant,other,2,numeric,preffix
59,constant,preffix,3,other,hex
60,constant,hex,4,preffix,cs
61,constant,cs,5,hex,null
62,constant,constant,0,null,numeric
63,constant,numeric,1,constant,other
64,constant,other,2,numeric,separator
65,constant,separator,3,other,decimals
66,constant,decimals,4,separator,cs
67,constant,cs,5,decimals,null
68,constant,constant,0,null,numeric
69,constant,numeric,1,constant,other
70,constant,other,2,numeric,separator
71,constant,separator,3,other,thousands
72,constant,thousands,4,separator,cs
73,constant,cs,5,thousands,null
74,constant,constant,0,null,numeric
75,constant,numeric,1,constant,other
