id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,razor
2,comment,razor,2,block,null
3,constant,constant,0,null,character
4,constant,character,1,constant,escape
5,constant,escape,2,character,razor
6,constant,razor,3,escape,tagHelperOptOut
7,constant,tagHelperOptOut,4,razor,null
8,constant,constant,0,null,character
9,constant,character,1,constant,escape
10,constant,escape,2,character,razor
11,constant,razor,3,escape,transition
12,constant,transition,4,razor,null
13,entity,entity,0,null,name
14,entity,name,1,entity,function
15,entity,function,2,name,cs
16,entity,cs,3,function,null
17,entity,entity,0,null,name
18,entity,name,1,entity,tag
19,entity,tag,2,name,html
20,entity,html,3,tag,null
21,entity,entity,0,null,name
22,entity,name,1,entity,type
23,entity,type,2,name,alias
24,entity,alias,3,type,cs
25,entity,cs,4,alias,null
26,entity,entity,0,null,name
27,entity,name,1,entity,type
28,entity,type,2,name,namespace
29,entity,namespace,3,type,cs
30,entity,cs,4,namespace,null
31,entity,entity,0,null,name
32,entity,name,1,entity,variable
33,entity,variable,2,name,local
34,entity,local,3,variable,cs
35,entity,cs,4,local,null
36,entity,entity,0,null,name
37,entity,name,1,entity,variable
38,entity,variable,2,name,property
39,entity,property,3,variable,cs
40,entity,cs,4,property,null
41,keyword,keyword,0,null,control
42,keyword,control,1,keyword,conditional
43,keyword,conditional,2,control,else
44,keyword,else,3,conditional,cs
45,keyword,cs,4,else,null
46,keyword,keyword,0,null,control
47,keyword,control,1,keyword,conditional
48,keyword,conditional,2,control,if
49,keyword,if,3,conditional,cs
50,keyword,cs,4,if,null
51,keyword,keyword,0,null,control
52,keyword,control,1,keyword,cshtml
53,keyword,cshtml,2,control,null
54,keyword,keyword,0,null,control
55,keyword,control,1,keyword,cshtml
56,keyword,cshtml,2,control,transition
57,keyword,transition,3,cshtml,null
58,keyword,keyword,0,null,control
59,keyword,control,1,keyword,cshtml
60,keyword,cshtml,2,control,transition
61,keyword,transition,3,cshtml,textTag
62,keyword,textTag,4,transition,close
63,keyword,close,5,textTag,null
64,keyword,keyword,0,null,control
65,keyword,control,1,keyword,cshtml
66,keyword,cshtml,2,control,transition
67,keyword,transition,3,cshtml,textTag
68,keyword,textTag,4,transition,open
69,keyword,open,5,textTag,null
70,keyword,keyword,0,null,control
71,keyword,control,1,keyword,loop
72,keyword,loop,2,control,do
73,keyword,do,3,loop,cs
74,keyword,cs,4,do,null
75,keyword,keyword,0,null,control
76,keyword,control,1,keyword,loop
77,keyword,loop,2,control,for
78,keyword,for,3,loop,cs
79,keyword,cs,4,for,null
80,keyword,keyword,0,null,control
81,keyword,control,1,keyword,loop
82,keyword,loop,2,control,foreach
83,keyword,foreach,3,loop,cs
84,keyword,cs,4,foreach,null
85,keyword,keyword,0,null,control
86,keyword,control,1,keyword,loop
87,keyword,loop,2,control,in
88,keyword,in,3,loop,cs
89,keyword,cs,4,in,null
90,keyword,keyword,0,null,control
91,keyword,control,1,keyword,loop
92,keyword,loop,2,control,while
93,keyword,while,3,loop,cs
94,keyword,cs,4,while,null
95,keyword,keyword,0,null,control
96,keyword,control,1,keyword,razor
97,keyword,razor,2,control,comment
98,keyword,comment,3,razor,star
99,keyword,star,4,comment,null
100,keyword,keyword,0,null,control
101,keyword,control,1,keyword,razor
102,keyword,razor,2,control,directive
103,keyword,directive,3,razor,addTagHelper
104,keyword,addTagHelper,4,directive,null
105,keyword,keyword,0,null,control
106,keyword,control,1,keyword,razor
107,keyword,razor,2,control,directive
108,keyword,directive,3,razor,attribute
109,keyword,attribute,4,directive,null
110,keyword,keyword,0,null,control
111,keyword,control,1,keyword,razor
112,keyword,razor,2,control,directive
113,keyword,directive,3,razor,code
114,keyword,code,4,directive,null
115,keyword,keyword,0,null,control
116,keyword,control,1,keyword,razor
117,keyword,razor,2,control,directive
118,keyword,directive,3,razor,codeblock
119,keyword,codeblock,4,directive,close
120,keyword,close,5,codeblock,null
121,keyword,keyword,0,null,control
122,keyword,control,1,keyword,razor
123,keyword,razor,2,control,directive
124,keyword,directive,3,razor,codeblock
125,keyword,codeblock,4,directive,open
126,keyword,open,5,codeblock,null
127,keyword,keyword,0,null,control
128,keyword,control,1,keyword,razor
129,keyword,razor,2,control,directive
130,keyword,directive,3,razor,functions
131,keyword,functions,4,directive,null
132,keyword,keyword,0,null,control
133,keyword,control,1,keyword,razor
134,keyword,razor,2,control,directive
135,keyword,directive,3,razor,implements
136,keyword,implements,4,directive,null
137,keyword,keyword,0,null,control
138,keyword,control,1,keyword,razor
139,keyword,razor,2,control,directive
140,keyword,directive,3,razor,inherits
141,keyword,inherits,4,directive,null
142,keyword,keyword,0,null,control
143,keyword,control,1,keyword,razor
144,keyword,razor,2,control,directive
145,keyword,directive,3,razor,inject
146,keyword,inject,4,directive,null
147,keyword,keyword,0,null,control
148,keyword,control,1,keyword,razor
149,keyword,razor,2,control,directive
150,keyword,directive,3,razor,layout
151,keyword,layout,4,directive,null
152,keyword,keyword,0,null,control
153,keyword,control,1,keyword,razor
154,keyword,razor,2,control,directive
155,keyword,directive,3,razor,model
156,keyword,model,4,directive,null
157,keyword,keyword,0,null,control
158,keyword,control,1,keyword,razor
159,keyword,razor,2,control,directive
160,keyword,directive,3,razor,namespace
161,keyword,namespace,4,directive,null
162,keyword,keyword,0,null,control
163,keyword,control,1,keyword,razor
164,keyword,razor,2,control,directive
165,keyword,directive,3,razor,page
166,keyword,page,4,directive,null
167,keyword,keyword,0,null,control
168,keyword,control,1,keyword,razor
169,keyword,razor,2,control,directive
170,keyword,directive,3,razor,preservewhitespace
171,keyword,preservewhitespace,4,directive,null
172,keyword,keyword,0,null,control
173,keyword,control,1,keyword,razor
174,keyword,razor,2,control,directive
175,keyword,directive,3,razor,removeTagHelper
176,keyword,removeTagHelper,4,directive,null
177,keyword,keyword,0,null,control
178,keyword,control,1,keyword,razor
179,keyword,razor,2,control,directive
180,keyword,directive,3,razor,rendermode
181,keyword,rendermode,4,directive,null
182,keyword,keyword,0,null,control
183,keyword,control,1,keyword,razor
184,keyword,razor,2,control,directive
185,keyword,directive,3,razor,section
186,keyword,section,4,directive,null
187,keyword,keyword,0,null,control
188,keyword,control,1,keyword,razor
189,keyword,razor,2,control,directive
190,keyword,directive,3,razor,tagHelperPrefix
191,keyword,tagHelperPrefix,4,directive,null
192,keyword,keyword,0,null,control
193,keyword,control,1,keyword,razor
194,keyword,razor,2,control,directive
195,keyword,directive,3,razor,typeparam
196,keyword,typeparam,4,directive,null
197,keyword,keyword,0,null,control
198,keyword,control,1,keyword,razor
199,keyword,razor,2,control,optionalSemicolon
200,keyword,optionalSemicolon,3,razor,null
201,keyword,keyword,0,null,control
202,keyword,control,1,keyword,razor
203,keyword,razor,2,control,singleLineMarkup
204,keyword,singleLineMarkup,3,razor,null
205,keyword,keyword,0,null,control
206,keyword,control,1,keyword,switch
207,keyword,switch,2,control,cs
208,keyword,cs,3,switch,null
209,keyword,keyword,0,null,control
210,keyword,control,1,keyword,try
211,keyword,try,2,control,catch
212,keyword,catch,3,try,cs
213,keyword,cs,4,catch,null
214,keyword,keyword,0,null,control
215,keyword,control,1,keyword,try
216,keyword,try,2,control,cs
217,keyword,cs,3,try,null
218,keyword,keyword,0,null,control
219,keyword,control,1,keyword,try
220,keyword,try,2,control,finally
221,keyword,finally,3,try,cs
222,keyword,cs,4,finally,null
223,keyword,keyword,0,null,operator
224,keyword,operator,1,keyword,assignment
225,keyword,assignment,2,operator,cs
226,keyword,cs,3,assignment,null
227,keyword,keyword,0,null,operator
228,keyword,operator,1,keyword,logical
229,keyword,logical,2,operator,cs
230,keyword,cs,3,logical,null
231,keyword,keyword,0,null,operator
232,keyword,operator,1,keyword,null-conditional
233,keyword,null-conditional,2,operator,cs
234,keyword,cs,3,null-conditional,null
235,keyword,keyword,0,null,other
236,keyword,other,1,keyword,await
237,keyword,await,2,other,cs
238,keyword,cs,3,await,null
239,keyword,keyword,0,null,other
240,keyword,other,1,keyword,lock
241,keyword,lock,2,other,cs
242,keyword,cs,3,lock,null
243,keyword,keyword,0,null,other
244,keyword,other,1,keyword,static
245,keyword,static,2,other,cs
246,keyword,cs,3,static,null
247,keyword,keyword,0,null,other
248,keyword,other,1,keyword,using
249,keyword,using,2,other,cs
250,keyword,cs,3,using,null
251,keyword,keyword,0,null,other
252,keyword,other,1,keyword,var
253,keyword,var,2,other,cs
254,keyword,cs,3,var,null
255,meta,meta,0,null,comment
256,meta,comment,1,meta,razor
257,meta,razor,2,comment,null
258,meta,meta,0,null,directive
259,meta,directive,1,meta,null
260,meta,meta,0,null,directive
261,meta,directive,1,meta,block
262,meta,block,2,directive,null
263,meta,meta,0,null,expression
264,meta,expression,1,meta,explicit
265,meta,explicit,2,expression,cshtml
266,meta,cshtml,3,explicit,null
267,meta,meta,0,null,expression
268,meta,expression,1,meta,implicit
269,meta,implicit,2,expression,cshtml
270,meta,cshtml,3,implicit,null
271,meta,meta,0,null,statement
272,meta,statement,1,meta,catch
273,meta,catch,2,statement,razor
274,meta,razor,3,catch,null
275,meta,meta,0,null,statement
276,meta,statement,1,meta,do
277,meta,do,2,statement,razor
278,meta,razor,3,do,null
279,meta,meta,0,null,statement
280,meta,statement,1,meta,else
281,meta,else,2,statement,razor
282,meta,razor,3,else,null
283,meta,meta,0,null,statement
284,meta,statement,1,meta,finally
285,meta,finally,2,statement,razor
286,meta,razor,3,finally,null
287,meta,meta,0,null,statement
288,meta,statement,1,meta,for
289,meta,for,2,statement,razor
290,meta,razor,3,for,null
291,meta,meta,0,null,statement
