id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,css
2,comment,css,2,block,null
3,constant,constant,0,null,character
4,constant,character,1,constant,escape
5,constant,escape,2,character,codepoint
6,constant,codepoint,3,escape,css
7,constant,css,4,codepoint,null
8,constant,constant,0,null,character
9,constant,character,1,constant,escape
10,constant,escape,2,character,css
11,constant,css,3,escape,null
12,constant,constant,0,null,character
13,constant,character,1,constant,escape
14,constant,escape,2,character,newline
15,constant,newline,3,escape,css
16,constant,css,4,newline,null
17,constant,constant,0,null,numeric
18,constant,numeric,1,constant,css
19,constant,css,2,numeric,null
20,constant,constant,0,null,numeric
21,constant,numeric,1,constant,other
22,constant,other,2,numeric,density
23,constant,density,3,other,css
24,constant,css,4,density,null
25,constant,constant,0,null,other
26,constant,other,1,constant,color
27,constant,color,2,other,rgb-value
28,constant,rgb-value,3,color,hex
29,constant,hex,4,rgb-value,css
30,constant,css,5,hex,null
31,constant,constant,0,null,other
32,constant,other,1,constant,unicode-range
33,constant,unicode-range,2,other,css
34,constant,css,3,unicode-range,null
35,entity,entity,0,null,name
36,entity,name,1,entity,function
37,entity,function,2,name,namespace-prefix
38,entity,namespace-prefix,3,function,css
39,entity,css,4,namespace-prefix,null
40,entity,entity,0,null,name
41,entity,name,1,entity,tag
42,entity,tag,2,name,css
43,entity,css,3,tag,null
44,entity,entity,0,null,name
45,entity,name,1,entity,tag
46,entity,tag,2,name,custom
47,entity,custom,3,tag,css
48,entity,css,4,custom,null
49,entity,entity,0,null,name
50,entity,name,1,entity,tag
51,entity,tag,2,name,wildcard
52,entity,wildcard,3,tag,css
53,entity,css,4,wildcard,null
54,entity,entity,0,null,other
55,entity,other,1,entity,attribute-name
56,entity,attribute-name,2,other,class
57,entity,class,3,attribute-name,css
58,entity,css,4,class,null
59,entity,entity,0,null,other
60,entity,other,1,entity,attribute-name
61,entity,attribute-name,2,other,css
62,entity,css,3,attribute-name,null
63,entity,entity,0,null,other
64,entity,other,1,entity,attribute-name
65,entity,attribute-name,2,other,id
66,entity,id,3,attribute-name,css
67,entity,css,4,id,null
68,entity,entity,0,null,other
69,entity,other,1,entity,attribute-name
70,entity,attribute-name,2,other,pseudo-class
71,entity,pseudo-class,3,attribute-name,css
72,entity,css,4,pseudo-class,null
73,entity,entity,0,null,other
74,entity,other,1,entity,attribute-name
75,entity,attribute-name,2,other,pseudo-element
76,entity,pseudo-element,3,attribute-name,css
