id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,cuda-cpp
2,comment,cuda-cpp,2,block,null
3,comment,comment,0,null,block
4,comment,block,1,comment,documentation
5,comment,documentation,2,block,cuda-cpp
6,comment,cuda-cpp,3,documentation,null
7,comment,comment,0,null,line
8,comment,line,1,comment,banner
9,comment,banner,2,line,cuda-cpp
10,comment,cuda-cpp,3,banner,null
11,comment,comment,0,null,line
12,comment,line,1,comment,double-slash
13,comment,double-slash,2,line,cuda-cpp
14,comment,cuda-cpp,3,double-slash,null
15,comment,comment,0,null,line
16,comment,line,1,comment,double-slash
17,comment,double-slash,2,line,documentation
18,comment,documentation,3,double-slash,cuda-cpp
19,comment,cuda-cpp,4,documentation,null
20,constant,constant,0,null,character
21,constant,character,1,constant,escape
22,constant,escape,2,character,null
23,constant,constant,0,null,character
24,constant,character,1,constant,escape
25,constant,escape,2,character,cuda-cpp
26,constant,cuda-cpp,3,escape,null
27,constant,constant,0,null,character
28,constant,character,1,constant,escape
29,constant,escape,2,character,line-continuation
30,constant,line-continuation,3,escape,cuda-cpp
31,constant,cuda-cpp,4,line-continuation,null
32,constant,constant,0,null,language
33,constant,language,1,constant,$0
34,constant,$0,2,language,cuda-cpp
35,constant,cuda-cpp,3,$0,null
36,constant,constant,0,null,numeric
37,constant,numeric,1,constant,binary
38,constant,binary,2,numeric,cuda-cpp
39,constant,cuda-cpp,3,binary,null
40,constant,constant,0,null,numeric
41,constant,numeric,1,constant,decimal
42,constant,decimal,2,numeric,cuda-cpp
43,constant,cuda-cpp,3,decimal,null
44,constant,constant,0,null,numeric
45,constant,numeric,1,constant,decimal
46,constant,decimal,2,numeric,point
47,constant,point,3,decimal,cuda-cpp
48,constant,cuda-cpp,4,point,null
49,constant,constant,0,null,numeric
50,constant,numeric,1,constant,exponent
51,constant,exponent,2,numeric,decimal
52,constant,decimal,3,exponent,cuda-cpp
53,constant,cuda-cpp,4,decimal,null
54,constant,constant,0,null,numeric
55,constant,numeric,1,constant,exponent
56,constant,exponent,2,numeric,hexadecimal
57,constant,hexadecimal,3,exponent,cuda-cpp
58,constant,cuda-cpp,4,hexadecimal,null
59,constant,constant,0,null,numeric
60,constant,numeric,1,constant,hexadecimal
61,constant,hexadecimal,2,numeric,cuda-cpp
62,constant,cuda-cpp,3,hexadecimal,null
63,constant,constant,0,null,numeric
64,constant,numeric,1,constant,octal
65,constant,octal,2,numeric,cuda-cpp
66,constant,cuda-cpp,3,octal,null
67,constant,constant,0,null,other
68,constant,other,1,constant,placeholder
69,constant,placeholder,2,other,null
70,entity,entity,0,null,name
71,entity,name,1,entity,function
72,entity,function,2,name,call
73,entity,call,3,function,cuda-cpp
74,entity,cuda-cpp,4,call,null
75,entity,entity,0,null,name
76,entity,name,1,entity,function
77,entity,function,2,name,call
78,entity,call,3,function,initializer
79,entity,initializer,4,call,cuda-cpp
80,entity,cuda-cpp,5,initializer,null
81,entity,entity,0,null,name
82,entity,name,1,entity,function
83,entity,function,2,name,constructor
84,entity,constructor,3,function,cuda-cpp
85,entity,cuda-cpp,4,constructor,null
86,entity,entity,0,null,name
87,entity,name,1,entity,function
88,entity,function,2,name,definition
89,entity,definition,3,function,cuda-cpp
90,entity,cuda-cpp,4,definition,null
91,entity,entity,0,null,name
92,entity,name,1,entity,function
93,entity,function,2,name,definition
94,entity,definition,3,function,special
95,entity,special,4,definition,constructor
96,entity,constructor,5,special,cuda-cpp
97,entity,cuda-cpp,6,constructor,null
98,entity,entity,0,null,name
99,entity,name,1,entity,function
100,entity,function,2,name,definition
101,entity,definition,3,function,special
102,entity,special,4,definition,member
103,entity,member,5,special,destructor
104,entity,destructor,6,member,cuda-cpp
105,entity,cuda-cpp,7,destructor,null
106,entity,entity,0,null,name
107,entity,name,1,entity,function
108,entity,function,2,name,destructor
109,entity,destructor,3,function,cuda-cpp
110,entity,cuda-cpp,4,destructor,null
111,entity,entity,0,null,name
112,entity,name,1,entity,function
113,entity,function,2,name,member
114,entity,member,3,function,cuda-cpp
115,entity,cuda-cpp,4,member,null
116,entity,entity,0,null,name
117,entity,name,1,entity,function
118,entity,function,2,name,preprocessor
119,entity,preprocessor,3,function,cuda-cpp
120,entity,cuda-cpp,4,preprocessor,null
121,entity,entity,0,null,name
122,entity,name,1,entity,label
123,entity,label,2,name,call
124,entity,call,3,label,cuda-cpp
125,entity,cuda-cpp,4,call,null
126,entity,entity,0,null,name
127,entity,name,1,entity,label
128,entity,label,2,name,cuda-cpp
129,entity,cuda-cpp,3,label,null
130,entity,entity,0,null,name
131,entity,name,1,entity,namespace
132,entity,namespace,2,name,alias
133,entity,alias,3,namespace,cuda-cpp
134,entity,cuda-cpp,4,alias,null
135,entity,entity,0,null,name
136,entity,name,1,entity,namespace
137,entity,namespace,2,name,cuda-cpp
138,entity,cuda-cpp,3,namespace,null
139,entity,entity,0,null,name
140,entity,name,1,entity,operator
141,entity,operator,2,name,cuda-cpp
142,entity,cuda-cpp,3,operator,null
143,entity,entity,0,null,name
144,entity,name,1,entity,operator
145,entity,operator,2,name,custom-literal
146,entity,custom-literal,3,operator,cuda-cpp
147,entity,cuda-cpp,4,custom-literal,null
148,entity,entity,0,null,name
149,entity,name,1,entity,operator
150,entity,operator,2,name,type
151,entity,type,3,operator,array
152,entity,array,4,type,cuda-cpp
153,entity,cuda-cpp,5,array,null
154,entity,entity,0,null,name
155,entity,name,1,entity,operator
156,entity,operator,2,name,type
157,entity,type,3,operator,cuda-cpp
158,entity,cuda-cpp,4,type,null
159,entity,entity,0,null,name
160,entity,name,1,entity,operator
161,entity,operator,2,name,type
162,entity,type,3,operator,pointer
163,entity,pointer,4,type,cuda-cpp
164,entity,cuda-cpp,5,pointer,null
165,entity,entity,0,null,name
166,entity,name,1,entity,operator
167,entity,operator,2,name,type
168,entity,type,3,operator,reference
169,entity,reference,4,type,cuda-cpp
170,entity,cuda-cpp,5,reference,null
171,entity,entity,0,null,name
172,entity,name,1,entity,other
173,entity,other,2,name,preprocessor
174,entity,preprocessor,3,other,macro
175,entity,macro,4,preprocessor,include
176,entity,include,5,macro,cuda-cpp
177,entity,cuda-cpp,6,include,null
178,entity,entity,0,null,name
179,entity,name,1,entity,other
180,entity,other,2,name,preprocessor
181,entity,preprocessor,3,other,macro
182,entity,macro,4,preprocessor,predefined
183,entity,predefined,5,macro,$1
184,entity,$1,6,predefined,cuda-cpp
185,entity,cuda-cpp,7,$1,null
186,entity,entity,0,null,name
187,entity,name,1,entity,other
188,entity,other,2,name,preprocessor
189,entity,preprocessor,3,other,macro
190,entity,macro,4,preprocessor,predefined
191,entity,predefined,5,macro,DLLEXPORT
192,entity,DLLEXPORT,6,predefined,cuda-cpp
193,entity,cuda-cpp,7,DLLEXPORT,null
194,entity,entity,0,null,name
195,entity,name,1,entity,other
196,entity,other,2,name,preprocessor
197,entity,preprocessor,3,other,macro
198,entity,macro,4,preprocessor,predefined
199,entity,predefined,5,macro,probably
200,entity,probably,6,predefined,$0
201,entity,$0,7,probably,cuda-cpp
202,entity,cuda-cpp,8,$0,null
203,entity,entity,0,null,name
204,entity,name,1,entity,other
205,entity,other,2,name,preprocessor
206,entity,preprocessor,3,other,macro
207,entity,macro,4,preprocessor,predefined
208,entity,predefined,5,macro,probably
209,entity,probably,6,predefined,$1
210,entity,$1,7,probably,cuda-cpp
211,entity,cuda-cpp,8,$1,null
212,entity,entity,0,null,name
213,entity,name,1,entity,scope-resolution
214,entity,scope-resolution,2,name,constructor
215,entity,constructor,3,scope-resolution,cuda-cpp
216,entity,cuda-cpp,4,constructor,null
217,entity,entity,0,null,name
218,entity,name,1,entity,scope-resolution
219,entity,scope-resolution,2,name,cuda-cpp
220,entity,cuda-cpp,3,scope-resolution,null
221,entity,entity,0,null,name
222,entity,name,1,entity,scope-resolution
223,entity,scope-resolution,2,name,destructor
224,entity,destructor,3,scope-resolution,cuda-cpp
225,entity,cuda-cpp,4,destructor,null
226,entity,entity,0,null,name
227,entity,name,1,entity,scope-resolution
228,entity,scope-resolution,2,name,function
229,entity,function,3,scope-resolution,call
230,entity,call,4,function,cuda-cpp
231,entity,cuda-cpp,5,call,null
232,entity,entity,0,null,name
233,entity,name,1,entity,scope-resolution
234,entity,scope-resolution,2,name,function
235,entity,function,3,scope-resolution,definition
236,entity,definition,4,function,cuda-cpp
237,entity,cuda-cpp,5,definition,null
238,entity,entity,0,null,name
239,entity,name,1,entity,scope-resolution
240,entity,scope-resolution,2,name,function
241,entity,function,3,scope-resolution,definition
242,entity,definition,4,function,operator-overload
243,entity,operator-overload,5,definition,cuda-cpp
244,entity,cuda-cpp,6,operator-overload,null
245,entity,entity,0,null,name
246,entity,name,1,entity,scope-resolution
247,entity,scope-resolution,2,name,namespace
248,entity,namespace,3,scope-resolution,alias
249,entity,alias,4,namespace,cuda-cpp
250,entity,cuda-cpp,5,alias,null
251,entity,entity,0,null,name
