id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,dart
2,comment,dart,2,block,null
3,comment,comment,0,null,block
4,comment,block,1,comment,documentation
5,comment,documentation,2,block,dart
6,comment,dart,3,documentation,null
7,comment,comment,0,null,block
8,comment,block,1,comment,empty
9,comment,empty,2,block,dart
10,comment,dart,3,empty,null
11,comment,comment,0,null,line
12,comment,line,1,comment,double-slash
13,comment,double-slash,2,line,dart
14,comment,dart,3,double-slash,null
15,constant,constant,0,null,character
16,constant,character,1,constant,escape
17,constant,escape,2,character,dart
18,constant,dart,3,escape,null
19,constant,constant,0,null,language
20,constant,language,1,constant,dart
21,constant,dart,2,language,null
22,constant,constant,0,null,numeric
23,constant,numeric,1,constant,dart
24,constant,dart,2,numeric,null
25,entity,entity,0,null,name
26,entity,name,1,entity,function
27,entity,function,2,name,dart
28,entity,dart,3,function,null
29,invalid,invalid,0,null,string
30,invalid,string,1,invalid,newline
31,invalid,newline,2,string,null
32,keyword,keyword,0,null,cast
33,keyword,cast,1,keyword,dart
34,keyword,dart,2,cast,null
35,keyword,keyword,0,null,control
36,keyword,control,1,keyword,catch-exception
37,keyword,catch-exception,2,control,dart
38,keyword,dart,3,catch-exception,null
39,keyword,keyword,0,null,control
40,keyword,control,1,keyword,dart
41,keyword,dart,2,control,null
42,keyword,keyword,0,null,control
43,keyword,control,1,keyword,new
44,keyword,new,2,control,dart
45,keyword,dart,3,new,null
46,keyword,keyword,0,null,control
47,keyword,control,1,keyword,return
48,keyword,return,2,control,dart
49,keyword,dart,3,return,null
50,keyword,keyword,0,null,declaration
51,keyword,declaration,1,keyword,dart
52,keyword,dart,2,declaration,null
53,keyword,keyword,0,null,operator
54,keyword,operator,1,keyword,arithmetic
55,keyword,arithmetic,2,operator,dart
56,keyword,dart,3,arithmetic,null
57,keyword,keyword,0,null,operator
58,keyword,operator,1,keyword,assignment
59,keyword,assignment,2,operator,arithmetic
60,keyword,arithmetic,3,assignment,dart
61,keyword,dart,4,arithmetic,null
62,keyword,keyword,0,null,operator
63,keyword,operator,1,keyword,assignment
64,keyword,assignment,2,operator,bitwise
65,keyword,bitwise,3,assignment,dart
66,keyword,dart,4,bitwise,null
67,keyword,keyword,0,null,operator
68,keyword,operator,1,keyword,assignment
69,keyword,assignment,2,operator,dart
70,keyword,dart,3,assignment,null
71,keyword,keyword,0,null,operator
72,keyword,operator,1,keyword,bitwise
73,keyword,bitwise,2,operator,dart
74,keyword,dart,3,bitwise,null
75,keyword,keyword,0,null,operator
76,keyword,operator,1,keyword,closure
77,keyword,closure,2,operator,dart
78,keyword,dart,3,closure,null
79,keyword,keyword,0,null,operator
80,keyword,operator,1,keyword,comparison
81,keyword,comparison,2,operator,dart
82,keyword,dart,3,comparison,null
83,keyword,keyword,0,null,operator
84,keyword,operator,1,keyword,dart
85,keyword,dart,2,operator,null
86,keyword,keyword,0,null,operator
87,keyword,operator,1,keyword,increment-decrement
88,keyword,increment-decrement,2,operator,dart
89,keyword,dart,3,increment-decrement,null
90,keyword,keyword,0,null,operator
91,keyword,operator,1,keyword,logical
92,keyword,logical,2,operator,dart
93,keyword,dart,3,logical,null
94,keyword,keyword,0,null,operator
95,keyword,operator,1,keyword,ternary
96,keyword,ternary,2,operator,dart
97,keyword,dart,3,ternary,null
98,keyword,keyword,0,null,other
99,keyword,other,1,keyword,import
100,keyword,import,2,other,dart
101,keyword,dart,3,import,null
102,meta,meta,0,null,declaration
103,meta,declaration,1,meta,dart
104,meta,dart,2,declaration,null
105,meta,meta,0,null,embedded
106,meta,embedded,1,meta,expression
107,meta,expression,2,embedded,dart
108,meta,dart,3,expression,null
109,meta,meta,0,null,preprocessor
110,meta,preprocessor,1,meta,script
111,meta,script,2,preprocessor,dart
112,meta,dart,3,script,null
113,other,other,0,null,source
114,other,source,1,other,dart
115,other,dart,2,source,null
116,punctuation,punctuation,0,null,comma
117,punctuation,comma,1,punctuation,dart
118,punctuation,dart,2,comma,null
119,punctuation,punctuation,0,null,definition
120,punctuation,definition,1,punctuation,comment
121,punctuation,comment,2,definition,dart
122,punctuation,dart,3,comment,null
123,punctuation,punctuation,0,null,dot
124,punctuation,dot,1,punctuation,dart
125,punctuation,dart,2,dot,null
126,punctuation,punctuation,0,null,terminator
127,punctuation,terminator,1,punctuation,dart
128,punctuation,dart,2,terminator,null
129,storage,storage,0,null,modifier
130,storage,modifier,1,storage,dart
131,storage,dart,2,modifier,null
132,storage,storage,0,null,type
133,storage,type,1,storage,annotation
134,storage,annotation,2,type,dart
135,storage,dart,3,annotation,null
136,storage,storage,0,null,type
137,storage,type,1,storage,primitive
138,storage,primitive,2,type,dart
139,storage,dart,3,primitive,null
140,string,string,0,null,interpolated
141,string,interpolated,1,string,double
142,string,double,2,interpolated,dart
143,string,dart,3,double,null
144,string,string,0,null,interpolated
145,string,interpolated,1,string,single
146,string,single,2,interpolated,dart
147,string,dart,3,single,null
148,string,string,0,null,interpolated
149,string,interpolated,1,string,triple
150,string,triple,2,interpolated,double
151,string,double,3,triple,dart
152,string,dart,4,double,null
153,string,string,0,null,interpolated
154,string,interpolated,1,string,triple
155,string,triple,2,interpolated,single
156,string,single,3,triple,dart
157,string,dart,4,single,null
158,string,string,0,null,quoted
159,string,quoted,1,string,double
160,string,double,2,quoted,dart
161,string,dart,3,double,null
162,string,string,0,null,quoted
163,string,quoted,1,string,single
164,string,single,2,quoted,dart
165,string,dart,3,single,null
166,string,string,0,null,quoted
167,string,quoted,1,string,triple
168,string,triple,2,quoted,double
169,string,double,3,triple,dart
170,string,dart,4,double,null
171,string,string,0,null,quoted
172,string,quoted,1,string,triple
173,string,triple,2,quoted,single
174,string,single,3,triple,dart
175,string,dart,4,single,null
176,support,support,0,null,class
177,support,class,1,support,dart
178,support,dart,2,class,null
179,variable,variable,0,null,language
180,variable,language,1,variable,dart
181,variable,dart,2,language,null
182,variable,variable,0,null,name
183,variable,name,1,variable,source
184,variable,source,2,name,dart
185,variable,dart,3,source,null
186,variable,variable,0,null,other
187,variable,other,1,variable,source
188,variable,source,2,other,dart
189,variable,dart,3,source,null
190,variable,variable,0,null,parameter
191,variable,parameter,1,variable,dart
