id,root,name,layer,parent,children
0,comment,comment,0,null,line
1,comment,line,1,comment,number-sign
2,comment,number-sign,2,line,diff
3,comment,diff,3,number-sign,null
4,markup,markup,0,null,changed
5,markup,changed,1,markup,diff
6,markup,diff,2,changed,null
7,markup,markup,0,null,deleted
8,markup,deleted,1,markup,diff
9,markup,diff,2,deleted,null
10,markup,markup,0,null,inserted
11,markup,inserted,1,markup,diff
12,markup,diff,2,inserted,null
13,meta,meta,0,null,diff
14,meta,diff,1,meta,header
15,meta,header,2,diff,command
16,meta,command,3,header,null
17,meta,meta,0,null,diff
18,meta,diff,1,meta,header
19,meta,header,2,diff,from-file
20,meta,from-file,3,header,null
21,meta,meta,0,null,diff
22,meta,diff,1,meta,header
23,meta,header,2,diff,git
24,meta,git,3,header,null
25,meta,meta,0,null,diff
26,meta,diff,1,meta,header
27,meta,header,2,diff,to-file
28,meta,to-file,3,header,null
29,meta,meta,0,null,diff
30,meta,diff,1,meta,index
31,meta,index,2,diff,null
32,meta,meta,0,null,diff
33,meta,diff,1,meta,index
34,meta,index,2,diff,git
35,meta,git,3,index,null
36,meta,meta,0,null,diff
37,meta,diff,1,meta,only-in
38,meta,only-in,2,diff,null
39,meta,meta,0,null,diff
40,meta,diff,1,meta,range
41,meta,range,2,diff,context
42,meta,context,3,range,null
43,meta,meta,0,null,diff
44,meta,diff,1,meta,range
45,meta,range,2,diff,normal
46,meta,normal,3,range,null
47,meta,meta,0,null,diff
48,meta,diff,1,meta,range
49,meta,range,2,diff,unified
50,meta,unified,3,range,null
51,meta,meta,0,null,separator
52,meta,separator,1,meta,diff
53,meta,diff,2,separator,null
54,meta,meta,0,null,toc-list
55,meta,toc-list,1,meta,file-name
56,meta,file-name,2,toc-list,diff
57,meta,diff,3,file-name,null
58,meta,meta,0,null,toc-list
59,meta,toc-list,1,meta,line-number
60,meta,line-number,2,toc-list,diff
61,meta,diff,3,line-number,null
62,punctuation,punctuation,0,null,definition
63,punctuation,definition,1,punctuation,changed
64,punctuation,changed,2,definition,diff
65,punctuation,diff,3,changed,null
66,punctuation,punctuation,0,null,definition
67,punctuation,definition,1,punctuation,comment
68,punctuation,comment,2,definition,diff
69,punctuation,diff,3,comment,null
70,punctuation,punctuation,0,null,definition
71,punctuation,definition,1,punctuation,deleted
72,punctuation,deleted,2,definition,diff
73,punctuation,diff,3,deleted,null
74,punctuation,punctuation,0,null,definition
75,punctuation,definition,1,punctuation,from-file
76,punctuation,from-file,2,definition,diff
77,punctuation,diff,3,from-file,null
78,punctuation,punctuation,0,null,definition
79,punctuation,definition,1,punctuation,inserted
80,punctuation,inserted,2,definition,diff
81,punctuation,diff,3,inserted,null
82,punctuation,punctuation,0,null,definition
83,punctuation,definition,1,punctuation,range
84,punctuation,range,2,definition,diff
85,punctuation,diff,3,range,null
86,punctuation,punctuation,0,null,definition
87,punctuation,definition,1,punctuation,separator
88,punctuation,separator,2,definition,diff
89,punctuation,diff,3,separator,null
90,punctuation,punctuation,0,null,definition
91,punctuation,definition,1,punctuation,to-file
92,punctuation,to-file,2,definition,diff
93,punctuation,diff,3,to-file,null
94,punctuation,punctuation,0,null,separator
95,punctuation,separator,1,punctuation,key-value
96,punctuation,key-value,2,separator,diff
97,punctuation,diff,3,key-value,null
