id,root,name,layer,parent,children
0,comment,comment,0,null,line
1,comment,line,1,comment,number-sign
2,comment,number-sign,2,line,dockerfile
3,comment,dockerfile,3,number-sign,null
4,constant,constant,0,null,character
5,constant,character,1,constant,escaped
6,constant,escaped,2,character,dockerfile
7,constant,dockerfile,3,escaped,null
8,keyword,keyword,0,null,control
9,keyword,control,1,keyword,dockerfile
10,keyword,dockerfile,2,control,null
11,keyword,keyword,0,null,operator
12,keyword,operator,1,keyword,dockerfile
13,keyword,dockerfile,2,operator,null
14,keyword,keyword,0,null,other
15,keyword,other,1,keyword,special-method
16,keyword,special-method,2,other,dockerfile
17,keyword,dockerfile,3,special-method,null
18,punctuation,punctuation,0,null,definition
19,punctuation,definition,1,punctuation,comment
20,punctuation,comment,2,definition,dockerfile
21,punctuation,dockerfile,3,comment,null
22,punctuation,punctuation,0,null,definition
23,punctuation,definition,1,punctuation,string
24,punctuation,string,2,definition,begin
25,punctuation,begin,3,string,dockerfile
26,punctuation,dockerfile,4,begin,null
27,punctuation,punctuation,0,null,definition
28,punctuation,definition,1,punctuation,string
29,punctuation,string,2,definition,end
30,punctuation,end,3,string,dockerfile
31,punctuation,dockerfile,4,end,null
32,punctuation,punctuation,0,null,whitespace
33,punctuation,whitespace,1,punctuation,comment
34,punctuation,comment,2,whitespace,leading
35,punctuation,leading,3,comment,dockerfile
36,punctuation,dockerfile,4,leading,null
37,string,string,0,null,quoted
38,string,quoted,1,string,double
39,string,double,2,quoted,dockerfile
40,string,dockerfile,3,double,null
41,string,string,0,null,quoted
42,string,quoted,1,string,single
43,string,single,2,quoted,dockerfile
44,string,dockerfile,3,single,null
