id,root,name,layer,parent,children
0,abstract,abstract,0,null,definition
1,abstract,definition,1,abstract,fsharp
2,abstract,fsharp,2,definition,null
3,binding,binding,0,null,fsharp
4,binding,fsharp,1,binding,null
5,cexpr,cexpr,0,null,fsharp
6,cexpr,fsharp,1,cexpr,null
7,char,char,0,null,fsharp
8,char,fsharp,1,char,null
9,comment,comment,0,null,block
10,comment,block,1,comment,fsharp
11,comment,fsharp,2,block,null
12,comment,comment,0,null,block
13,comment,block,1,comment,markdown
14,comment,markdown,2,block,fsharp
15,comment,fsharp,3,markdown,null
16,comment,comment,0,null,block
17,comment,block,1,comment,markdown
18,comment,markdown,2,block,fsharp
19,comment,fsharp,3,markdown,end
20,comment,end,4,fsharp,null
21,comment,comment,0,null,line
22,comment,line,1,comment,double-slash
23,comment,double-slash,2,line,fsharp
24,comment,fsharp,3,double-slash,null
25,comment,comment,0,null,line
26,comment,line,1,comment,markdown
27,comment,markdown,2,line,fsharp
28,comment,fsharp,3,markdown,null
29,comment,comment,0,null,literate
30,comment,literate,1,comment,command
31,comment,command,2,literate,fsharp
32,comment,fsharp,3,command,null
33,constant,constant,0,null,character
34,constant,character,1,constant,string
35,constant,string,2,character,escape
36,constant,escape,3,string,fsharp
37,constant,fsharp,4,escape,null
38,constant,constant,0,null,language
39,constant,language,1,constant,boolean
40,constant,boolean,2,language,fsharp
41,constant,fsharp,3,boolean,null
42,constant,constant,0,null,numeric
43,constant,numeric,1,constant,float
44,constant,float,2,numeric,fsharp
45,constant,fsharp,3,float,null
46,constant,constant,0,null,numeric
47,constant,numeric,1,constant,integer
48,constant,integer,2,numeric,nativeint
49,constant,nativeint,3,integer,fsharp
50,constant,fsharp,4,nativeint,null
51,constant,constant,0,null,other
52,constant,other,1,constant,fsharp
53,constant,fsharp,2,other,null
54,du_declaration,du_declaration,0,null,fsharp
55,du_declaration,fsharp,1,du_declaration,null
56,entity,entity,0,null,name
57,entity,name,1,entity,section
58,entity,section,2,name,fsharp
59,entity,fsharp,3,section,null
60,entity,entity,0,null,name
61,entity,name,1,entity,type
62,entity,type,2,name,format
63,entity,format,3,type,specifier
64,entity,specifier,4,format,fsharp
65,entity,fsharp,5,specifier,null
66,entity,entity,0,null,name
67,entity,name,1,entity,type
68,entity,type,2,name,fsharp
69,entity,fsharp,3,type,null
70,entity,entity,0,null,name
71,entity,name,1,entity,type
72,entity,type,2,name,namespace
73,entity,namespace,3,type,fsharp
74,entity,fsharp,4,namespace,null
75,fast-capture,fast-capture,0,null,comment
76,fast-capture,comment,1,fast-capture,line
77,fast-capture,line,2,comment,double-slash
78,fast-capture,double-slash,3,line,fsharp
79,fast-capture,fsharp,4,double-slash,null
80,fast-capture,fast-capture,0,null,comment
81,fast-capture,comment,1,fast-capture,line
82,fast-capture,line,2,comment,mul-operator
83,fast-capture,mul-operator,3,line,fsharp
84,fast-capture,fsharp,4,mul-operator,null
85,function,function,0,null,anonymous
86,function,anonymous,1,function,null
87,invalid,invalid,0,null,illegal
88,invalid,illegal,1,invalid,character
89,invalid,character,2,illegal,string
90,invalid,string,3,character,fsharp
91,invalid,fsharp,4,string,null
92,keyword,keyword,0,null,control
93,keyword,control,1,keyword,null
94,keyword,keyword,0,null,control
95,keyword,control,1,keyword,directive
96,keyword,directive,2,control,fsharp
97,keyword,fsharp,3,directive,null
98,keyword,keyword,0,null,format
99,keyword,format,1,keyword,specifier
100,keyword,specifier,2,format,fsharp
101,keyword,fsharp,3,specifier,null
102,keyword,keyword,0,null,fsharp
103,keyword,fsharp,1,keyword,null
104,keyword,keyword,0,null,symbol
105,keyword,symbol,1,keyword,arrow
106,keyword,arrow,2,symbol,fsharp
107,keyword,fsharp,3,arrow,null
108,keyword,keyword,0,null,symbol
109,keyword,symbol,1,keyword,fsharp
110,keyword,fsharp,2,symbol,null
111,namespace,namespace,0,null,alias
112,namespace,alias,1,namespace,fsharp
113,namespace,fsharp,2,alias,null
114,namespace,namespace,0,null,open
115,namespace,open,1,namespace,fsharp
116,namespace,fsharp,2,open,null
117,punctuation,punctuation,0,null,definition
118,punctuation,definition,1,punctuation,string
119,punctuation,string,2,definition,begin
120,punctuation,begin,3,string,fsharp
121,punctuation,fsharp,4,begin,null
122,punctuation,punctuation,0,null,definition
123,punctuation,definition,1,punctuation,string
124,punctuation,string,2,definition,end
125,punctuation,end,3,string,fsharp
126,punctuation,fsharp,4,end,null
127,punctuation,punctuation,0,null,separator
128,punctuation,separator,1,punctuation,namespace-reference
129,punctuation,namespace-reference,2,separator,fsharp
130,punctuation,fsharp,3,namespace-reference,null
131,punctuation,punctuation,0,null,separator
132,punctuation,separator,1,punctuation,string
133,punctuation,string,2,separator,ignore-eol
134,punctuation,ignore-eol,3,string,fsharp
135,punctuation,fsharp,4,ignore-eol,null
136,record,record,0,null,fsharp
137,record,fsharp,1,record,null
138,storage,storage,0,null,modifier
139,storage,modifier,1,storage,null
140,storage,storage,0,null,modifier
141,storage,modifier,1,storage,fsharp
142,storage,fsharp,2,modifier,null
143,string,string,0,null,quoted
144,string,quoted,1,string,double
145,string,double,2,quoted,fsharp
146,string,fsharp,3,double,null
147,string,string,0,null,quoted
148,string,quoted,1,string,literal
149,string,literal,2,quoted,fsharp
150,string,fsharp,3,literal,null
151,string,string,0,null,quoted
152,string,quoted,1,string,single
153,string,single,2,quoted,fsharp
154,string,fsharp,3,single,null
155,string,string,0,null,quoted
156,string,quoted,1,string,triple
157,string,triple,2,quoted,fsharp
158,string,fsharp,3,triple,null
159,support,support,0,null,function
160,support,function,1,support,attribute
161,support,attribute,2,function,fsharp
162,support,fsharp,3,attribute,null
163,text,text,0,null,fsharp
164,text,fsharp,1,text,null
165,variable,variable,0,null,fsharp
166,variable,fsharp,1,variable,null
167,variable,variable,0,null,other
168,variable,other,1,variable,binding
169,variable,binding,2,other,fsharp
170,variable,fsharp,3,binding,null
171,variable,variable,0,null,parameter
172,variable,parameter,1,variable,fsharp
173,variable,fsharp,2,parameter,null
