id,root,name,layer,parent,children
0,comment,comment,0,null,line
1,comment,line,1,comment,number-sign
2,comment,number-sign,2,line,git-commit
3,comment,git-commit,3,number-sign,null
4,invalid,invalid,0,null,deprecated
5,invalid,deprecated,1,invalid,line-too-long
6,invalid,line-too-long,2,deprecated,git-commit
7,invalid,git-commit,3,line-too-long,null
8,invalid,invalid,0,null,illegal
9,invalid,illegal,1,invalid,line-too-long
10,invalid,line-too-long,2,illegal,git-commit
11,invalid,git-commit,3,line-too-long,null
12,keyword,keyword,0,null,other
13,keyword,other,1,keyword,file-type
14,keyword,file-type,2,other,git-commit
15,keyword,git-commit,3,file-type,null
16,markup,markup,0,null,changed
17,markup,changed,1,markup,git-commit
18,markup,git-commit,2,changed,null
19,markup,markup,0,null,deleted
20,markup,deleted,1,markup,git-commit
21,markup,git-commit,2,deleted,null
22,markup,markup,0,null,inserted
23,markup,inserted,1,markup,git-commit
24,markup,git-commit,2,inserted,null
25,meta,meta,0,null,embedded
26,meta,embedded,1,meta,diff
27,meta,diff,2,embedded,git-commit
28,meta,git-commit,3,diff,null
29,meta,meta,0,null,scope
30,meta,scope,1,meta,message
31,meta,message,2,scope,git-commit
32,meta,git-commit,3,message,null
33,meta,meta,0,null,scope
34,meta,scope,1,meta,metadata
35,meta,metadata,2,scope,git-commit
36,meta,git-commit,3,metadata,null
37,meta,meta,0,null,scope
38,meta,scope,1,meta,subject
39,meta,subject,2,scope,git-commit
40,meta,git-commit,3,subject,null
41,source,source,0,null,diff
42,source,diff,1,source,null
43,string,string,0,null,unquoted
44,string,unquoted,1,string,filename
45,string,filename,2,unquoted,git-commit
46,string,git-commit,3,filename,null
