id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,go
2,comment,go,2,block,null
3,comment,comment,0,null,line
4,comment,line,1,comment,double-slash
5,comment,double-slash,2,line,go
6,comment,go,3,double-slash,null
7,constant,constant,0,null,character
8,constant,character,1,constant,escape
9,constant,escape,2,character,go
10,constant,go,3,escape,null
11,constant,constant,0,null,language
12,constant,language,1,constant,boolean
13,constant,boolean,2,language,go
14,constant,go,3,boolean,null
15,constant,constant,0,null,language
16,constant,language,1,constant,iota
17,constant,iota,2,language,go
18,constant,go,3,iota,null
19,constant,constant,0,null,language
20,constant,language,1,constant,null
21,constant,null,2,language,go
22,constant,go,3,null,null
23,constant,constant,0,null,numeric
24,constant,numeric,1,constant,binary
25,constant,binary,2,numeric,go
26,constant,go,3,binary,null
27,constant,constant,0,null,numeric
28,constant,numeric,1,constant,decimal
29,constant,decimal,2,numeric,go
30,constant,go,3,decimal,null
31,constant,constant,0,null,numeric
32,constant,numeric,1,constant,decimal
33,constant,decimal,2,numeric,point
34,constant,point,3,decimal,go
35,constant,go,4,point,null
36,constant,constant,0,null,numeric
37,constant,numeric,1,constant,exponent
38,constant,exponent,2,numeric,decimal
39,constant,decimal,3,exponent,go
40,constant,go,4,decimal,null
41,constant,constant,0,null,numeric
42,constant,numeric,1,constant,exponent
43,constant,exponent,2,numeric,hexadecimal
44,constant,hexadecimal,3,exponent,go
45,constant,go,4,hexadecimal,null
46,constant,constant,0,null,numeric
47,constant,numeric,1,constant,hexadecimal
48,constant,hexadecimal,2,numeric,go
49,constant,go,3,hexadecimal,null
50,constant,constant,0,null,numeric
51,constant,numeric,1,constant,octal
52,constant,octal,2,numeric,go
53,constant,go,3,octal,null
54,constant,constant,0,null,other
55,constant,other,1,constant,placeholder
56,constant,placeholder,2,other,go
57,constant,go,3,placeholder,null
58,constant,constant,0,null,other
59,constant,other,1,constant,rune
60,constant,rune,2,other,go
61,constant,go,3,rune,null
62,entity,entity,0,null,name
63,entity,name,1,entity,function
64,entity,function,2,name,go
65,entity,go,3,function,null
66,entity,entity,0,null,name
67,entity,name,1,entity,function
68,entity,function,2,name,support
69,entity,support,3,function,builtin
70,entity,builtin,4,support,go
71,entity,go,5,builtin,null
