id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,empty
2,comment,empty,2,block,groovy
3,comment,groovy,3,empty,null
4,comment,comment,0,null,block
5,comment,block,1,comment,groovy
6,comment,groovy,2,block,null
7,comment,comment,0,null,line
8,comment,line,1,comment,double-slash
9,comment,double-slash,2,line,groovy
10,comment,groovy,3,double-slash,null
11,comment,comment,0,null,line
12,comment,line,1,comment,hashbang
13,comment,hashbang,2,line,groovy
14,comment,groovy,3,hashbang,null
15,constant,constant,0,null,character
16,constant,character,1,constant,escape
17,constant,escape,2,character,groovy
18,constant,groovy,3,escape,null
19,constant,constant,0,null,enum
20,constant,enum,1,constant,name
21,constant,name,2,enum,groovy
22,constant,groovy,3,name,null
23,constant,constant,0,null,language
24,constant,language,1,constant,groovy
25,constant,groovy,2,language,null
26,constant,constant,0,null,numeric
27,constant,numeric,1,constant,groovy
28,constant,groovy,2,numeric,null
29,constant,constant,0,null,other
30,constant,other,1,constant,groovy
31,constant,groovy,2,other,null
32,constant,constant,0,null,other
33,constant,other,1,constant,key
34,constant,key,2,other,groovy
35,constant,groovy,3,key,null
36,constant,constant,0,null,variable
37,constant,variable,1,constant,groovy
38,constant,groovy,2,variable,null
39,entity,entity,0,null,name
40,entity,name,1,entity,function
41,entity,function,2,name,java
42,entity,java,3,function,null
43,entity,entity,0,null,name
44,entity,name,1,entity,type
45,entity,type,2,name,class
46,entity,class,3,type,groovy
47,entity,groovy,4,class,null
48,entity,entity,0,null,other
49,entity,other,1,entity,inherited-class
50,entity,inherited-class,2,other,groovy
51,entity,groovy,3,inherited-class,null
52,invalid,invalid,0,null,illegal
53,invalid,illegal,1,invalid,character_not_allowed_here
54,invalid,character_not_allowed_here,2,illegal,groovy
55,invalid,groovy,3,character_not_allowed_here,null
56,keyword,keyword,0,null,control
57,keyword,control,1,keyword,assert
58,keyword,assert,2,control,groovy
59,keyword,groovy,3,assert,null
60,keyword,keyword,0,null,control
61,keyword,control,1,keyword,exception
62,keyword,exception,2,control,groovy
63,keyword,groovy,3,exception,null
64,keyword,keyword,0,null,control
65,keyword,control,1,keyword,groovy
66,keyword,groovy,2,control,null
67,keyword,keyword,0,null,control
68,keyword,control,1,keyword,new
69,keyword,new,2,control,groovy
70,keyword,groovy,3,new,null
71,keyword,keyword,0,null,operator
72,keyword,operator,1,keyword,arithmetic
73,keyword,arithmetic,2,operator,groovy
74,keyword,groovy,3,arithmetic,null
75,keyword,keyword,0,null,operator
76,keyword,operator,1,keyword,arrow
77,keyword,arrow,2,operator,groovy
78,keyword,groovy,3,arrow,null
79,keyword,keyword,0,null,operator
80,keyword,operator,1,keyword,as
81,keyword,as,2,operator,groovy
82,keyword,groovy,3,as,null
83,keyword,keyword,0,null,operator
84,keyword,operator,1,keyword,assert
85,keyword,assert,2,operator,expression-seperator
86,keyword,expression-seperator,3,assert,groovy
87,keyword,groovy,4,expression-seperator,null
88,keyword,keyword,0,null,operator
89,keyword,operator,1,keyword,assignment
90,keyword,assignment,2,operator,groovy
91,keyword,groovy,3,assignment,null
92,keyword,keyword,0,null,operator
93,keyword,operator,1,keyword,comparison
94,keyword,comparison,2,operator,groovy
95,keyword,groovy,3,comparison,null
96,keyword,keyword,0,null,operator
97,keyword,operator,1,keyword,dereference
98,keyword,dereference,2,operator,groovy
99,keyword,groovy,3,dereference,null
