id,root,name,layer,parent,children
0,comment,comment,0,null,line
1,comment,line,1,comment,block
2,comment,block,2,line,hlsl
3,comment,hlsl,3,block,null
4,comment,comment,0,null,line
5,comment,line,1,comment,double-slash
6,comment,double-slash,2,line,hlsl
7,comment,hlsl,3,double-slash,null
8,constant,constant,0,null,character
9,constant,character,1,constant,escape
10,constant,escape,2,character,hlsl
11,constant,hlsl,3,escape,null
12,constant,constant,0,null,language
13,constant,language,1,constant,hlsl
14,constant,hlsl,2,language,null
15,constant,constant,0,null,numeric
16,constant,numeric,1,constant,decimal
17,constant,decimal,2,numeric,hlsl
18,constant,hlsl,3,decimal,null
19,constant,constant,0,null,numeric
20,constant,numeric,1,constant,hex
21,constant,hex,2,numeric,hlsl
22,constant,hlsl,3,hex,null
23,keyword,keyword,0,null,control
24,keyword,control,1,keyword,fx
25,keyword,fx,2,control,hlsl
26,keyword,hlsl,3,fx,null
27,keyword,keyword,0,null,control
28,keyword,control,1,keyword,hlsl
29,keyword,hlsl,2,control,null
30,keyword,keyword,0,null,preprocessor
31,keyword,preprocessor,1,keyword,hlsl
32,keyword,hlsl,2,preprocessor,null
33,keyword,keyword,0,null,typealias
34,keyword,typealias,1,keyword,hlsl
35,keyword,hlsl,2,typealias,null
36,meta,meta,0,null,object-literal
37,meta,object-literal,1,meta,key
38,meta,key,2,object-literal,fx
39,meta,fx,3,key,blendstate
40,meta,blendstate,4,fx,hlsl
41,meta,hlsl,5,blendstate,null
42,meta,meta,0,null,object-literal
43,meta,object-literal,1,meta,key
44,meta,key,2,object-literal,fx
45,meta,fx,3,key,depthstencilstate
46,meta,depthstencilstate,4,fx,hlsl
47,meta,hlsl,5,depthstencilstate,null
48,meta,meta,0,null,object-literal
49,meta,object-literal,1,meta,key
50,meta,key,2,object-literal,fx
51,meta,fx,3,key,rasterizerstate
52,meta,rasterizerstate,4,fx,hlsl
53,meta,hlsl,5,rasterizerstate,null
54,meta,meta,0,null,object-literal
