id,root,name,layer,parent,children
0,entity,entity,0,null,name
1,entity,name,1,entity,tag
2,entity,tag,2,name,html
3,entity,html,3,tag,null
4,meta,meta,0,null,tag
5,meta,tag,1,meta,other
6,meta,other,2,tag,unrecognized
7,meta,unrecognized,3,other,html
8,meta,html,4,unrecognized,derivative
9,meta,derivative,5,html,null
10,punctuation,punctuation,0,null,definition
11,punctuation,definition,1,punctuation,tag
12,punctuation,tag,2,definition,begin
13,punctuation,begin,3,tag,html
14,punctuation,html,4,begin,null
15,punctuation,punctuation,0,null,definition
16,punctuation,definition,1,punctuation,tag
17,punctuation,tag,2,definition,end
18,punctuation,end,3,tag,html
19,punctuation,html,4,end,null
