id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,html
2,comment,html,2,block,null
3,comment,comment,0,null,block
4,comment,block,1,comment,js
5,comment,js,2,block,null
6,comment,comment,0,null,line
7,comment,line,1,comment,double-slash
8,comment,double-slash,2,line,js
9,comment,js,3,double-slash,null
10,constant,constant,0,null,character
11,constant,character,1,constant,entity
12,constant,entity,2,character,named
13,constant,named,3,entity,$2
14,constant,$2,4,named,html
15,constant,html,5,$2,null
16,constant,constant,0,null,character
17,constant,character,1,constant,entity
18,constant,entity,2,character,numeric
19,constant,numeric,3,entity,decimal
20,constant,decimal,4,numeric,html
21,constant,html,5,decimal,null
22,constant,constant,0,null,character
23,constant,character,1,constant,entity
24,constant,entity,2,character,numeric
25,constant,numeric,3,entity,hexadecimal
26,constant,hexadecimal,4,numeric,html
27,constant,html,5,hexadecimal,null
28,entity,entity,0,null,name
29,entity,name,1,entity,tag
30,entity,tag,2,name,html
31,entity,html,3,tag,null
32,entity,entity,0,null,other
33,entity,other,1,entity,attribute-name
34,entity,attribute-name,2,other,html
35,entity,html,3,attribute-name,null
36,invalid,invalid,0,null,deprecated
37,invalid,deprecated,1,invalid,entity
38,invalid,entity,2,deprecated,other
39,invalid,other,3,entity,attribute-name
40,invalid,attribute-name,4,other,html
41,invalid,html,5,attribute-name,null
42,invalid,invalid,0,null,deprecated
43,invalid,deprecated,1,invalid,html
44,invalid,html,2,deprecated,null
45,invalid,invalid,0,null,illegal
46,invalid,illegal,1,invalid,ambiguous-ampersand
47,invalid,ambiguous-ampersand,2,illegal,html
48,invalid,html,3,ambiguous-ampersand,null
49,invalid,invalid,0,null,illegal
50,invalid,illegal,1,invalid,character-not-allowed-here
51,invalid,character-not-allowed-here,2,illegal,html
52,invalid,html,3,character-not-allowed-here,null
53,invalid,invalid,0,null,illegal
54,invalid,illegal,1,invalid,characters-not-allowed-here
55,invalid,characters-not-allowed-here,2,illegal,html
56,invalid,html,3,characters-not-allowed-here,null
57,invalid,invalid,0,null,illegal
58,invalid,illegal,1,invalid,no-longer-supported
59,invalid,no-longer-supported,2,illegal,html
60,invalid,html,3,no-longer-supported,null
61,invalid,invalid,0,null,illegal
62,invalid,illegal,1,invalid,unexpected-equals-sign
63,invalid,unexpected-equals-sign,2,illegal,html
64,invalid,html,3,unexpected-equals-sign,null
65,invalid,invalid,0,null,illegal
66,invalid,illegal,1,invalid,unrecognized-tag
67,invalid,unrecognized-tag,2,illegal,html
68,invalid,html,3,unrecognized-tag,null
69,meta,meta,0,null,attribute
70,meta,attribute,1,meta,$1
71,meta,$1,2,attribute,html
72,meta,html,3,$1,null
73,meta,meta,0,null,attribute
74,meta,attribute,1,meta,data-x
75,meta,data-x,2,attribute,$1
76,meta,$1,3,data-x,html
77,meta,html,4,$1,null
78,meta,meta,0,null,attribute
79,meta,attribute,1,meta,event-handler
80,meta,event-handler,2,attribute,$1
81,meta,$1,3,event-handler,html
82,meta,html,4,$1,null
83,meta,meta,0,null,attribute
84,meta,attribute,1,meta,style
85,meta,style,2,attribute,html
86,meta,html,3,style,null
87,meta,meta,0,null,attribute
88,meta,attribute,1,meta,unrecognized
89,meta,unrecognized,2,attribute,$1
90,meta,$1,3,unrecognized,html
91,meta,html,4,$1,null
92,meta,meta,0,null,element
93,meta,element,1,meta,inline
94,meta,inline,2,element,math
95,meta,math,3,inline,$2
96,meta,$2,4,math,html
97,meta,html,5,$2,null
98,meta,meta,0,null,element
99,meta,element,1,meta,inline
100,meta,inline,2,element,svg
101,meta,svg,3,inline,$2
102,meta,$2,4,svg,html
103,meta,html,5,$2,null
104,meta,meta,0,null,element
105,meta,element,1,meta,metadata
106,meta,metadata,2,element,svg
107,meta,svg,3,metadata,$2
108,meta,$2,4,svg,html
109,meta,html,5,$2,null
110,meta,meta,0,null,element
111,meta,element,1,meta,object
112,meta,object,2,element,math
113,meta,math,3,object,$2
114,meta,$2,4,math,html
115,meta,html,5,$2,null
116,meta,meta,0,null,element
117,meta,element,1,meta,object
118,meta,object,2,element,svg
119,meta,svg,3,object,$2
120,meta,$2,4,svg,html
121,meta,html,5,$2,null
122,meta,meta,0,null,element
123,meta,element,1,meta,other
124,meta,other,2,element,invalid
125,meta,invalid,3,other,html
126,meta,html,4,invalid,null
127,meta,meta,0,null,element
128,meta,element,1,meta,other
129,meta,other,2,element,svg
130,meta,svg,3,other,$2
131,meta,$2,4,svg,html
132,meta,html,5,$2,null
133,meta,meta,0,null,element
134,meta,element,1,meta,structure
135,meta,structure,2,element,$2
136,meta,$2,3,structure,html
137,meta,html,4,$2,null
138,meta,meta,0,null,element
139,meta,element,1,meta,structure
140,meta,structure,2,element,math
141,meta,math,3,structure,$2
142,meta,$2,4,math,html
143,meta,html,5,$2,null
144,meta,meta,0,null,element
145,meta,element,1,meta,structure
146,meta,structure,2,element,svg
147,meta,svg,3,structure,$2
148,meta,$2,4,svg,html
149,meta,html,5,$2,null
150,meta,meta,0,null,embedded
151,meta,embedded,1,meta,block
152,meta,block,2,embedded,html
153,meta,html,3,block,null
154,meta,meta,0,null,embedded
155,meta,embedded,1,meta,line
156,meta,line,2,embedded,css
157,meta,css,3,line,null
158,meta,meta,0,null,embedded
159,meta,embedded,1,meta,line
160,meta,line,2,embedded,js
161,meta,js,3,line,null
162,meta,meta,0,null,tag
163,meta,tag,1,meta,custom
164,meta,custom,2,tag,end
165,meta,end,3,custom,html
166,meta,html,4,end,null
167,meta,meta,0,null,tag
168,meta,tag,1,meta,custom
169,meta,custom,2,tag,start
170,meta,start,3,custom,html
171,meta,html,4,start,null
172,meta,meta,0,null,tag
173,meta,tag,1,meta,inline
174,meta,inline,2,tag,$2
175,meta,$2,3,inline,end
176,meta,end,4,$2,html
177,meta,html,5,end,null
178,meta,meta,0,null,tag
179,meta,tag,1,meta,inline
180,meta,inline,2,tag,$2
181,meta,$2,3,inline,start
182,meta,start,4,$2,html
183,meta,html,5,start,null
184,meta,meta,0,null,tag
185,meta,tag,1,meta,inline
186,meta,inline,2,tag,$2
187,meta,$2,3,inline,void
188,meta,void,4,$2,html
189,meta,html,5,void,null
190,meta,meta,0,null,tag
191,meta,tag,1,meta,inline
192,meta,inline,2,tag,math
193,meta,math,3,inline,$2
194,meta,$2,4,math,end
195,meta,end,5,$2,html
196,meta,html,6,end,null
197,meta,meta,0,null,tag
198,meta,tag,1,meta,inline
199,meta,inline,2,tag,math
200,meta,math,3,inline,$2
201,meta,$2,4,math,start
202,meta,start,5,$2,html
203,meta,html,6,start,null
204,meta,meta,0,null,tag
205,meta,tag,1,meta,inline
206,meta,inline,2,tag,math
207,meta,math,3,inline,$2
208,meta,$2,4,math,void
209,meta,void,5,$2,html
210,meta,html,6,void,null
211,meta,meta,0,null,tag
212,meta,tag,1,meta,inline
213,meta,inline,2,tag,start
214,meta,start,3,inline,html
215,meta,html,4,start,null
216,meta,meta,0,null,tag
217,meta,tag,1,meta,inline
218,meta,inline,2,tag,svg
219,meta,svg,3,inline,$2
220,meta,$2,4,svg,end
221,meta,end,5,$2,html
222,meta,html,6,end,null
223,meta,meta,0,null,tag
224,meta,tag,1,meta,inline
225,meta,inline,2,tag,svg
226,meta,svg,3,inline,$2
227,meta,$2,4,svg,start
228,meta,start,5,$2,html
229,meta,html,6,start,null
230,meta,meta,0,null,tag
231,meta,tag,1,meta,inline
232,meta,inline,2,tag,svg
233,meta,svg,3,inline,$2
234,meta,$2,4,svg,void
235,meta,void,5,$2,html
236,meta,html,6,void,null
237,meta,meta,0,null,tag
238,meta,tag,1,meta,metadata
239,meta,metadata,2,tag,$2
240,meta,$2,3,metadata,end
241,meta,end,4,$2,html
242,meta,html,5,end,null
243,meta,meta,0,null,tag
244,meta,tag,1,meta,metadata
245,meta,metadata,2,tag,$2
246,meta,$2,3,metadata,start
247,meta,start,4,$2,html
248,meta,html,5,start,null
249,meta,meta,0,null,tag
250,meta,tag,1,meta,metadata
251,meta,metadata,2,tag,$2
252,meta,$2,3,metadata,void
253,meta,void,4,$2,html
254,meta,html,5,void,null
255,meta,meta,0,null,tag
256,meta,tag,1,meta,metadata
257,meta,metadata,2,tag,cdata
258,meta,cdata,3,metadata,html
259,meta,html,4,cdata,null
260,meta,meta,0,null,tag
261,meta,tag,1,meta,metadata
262,meta,metadata,2,tag,doctype
263,meta,doctype,3,metadata,html
264,meta,html,4,doctype,null
265,meta,meta,0,null,tag
266,meta,tag,1,meta,metadata
267,meta,metadata,2,tag,processing
268,meta,processing,3,metadata,xml
269,meta,xml,4,processing,html
270,meta,html,5,xml,null
271,meta,meta,0,null,tag
272,meta,tag,1,meta,metadata
273,meta,metadata,2,tag,script
274,meta,script,3,metadata,end
275,meta,end,4,script,html
276,meta,html,5,end,null
277,meta,meta,0,null,tag
278,meta,tag,1,meta,metadata
279,meta,metadata,2,tag,script
280,meta,script,3,metadata,start
281,meta,start,4,script,html
282,meta,html,5,start,null
283,meta,meta,0,null,tag
284,meta,tag,1,meta,metadata
285,meta,metadata,2,tag,start
286,meta,start,3,metadata,html
287,meta,html,4,start,null
288,meta,meta,0,null,tag
289,meta,tag,1,meta,metadata
290,meta,metadata,2,tag,style
291,meta,style,3,metadata,end
292,meta,end,4,style,html
293,meta,html,5,end,null
294,meta,meta,0,null,tag
295,meta,tag,1,meta,metadata
296,meta,metadata,2,tag,style
297,meta,style,3,metadata,start
298,meta,start,4,style,html
299,meta,html,5,start,null
300,meta,meta,0,null,tag
301,meta,tag,1,meta,metadata
302,meta,metadata,2,tag,svg
303,meta,svg,3,metadata,$2
304,meta,$2,4,svg,end
305,meta,end,5,$2,html
306,meta,html,6,end,null
307,meta,meta,0,null,tag
308,meta,tag,1,meta,metadata
309,meta,metadata,2,tag,svg
310,meta,svg,3,metadata,$2
311,meta,$2,4,svg,start
312,meta,start,5,$2,html
313,meta,html,6,start,null
314,meta,meta,0,null,tag
315,meta,tag,1,meta,metadata
316,meta,metadata,2,tag,svg
317,meta,svg,3,metadata,$2
318,meta,$2,4,svg,void
319,meta,void,5,$2,html
320,meta,html,6,void,null
321,meta,meta,0,null,tag
322,meta,tag,1,meta,object
323,meta,object,2,tag,$2
324,meta,$2,3,object,end
325,meta,end,4,$2,html
326,meta,html,5,end,null
327,meta,meta,0,null,tag
328,meta,tag,1,meta,object
329,meta,object,2,tag,$2
330,meta,$2,3,object,start
331,meta,start,4,$2,html
332,meta,html,5,start,null
333,meta,meta,0,null,tag
334,meta,tag,1,meta,object
335,meta,object,2,tag,$2
336,meta,$2,3,object,void
337,meta,void,4,$2,html
338,meta,html,5,void,null
339,meta,meta,0,null,tag
340,meta,tag,1,meta,object
341,meta,object,2,tag,math
342,meta,math,3,object,$2
343,meta,$2,4,math,end
344,meta,end,5,$2,html
345,meta,html,6,end,null
346,meta,meta,0,null,tag
347,meta,tag,1,meta,object
348,meta,object,2,tag,math
349,meta,math,3,object,$2
350,meta,$2,4,math,start
351,meta,start,5,$2,html
352,meta,html,6,start,null
353,meta,meta,0,null,tag
354,meta,tag,1,meta,object
355,meta,object,2,tag,math
356,meta,math,3,object,$2
357,meta,$2,4,math,void
358,meta,void,5,$2,html
359,meta,html,6,void,null
360,meta,meta,0,null,tag
361,meta,tag,1,meta,object
362,meta,object,2,tag,start
363,meta,start,3,object,html
364,meta,html,4,start,null
365,meta,meta,0,null,tag
366,meta,tag,1,meta,object
367,meta,object,2,tag,svg
368,meta,svg,3,object,$2
369,meta,$2,4,svg,end
370,meta,end,5,$2,html
371,meta,html,6,end,null
372,meta,meta,0,null,tag
373,meta,tag,1,meta,object
374,meta,object,2,tag,svg
375,meta,svg,3,object,$2
376,meta,$2,4,svg,start
377,meta,start,5,$2,html
378,meta,html,6,start,null
379,meta,meta,0,null,tag
380,meta,tag,1,meta,object
381,meta,object,2,tag,svg
382,meta,svg,3,object,$2
383,meta,$2,4,svg,void
384,meta,void,5,$2,html
385,meta,html,6,void,null
386,meta,meta,0,null,tag
387,meta,tag,1,meta,other
388,meta,other,2,tag,$2
389,meta,$2,3,other,end
390,meta,end,4,$2,html
391,meta,html,5,end,null
392,meta,meta,0,null,tag
393,meta,tag,1,meta,other
394,meta,other,2,tag,$2
395,meta,$2,3,other,html
396,meta,html,4,$2,null
397,meta,meta,0,null,tag
398,meta,tag,1,meta,other
399,meta,other,2,tag,$2
400,meta,$2,3,other,start
401,meta,start,4,$2,html
402,meta,html,5,start,null
403,meta,meta,0,null,tag
404,meta,tag,1,meta,other
405,meta,other,2,tag,invalid
406,meta,invalid,3,other,end
407,meta,end,4,invalid,html
408,meta,html,5,end,null
409,meta,meta,0,null,tag
410,meta,tag,1,meta,other
411,meta,other,2,tag,invalid
412,meta,invalid,3,other,start
413,meta,start,4,invalid,html
414,meta,html,5,start,null
415,meta,meta,0,null,tag
416,meta,tag,1,meta,other
417,meta,other,2,tag,invalid
418,meta,invalid,3,other,void
419,meta,void,4,invalid,html
420,meta,html,5,void,null
421,meta,meta,0,null,tag
422,meta,tag,1,meta,other
423,meta,other,2,tag,start
424,meta,start,3,other,html
425,meta,html,4,start,null
426,meta,meta,0,null,tag
427,meta,tag,1,meta,other
428,meta,other,2,tag,svg
429,meta,svg,3,other,$2
430,meta,$2,4,svg,end
431,meta,end,5,$2,html
432,meta,html,6,end,null
433,meta,meta,0,null,tag
434,meta,tag,1,meta,other
435,meta,other,2,tag,svg
436,meta,svg,3,other,$2
437,meta,$2,4,svg,start
438,meta,start,5,$2,html
439,meta,html,6,start,null
440,meta,meta,0,null,tag
441,meta,tag,1,meta,other
442,meta,other,2,tag,svg
443,meta,svg,3,other,$2
444,meta,$2,4,svg,void
445,meta,void,5,$2,html
446,meta,html,6,void,null
447,meta,meta,0,null,tag
448,meta,tag,1,meta,structure
449,meta,structure,2,tag,$2
450,meta,$2,3,structure,end
451,meta,end,4,$2,html
452,meta,html,5,end,null
453,meta,meta,0,null,tag
454,meta,tag,1,meta,structure
455,meta,structure,2,tag,$2
456,meta,$2,3,structure,start
457,meta,start,4,$2,html
458,meta,html,5,start,null
459,meta,meta,0,null,tag
460,meta,tag,1,meta,structure
461,meta,structure,2,tag,$2
462,meta,$2,3,structure,void
463,meta,void,4,$2,html
464,meta,html,5,void,null
465,meta,meta,0,null,tag
466,meta,tag,1,meta,structure
467,meta,structure,2,tag,math
468,meta,math,3,structure,$2
469,meta,$2,4,math,end
470,meta,end,5,$2,html
471,meta,html,6,end,null
472,meta,meta,0,null,tag
473,meta,tag,1,meta,structure
474,meta,structure,2,tag,math
475,meta,math,3,structure,$2
476,meta,$2,4,math,start
477,meta,start,5,$2,html
478,meta,html,6,start,null
479,meta,meta,0,null,tag
480,meta,tag,1,meta,structure
481,meta,structure,2,tag,math
482,meta,math,3,structure,$2
483,meta,$2,4,math,void
484,meta,void,5,$2,html
485,meta,html,6,void,null
486,meta,meta,0,null,tag
487,meta,tag,1,meta,structure
488,meta,structure,2,tag,start
489,meta,start,3,structure,html
490,meta,html,4,start,null
491,meta,meta,0,null,tag
492,meta,tag,1,meta,structure
493,meta,structure,2,tag,svg
494,meta,svg,3,structure,$2
495,meta,$2,4,svg,end
496,meta,end,5,$2,html
497,meta,html,6,end,null
498,meta,meta,0,null,tag
499,meta,tag,1,meta,structure
500,meta,structure,2,tag,svg
501,meta,svg,3,structure,$2
502,meta,$2,4,svg,start
503,meta,start,5,$2,html
504,meta,html,6,start,null
505,meta,meta,0,null,tag
506,meta,tag,1,meta,structure
507,meta,structure,2,tag,svg
508,meta,svg,3,structure,$2
509,meta,$2,4,svg,void
510,meta,void,5,$2,html
511,meta,html,6,void,null
512,punctuation,punctuation,0,null,definition
513,punctuation,definition,1,punctuation,comment
514,punctuation,comment,2,definition,begin
515,punctuation,begin,3,comment,js
516,punctuation,js,4,begin,null
517,punctuation,punctuation,0,null,definition
518,punctuation,definition,1,punctuation,comment
519,punctuation,comment,2,definition,end
520,punctuation,end,3,comment,js
521,punctuation,js,4,end,null
522,punctuation,punctuation,0,null,definition
523,punctuation,definition,1,punctuation,comment
524,punctuation,comment,2,definition,html
525,punctuation,html,3,comment,null
526,punctuation,punctuation,0,null,definition
527,punctuation,definition,1,punctuation,comment
528,punctuation,comment,2,definition,js
529,punctuation,js,3,comment,null
530,punctuation,punctuation,0,null,definition
531,punctuation,definition,1,punctuation,entity
532,punctuation,entity,2,definition,html
533,punctuation,html,3,entity,null
534,punctuation,punctuation,0,null,definition
535,punctuation,definition,1,punctuation,string
536,punctuation,string,2,definition,begin
537,punctuation,begin,3,string,html
538,punctuation,html,4,begin,null
539,punctuation,punctuation,0,null,definition
540,punctuation,definition,1,punctuation,string
541,punctuation,string,2,definition,end
542,punctuation,end,3,string,html
543,punctuation,html,4,end,null
544,punctuation,punctuation,0,null,definition
545,punctuation,definition,1,punctuation,tag
546,punctuation,tag,2,definition,begin
547,punctuation,begin,3,tag,html
548,punctuation,html,4,begin,null
549,punctuation,punctuation,0,null,definition
550,punctuation,definition,1,punctuation,tag
551,punctuation,tag,2,definition,end
552,punctuation,end,3,tag,html
553,punctuation,html,4,end,null
554,punctuation,punctuation,0,null,definition
555,punctuation,definition,1,punctuation,tag
556,punctuation,tag,2,definition,html
557,punctuation,html,3,tag,null
558,punctuation,punctuation,0,null,separator
559,punctuation,separator,1,punctuation,key-value
560,punctuation,key-value,2,separator,html
561,punctuation,html,3,key-value,null
562,punctuation,punctuation,0,null,whitespace
563,punctuation,whitespace,1,punctuation,comment
564,punctuation,comment,2,whitespace,leading
565,punctuation,leading,3,comment,js
566,punctuation,js,4,leading,null
567,punctuation,punctuation,0,null,whitespace
