id,root,name,layer,parent,children
0,comment,comment,0,null,line
1,comment,line,1,comment,number-sign
2,comment,number-sign,2,line,ini
3,comment,ini,3,number-sign,null
4,comment,comment,0,null,line
5,comment,line,1,comment,semicolon
6,comment,semicolon,2,line,ini
7,comment,ini,3,semicolon,null
8,constant,constant,0,null,character
9,constant,character,1,constant,escape
10,constant,escape,2,character,ini
11,constant,ini,3,escape,null
12,entity,entity,0,null,name
13,entity,name,1,entity,section
14,entity,section,2,name,group-title
15,entity,group-title,3,section,ini
16,entity,ini,4,group-title,null
17,keyword,keyword,0,null,other
18,keyword,other,1,keyword,definition
19,keyword,definition,2,other,ini
20,keyword,ini,3,definition,null
21,punctuation,punctuation,0,null,definition
22,punctuation,definition,1,punctuation,comment
23,punctuation,comment,2,definition,ini
24,punctuation,ini,3,comment,null
25,punctuation,punctuation,0,null,definition
26,punctuation,definition,1,punctuation,entity
27,punctuation,entity,2,definition,ini
28,punctuation,ini,3,entity,null
29,punctuation,punctuation,0,null,definition
30,punctuation,definition,1,punctuation,string
31,punctuation,string,2,definition,begin
32,punctuation,begin,3,string,ini
33,punctuation,ini,4,begin,null
34,punctuation,punctuation,0,null,definition
35,punctuation,definition,1,punctuation,string
36,punctuation,string,2,definition,end
37,punctuation,end,3,string,ini
38,punctuation,ini,4,end,null
39,punctuation,punctuation,0,null,separator
40,punctuation,separator,1,punctuation,key-value
41,punctuation,key-value,2,separator,ini
42,punctuation,ini,3,key-value,null
43,punctuation,punctuation,0,null,whitespace
44,punctuation,whitespace,1,punctuation,comment
45,punctuation,comment,2,whitespace,leading
46,punctuation,leading,3,comment,ini
47,punctuation,ini,4,leading,null
48,string,string,0,null,quoted
49,string,quoted,1,string,double
50,string,double,2,quoted,ini
51,string,ini,3,double,null
52,string,string,0,null,quoted
53,string,quoted,1,string,single
54,string,single,2,quoted,ini
55,string,ini,3,single,null
