id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,empty
2,comment,empty,2,block,java
3,comment,java,3,empty,null
4,comment,comment,0,null,block
5,comment,block,1,comment,java
6,comment,java,2,block,null
7,comment,comment,0,null,block
8,comment,block,1,comment,javadoc
9,comment,javadoc,2,block,java
10,comment,java,3,javadoc,null
11,comment,comment,0,null,line
12,comment,line,1,comment,double-slash
13,comment,double-slash,2,line,java
14,comment,java,3,double-slash,null
15,constant,constant,0,null,character
16,constant,character,1,constant,escape
17,constant,escape,2,character,java
18,constant,java,3,escape,null
19,constant,constant,0,null,language
20,constant,language,1,constant,java
21,constant,java,2,language,null
22,constant,constant,0,null,numeric
23,constant,numeric,1,constant,binary
24,constant,binary,2,numeric,java
25,constant,java,3,binary,null
26,constant,constant,0,null,numeric
27,constant,numeric,1,constant,decimal
28,constant,decimal,2,numeric,java
29,constant,java,3,decimal,null
30,constant,constant,0,null,numeric
31,constant,numeric,1,constant,hex
32,constant,hex,2,numeric,java
33,constant,java,3,hex,null
34,constant,constant,0,null,numeric
35,constant,numeric,1,constant,octal
36,constant,octal,2,numeric,java
37,constant,java,3,octal,null
38,constant,constant,0,null,other
39,constant,other,1,constant,enum
40,constant,enum,2,other,java
41,constant,java,3,enum,null
42,constant,constant,0,null,other
43,constant,other,1,constant,key
44,constant,key,2,other,java
45,constant,java,3,key,null
46,entity,entity,0,null,name
47,entity,name,1,entity,function
48,entity,function,2,name,java
49,entity,java,3,function,null
50,entity,entity,0,null,name
51,entity,name,1,entity,type
52,entity,type,2,name,class
53,entity,class,3,type,java
54,entity,java,4,class,null
55,entity,entity,0,null,name
56,entity,name,1,entity,type
57,entity,type,2,name,enum
58,entity,enum,3,type,java
59,entity,java,4,enum,null
60,entity,entity,0,null,name
61,entity,name,1,entity,type
62,entity,type,2,name,module
63,entity,module,3,type,java
64,entity,java,4,module,null
65,entity,entity,0,null,name
66,entity,name,1,entity,type
67,entity,type,2,name,record
68,entity,record,3,type,java
69,entity,java,4,record,null
70,entity,entity,0,null,other
71,entity,other,1,entity,inherited-class
72,entity,inherited-class,2,other,java
73,entity,java,3,inherited-class,null
74,invalid,invalid,0,null,deprecated
75,invalid,deprecated,1,invalid,package_name_not_lowercase
76,invalid,package_name_not_lowercase,2,deprecated,java
77,invalid,java,3,package_name_not_lowercase,null
78,invalid,invalid,0,null,illegal
79,invalid,illegal,1,invalid,character_not_allowed_here
80,invalid,character_not_allowed_here,2,illegal,java
81,invalid,java,3,character_not_allowed_here,null
82,invalid,invalid,0,null,illegal
83,invalid,illegal,1,invalid,identifier
84,invalid,identifier,2,illegal,java
85,invalid,java,3,identifier,null
86,keyword,keyword,0,null,control
87,keyword,control,1,keyword,assert
88,keyword,assert,2,control,java
89,keyword,java,3,assert,null
90,keyword,keyword,0,null,control
91,keyword,control,1,keyword,catch
92,keyword,catch,2,control,java
93,keyword,java,3,catch,null
94,keyword,keyword,0,null,control
95,keyword,control,1,keyword,finally
96,keyword,finally,2,control,java
97,keyword,java,3,finally,null
98,keyword,keyword,0,null,control
99,keyword,control,1,keyword,java
100,keyword,java,2,control,null
101,keyword,keyword,0,null,control
102,keyword,control,1,keyword,new
103,keyword,new,2,control,java
104,keyword,java,3,new,null
105,keyword,keyword,0,null,control
106,keyword,control,1,keyword,ternary
107,keyword,ternary,2,control,java
