id,root,name,layer,parent,children
0,bracket,bracket,0,null,end
1,bracket,end,1,bracket,julia
2,bracket,julia,2,end,null
3,comment,comment,0,null,block
4,comment,block,1,comment,number-sign-equals
5,comment,number-sign-equals,2,block,julia
6,comment,julia,3,number-sign-equals,null
7,comment,comment,0,null,line
8,comment,line,1,comment,number-sign
9,comment,number-sign,2,line,julia
10,comment,julia,3,number-sign,null
11,constant,constant,0,null,character
12,constant,character,1,constant,escape
13,constant,escape,2,character,julia
14,constant,julia,3,escape,null
15,constant,constant,0,null,global
16,constant,global,1,constant,julia
17,constant,julia,2,global,null
18,constant,constant,0,null,language
19,constant,language,1,constant,julia
20,constant,julia,2,language,null
21,constant,constant,0,null,numeric
22,constant,numeric,1,constant,julia
23,constant,julia,2,numeric,null
24,constant,constant,0,null,other
25,constant,other,1,constant,symbol
26,constant,symbol,2,other,julia
27,constant,julia,3,symbol,null
28,embed,embed,0,null,R
29,embed,R,1,embed,julia
30,embed,julia,2,R,null
31,embed,embed,0,null,cxx
32,embed,cxx,1,embed,julia
33,embed,julia,2,cxx,null
34,embed,embed,0,null,js
35,embed,js,1,embed,julia
36,embed,julia,2,js,null
37,embed,embed,0,null,python
38,embed,python,1,embed,julia
39,embed,julia,2,python,null
40,embed,embed,0,null,sql
41,embed,sql,1,embed,julia
42,embed,julia,2,sql,null
43,entity,entity,0,null,name
44,entity,name,1,entity,function
45,entity,function,2,name,julia
46,entity,julia,3,function,null
47,entity,entity,0,null,name
48,entity,name,1,entity,type
49,entity,type,2,name,julia
50,entity,julia,3,type,null
51,entity,entity,0,null,other
52,entity,other,1,entity,inherited-class
53,entity,inherited-class,2,other,julia
54,entity,julia,3,inherited-class,null
55,keyword,keyword,0,null,control
56,keyword,control,1,keyword,as
57,keyword,as,2,control,julia
58,keyword,julia,3,as,null
59,keyword,keyword,0,null,control
60,keyword,control,1,keyword,end
61,keyword,end,2,control,julia
62,keyword,julia,3,end,null
63,keyword,keyword,0,null,control
64,keyword,control,1,keyword,export
65,keyword,export,2,control,julia
66,keyword,julia,3,export,null
67,keyword,keyword,0,null,control
68,keyword,control,1,keyword,import
69,keyword,import,2,control,julia
70,keyword,julia,3,import,null
71,keyword,keyword,0,null,control
72,keyword,control,1,keyword,julia
73,keyword,julia,2,control,null
74,keyword,keyword,0,null,control
75,keyword,control,1,keyword,public
76,keyword,public,2,control,julia
77,keyword,julia,3,public,null
78,keyword,keyword,0,null,control
79,keyword,control,1,keyword,using
80,keyword,using,2,control,julia
81,keyword,julia,3,using,null
82,keyword,keyword,0,null,operator
83,keyword,operator,1,keyword,applies
84,keyword,applies,2,operator,julia
85,keyword,julia,3,applies,null
86,keyword,keyword,0,null,operator
87,keyword,operator,1,keyword,arithmetic
88,keyword,arithmetic,2,operator,julia
89,keyword,julia,3,arithmetic,null
90,keyword,keyword,0,null,operator
91,keyword,operator,1,keyword,arrow
92,keyword,arrow,2,operator,julia
93,keyword,julia,3,arrow,null
94,keyword,keyword,0,null,operator
95,keyword,operator,1,keyword,bitwise
96,keyword,bitwise,2,operator,julia
97,keyword,julia,3,bitwise,null
98,keyword,keyword,0,null,operator
99,keyword,operator,1,keyword,boolean
100,keyword,boolean,2,operator,julia
101,keyword,julia,3,boolean,null
102,keyword,keyword,0,null,operator
103,keyword,operator,1,keyword,compose
104,keyword,compose,2,operator,julia
105,keyword,julia,3,compose,null
106,keyword,keyword,0,null,operator
107,keyword,operator,1,keyword,conjugate-number
108,keyword,conjugate-number,2,operator,julia
109,keyword,julia,3,conjugate-number,null
110,keyword,keyword,0,null,operator
111,keyword,operator,1,keyword,dots
112,keyword,dots,2,operator,julia
113,keyword,julia,3,dots,null
114,keyword,keyword,0,null,operator
115,keyword,operator,1,keyword,interpolation
116,keyword,interpolation,2,operator,julia
117,keyword,julia,3,interpolation,null
118,keyword,keyword,0,null,operator
119,keyword,operator,1,keyword,isa
120,keyword,isa,2,operator,julia
121,keyword,julia,3,isa,null
122,keyword,keyword,0,null,operator
123,keyword,operator,1,keyword,range
124,keyword,range,2,operator,julia
125,keyword,julia,3,range,null
126,keyword,keyword,0,null,operator
127,keyword,operator,1,keyword,relation
128,keyword,relation,2,operator,in
129,keyword,in,3,relation,julia
130,keyword,julia,4,in,null
131,keyword,keyword,0,null,operator
132,keyword,operator,1,keyword,relation
133,keyword,relation,2,operator,julia
134,keyword,julia,3,relation,null
135,keyword,keyword,0,null,operator
136,keyword,operator,1,keyword,relation
137,keyword,relation,2,operator,types
138,keyword,types,3,relation,julia
139,keyword,julia,4,types,null
140,keyword,keyword,0,null,operator
141,keyword,operator,1,keyword,shift
142,keyword,shift,2,operator,julia
143,keyword,julia,3,shift,null
144,keyword,keyword,0,null,operator
145,keyword,operator,1,keyword,ternary
146,keyword,ternary,2,operator,julia
147,keyword,julia,3,ternary,null
148,keyword,keyword,0,null,operator
149,keyword,operator,1,keyword,transpose
150,keyword,transpose,2,operator,julia
151,keyword,julia,3,transpose,null
152,keyword,keyword,0,null,operator
153,keyword,operator,1,keyword,transposed-func
154,keyword,transposed-func,2,operator,julia
155,keyword,julia,3,transposed-func,null
156,keyword,keyword,0,null,operator
157,keyword,operator,1,keyword,transposed-matrix
158,keyword,transposed-matrix,2,operator,julia
159,keyword,julia,3,transposed-matrix,null
160,keyword,keyword,0,null,operator
161,keyword,operator,1,keyword,transposed-parens
162,keyword,transposed-parens,2,operator,julia
163,keyword,julia,3,transposed-parens,null
164,keyword,keyword,0,null,operator
165,keyword,operator,1,keyword,transposed-variable
166,keyword,transposed-variable,2,operator,julia
167,keyword,julia,3,transposed-variable,null
168,keyword,keyword,0,null,operator
169,keyword,operator,1,keyword,update
170,keyword,update,2,operator,julia
171,keyword,julia,3,update,null
172,keyword,keyword,0,null,other
173,keyword,other,1,keyword,comment-annotation
174,keyword,comment-annotation,2,other,julia
175,keyword,julia,3,comment-annotation,null
176,keyword,keyword,0,null,other
177,keyword,other,1,keyword,julia
178,keyword,julia,2,other,null
179,keyword,keyword,0,null,other
180,keyword,other,1,keyword,option-toggle
181,keyword,option-toggle,2,other,regexp
182,keyword,regexp,3,option-toggle,julia
183,keyword,julia,4,regexp,null
184,keyword,keyword,0,null,storage
185,keyword,storage,1,keyword,modifier
186,keyword,modifier,2,storage,julia
187,keyword,julia,3,modifier,null
188,meta,meta,0,null,array
189,meta,array,1,meta,julia
190,meta,julia,2,array,null
191,meta,meta,0,null,bracket
192,meta,bracket,1,meta,julia
193,meta,julia,2,bracket,null
194,meta,meta,0,null,embedded
195,meta,embedded,1,meta,inline
196,meta,inline,2,embedded,cpp
197,meta,cpp,3,inline,null
198,meta,meta,0,null,embedded
199,meta,embedded,1,meta,inline
200,meta,inline,2,embedded,javascript
201,meta,javascript,3,inline,null
202,meta,meta,0,null,embedded
203,meta,embedded,1,meta,inline
204,meta,inline,2,embedded,python
205,meta,python,3,inline,null
206,meta,meta,0,null,embedded
207,meta,embedded,1,meta,inline
208,meta,inline,2,embedded,r
209,meta,r,3,inline,null
210,meta,meta,0,null,embedded
211,meta,embedded,1,meta,inline
212,meta,inline,2,embedded,sql
213,meta,sql,3,inline,null
214,meta,meta,0,null,type
215,meta,type,1,meta,julia
216,meta,julia,2,type,null
217,punctuation,punctuation,0,null,definition
218,punctuation,definition,1,punctuation,comment
219,punctuation,comment,2,definition,begin
220,punctuation,begin,3,comment,julia
221,punctuation,julia,4,begin,null
222,punctuation,punctuation,0,null,definition
223,punctuation,definition,1,punctuation,comment
224,punctuation,comment,2,definition,end
225,punctuation,end,3,comment,julia
226,punctuation,julia,4,end,null
227,punctuation,punctuation,0,null,definition
228,punctuation,definition,1,punctuation,comment
229,punctuation,comment,2,definition,julia
230,punctuation,julia,3,comment,null
231,punctuation,punctuation,0,null,definition
232,punctuation,definition,1,punctuation,string
233,punctuation,string,2,definition,begin
234,punctuation,begin,3,string,julia
235,punctuation,julia,4,begin,null
236,punctuation,punctuation,0,null,definition
237,punctuation,definition,1,punctuation,string
238,punctuation,string,2,definition,end
239,punctuation,end,3,string,julia
240,punctuation,julia,4,end,null
241,punctuation,punctuation,0,null,definition
242,punctuation,definition,1,punctuation,string
243,punctuation,string,2,definition,multiline
244,punctuation,multiline,3,string,begin
245,punctuation,begin,4,multiline,julia
246,punctuation,julia,5,begin,null
247,punctuation,punctuation,0,null,definition
248,punctuation,definition,1,punctuation,string
249,punctuation,string,2,definition,multiline
250,punctuation,multiline,3,string,end
251,punctuation,end,4,multiline,julia
252,punctuation,julia,5,end,null
253,punctuation,punctuation,0,null,definition
254,punctuation,definition,1,punctuation,string
255,punctuation,string,2,definition,regexp
256,punctuation,regexp,3,string,begin
257,punctuation,begin,4,regexp,julia
258,punctuation,julia,5,begin,null
259,punctuation,punctuation,0,null,definition
260,punctuation,definition,1,punctuation,string
261,punctuation,string,2,definition,regexp
262,punctuation,regexp,3,string,end
263,punctuation,end,4,regexp,julia
264,punctuation,julia,5,end,null
265,punctuation,punctuation,0,null,separator
266,punctuation,separator,1,punctuation,comma
267,punctuation,comma,2,separator,julia
268,punctuation,julia,3,comma,null
269,punctuation,punctuation,0,null,separator
