id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,less
2,comment,less,2,block,null
3,comment,comment,0,null,line
4,comment,line,1,comment,double-slash
5,comment,double-slash,2,line,less
6,comment,less,3,double-slash,null
7,constant,constant,0,null,character
8,constant,character,1,constant,escape
9,constant,escape,2,character,less
10,constant,less,3,escape,null
11,constant,constant,0,null,character
12,constant,character,1,constant,escape
13,constant,escape,2,character,newline
14,constant,newline,3,escape,less
15,constant,less,4,newline,null
16,constant,constant,0,null,codepoint-range
17,constant,codepoint-range,1,constant,less
18,constant,less,2,codepoint-range,null
19,constant,constant,0,null,language
20,constant,language,1,constant,all
21,constant,all,2,language,less
22,constant,less,3,all,null
23,constant,constant,0,null,language
24,constant,language,1,constant,import-directive
25,constant,import-directive,2,language,less
26,constant,less,3,import-directive,null
27,constant,constant,0,null,language
28,constant,language,1,constant,less
29,constant,less,2,language,null
30,constant,constant,0,null,language
31,constant,language,1,constant,relative
32,constant,relative,2,language,less
33,constant,less,3,relative,null
34,constant,constant,0,null,numeric
35,constant,numeric,1,constant,less
36,constant,less,2,numeric,null
37,constant,constant,0,null,other
38,constant,other,1,constant,color
39,constant,color,2,other,rgb-value
40,constant,rgb-value,3,color,less
41,constant,less,4,rgb-value,null
42,entity,entity,0,null,name
43,entity,name,1,entity,constant
44,entity,constant,2,name,counter-name
45,entity,counter-name,3,constant,less
46,entity,less,4,counter-name,null
47,entity,entity,0,null,name
48,entity,name,1,entity,constant
49,entity,constant,2,name,less
50,entity,less,3,constant,null
51,entity,entity,0,null,name
52,entity,name,1,entity,constant
53,entity,constant,2,name,namespace-prefix
54,entity,namespace-prefix,3,constant,less
55,entity,less,4,namespace-prefix,null
56,entity,entity,0,null,name
57,entity,name,1,entity,namespace
58,entity,namespace,2,name,wildcard
59,entity,wildcard,3,namespace,less
60,entity,less,4,wildcard,null
61,entity,entity,0,null,name
62,entity,name,1,entity,tag
63,entity,tag,2,name,custom
64,entity,custom,3,tag,less
65,entity,less,4,custom,null
66,entity,entity,0,null,name
67,entity,name,1,entity,tag
68,entity,tag,2,name,less
69,entity,less,3,tag,null
70,entity,entity,0,null,name
71,entity,name,1,entity,tag
72,entity,tag,2,name,wildcard
73,entity,wildcard,3,tag,less
74,entity,less,4,wildcard,null
75,entity,entity,0,null,other
76,entity,other,1,entity,attribute-name
77,entity,attribute-name,2,other,class
78,entity,class,3,attribute-name,less
79,entity,less,4,class,null
80,entity,entity,0,null,other
81,entity,other,1,entity,attribute-name
82,entity,attribute-name,2,other,id
83,entity,id,3,attribute-name,less
84,entity,less,4,id,null
85,entity,entity,0,null,other
86,entity,other,1,entity,attribute-name
87,entity,attribute-name,2,other,less
88,entity,less,3,attribute-name,null
89,entity,entity,0,null,other
90,entity,other,1,entity,attribute-name
91,entity,attribute-name,2,other,parent
92,entity,parent,3,attribute-name,less
93,entity,less,4,parent,null
94,entity,entity,0,null,other
95,entity,other,1,entity,attribute-name
96,entity,attribute-name,2,other,pseudo-class
97,entity,pseudo-class,3,attribute-name,extend
98,entity,extend,4,pseudo-class,less
99,entity,less,5,extend,null
100,entity,entity,0,null,other
101,entity,other,1,entity,attribute-name
102,entity,attribute-name,2,other,pseudo-class
103,entity,pseudo-class,3,attribute-name,less
104,entity,less,4,pseudo-class,null
105,entity,entity,0,null,other
106,entity,other,1,entity,attribute-name
107,entity,attribute-name,2,other,pseudo-element
108,entity,pseudo-element,3,attribute-name,less
109,entity,less,4,pseudo-element,null
110,entity,entity,0,null,other
111,entity,other,1,entity,counter-name
112,entity,counter-name,2,other,less
113,entity,less,3,counter-name,null
114,entity,entity,0,null,other
115,entity,other,1,entity,counter-style-name
116,entity,counter-style-name,2,other,css
117,entity,css,3,counter-style-name,null
118,invalid,invalid,0,null,deprecated
119,invalid,deprecated,1,invalid,custom-property
120,invalid,custom-property,2,deprecated,less
121,invalid,less,3,custom-property,null
122,invalid,invalid,0,null,illegal
123,invalid,illegal,1,invalid,combinator
124,invalid,combinator,2,illegal,less
125,invalid,less,3,combinator,null
126,invalid,invalid,0,null,illegal
127,invalid,illegal,1,invalid,counter-style-name
128,invalid,counter-style-name,2,illegal,less
129,invalid,less,3,counter-style-name,null
130,invalid,invalid,0,null,illegal
131,invalid,illegal,1,invalid,newline
132,invalid,newline,2,illegal,less
133,invalid,less,3,newline,null
134,invalid,invalid,0,null,illegal
135,invalid,illegal,1,invalid,property-value
136,invalid,property-value,2,illegal,less
137,invalid,less,3,property-value,null
138,keyword,keyword,0,null,control
139,keyword,control,1,keyword,at-rule
140,keyword,at-rule,2,control,charset
141,keyword,charset,3,at-rule,less
142,keyword,less,4,charset,null
143,keyword,keyword,0,null,control
144,keyword,control,1,keyword,at-rule
145,keyword,at-rule,2,control,container
146,keyword,container,3,at-rule,less
147,keyword,less,4,container,null
148,keyword,keyword,0,null,control
149,keyword,control,1,keyword,at-rule
150,keyword,at-rule,2,control,counter-style
151,keyword,counter-style,3,at-rule,less
152,keyword,less,4,counter-style,null
153,keyword,keyword,0,null,control
154,keyword,control,1,keyword,at-rule
155,keyword,at-rule,2,control,custom-media
156,keyword,custom-media,3,at-rule,less
157,keyword,less,4,custom-media,null
158,keyword,keyword,0,null,control
159,keyword,control,1,keyword,at-rule
160,keyword,at-rule,2,control,font-face
161,keyword,font-face,3,at-rule,less
162,keyword,less,4,font-face,null
163,keyword,keyword,0,null,control
164,keyword,control,1,keyword,at-rule
165,keyword,at-rule,2,control,import
166,keyword,import,3,at-rule,less
167,keyword,less,4,import,null
168,keyword,keyword,0,null,control
169,keyword,control,1,keyword,at-rule
170,keyword,at-rule,2,control,keyframe
171,keyword,keyframe,3,at-rule,less
172,keyword,less,4,keyframe,null
173,keyword,keyword,0,null,control
174,keyword,control,1,keyword,at-rule
175,keyword,at-rule,2,control,media
176,keyword,media,3,at-rule,less
177,keyword,less,4,media,null
178,keyword,keyword,0,null,control
179,keyword,control,1,keyword,at-rule
180,keyword,at-rule,2,control,namespace
181,keyword,namespace,3,at-rule,less
182,keyword,less,4,namespace,null
183,keyword,keyword,0,null,control
184,keyword,control,1,keyword,at-rule
185,keyword,at-rule,2,control,page
186,keyword,page,3,at-rule,less
187,keyword,less,4,page,null
188,keyword,keyword,0,null,control
189,keyword,control,1,keyword,at-rule
190,keyword,at-rule,2,control,supports
191,keyword,supports,3,at-rule,less
192,keyword,less,4,supports,null
193,keyword,keyword,0,null,control
194,keyword,control,1,keyword,conditional
195,keyword,conditional,2,control,less
196,keyword,less,3,conditional,null
197,keyword,keyword,0,null,operator
198,keyword,operator,1,keyword,arithmetic
199,keyword,arithmetic,2,operator,less
200,keyword,less,3,arithmetic,null
201,keyword,keyword,0,null,operator
202,keyword,operator,1,keyword,attribute-selector
203,keyword,attribute-selector,2,operator,less
204,keyword,less,3,attribute-selector,null
205,keyword,keyword,0,null,operator
206,keyword,operator,1,keyword,comparison
207,keyword,comparison,2,operator,less
208,keyword,less,3,comparison,null
209,keyword,keyword,0,null,operator
210,keyword,operator,1,keyword,less
211,keyword,less,2,operator,null
212,keyword,keyword,0,null,operator
213,keyword,operator,1,keyword,logic
214,keyword,logic,2,operator,less
215,keyword,less,3,logic,null
216,keyword,keyword,0,null,operator
217,keyword,operator,1,keyword,logic
218,keyword,logic,2,operator,media
219,keyword,media,3,logic,less
220,keyword,less,4,media,null
221,keyword,keyword,0,null,operator
222,keyword,operator,1,keyword,logical
223,keyword,logical,2,operator,less
224,keyword,less,3,logical,null
225,keyword,keyword,0,null,operator
226,keyword,operator,1,keyword,spread
227,keyword,spread,2,operator,less
228,keyword,less,3,spread,null
229,keyword,keyword,0,null,other
230,keyword,other,1,keyword,custom-property
231,keyword,custom-property,2,other,prefix
232,keyword,prefix,3,custom-property,less
233,keyword,less,4,prefix,null
234,keyword,keyword,0,null,other
235,keyword,other,1,keyword,important
236,keyword,important,2,other,less
237,keyword,less,3,important,null
238,keyword,keyword,0,null,other
239,keyword,other,1,keyword,keyframe-selector
240,keyword,keyframe-selector,2,other,less
241,keyword,less,3,keyframe-selector,null
242,keyword,keyword,0,null,other
243,keyword,other,1,keyword,less
244,keyword,less,2,other,null
245,keyword,keyword,0,null,other
246,keyword,other,1,keyword,pseudo-class
247,keyword,pseudo-class,2,other,less
248,keyword,less,3,pseudo-class,null
249,keyword,keyword,0,null,other
250,keyword,other,1,keyword,unit
251,keyword,unit,2,other,less
252,keyword,less,3,unit,null
253,markup,markup,0,null,raw
254,markup,raw,1,markup,inline
255,markup,inline,2,raw,less
256,markup,less,3,inline,null
257,meta,meta,0,null,at-rule
258,meta,at-rule,1,meta,charset
259,meta,charset,2,at-rule,less
260,meta,less,3,charset,null
261,meta,meta,0,null,at-rule
262,meta,at-rule,1,meta,container-query
263,meta,container-query,2,at-rule,less
264,meta,less,3,container-query,null
265,meta,meta,0,null,at-rule
266,meta,at-rule,1,meta,container
267,meta,container,2,at-rule,less
268,meta,less,3,container,null
269,meta,meta,0,null,at-rule
270,meta,at-rule,1,meta,counter-style
271,meta,counter-style,2,at-rule,less
272,meta,less,3,counter-style,null
273,meta,meta,0,null,at-rule
274,meta,at-rule,1,meta,custom-media
275,meta,custom-media,2,at-rule,less
276,meta,less,3,custom-media,null
277,meta,meta,0,null,at-rule
278,meta,at-rule,1,meta,font-face
279,meta,font-face,2,at-rule,less
280,meta,less,3,font-face,null
281,meta,meta,0,null,at-rule
282,meta,at-rule,1,meta,import
283,meta,import,2,at-rule,less
284,meta,less,3,import,null
285,meta,meta,0,null,at-rule
286,meta,at-rule,1,meta,keyframe
287,meta,keyframe,2,at-rule,less
288,meta,less,3,keyframe,null
289,meta,meta,0,null,at-rule
290,meta,at-rule,1,meta,media
291,meta,media,2,at-rule,less
292,meta,less,3,media,null
293,meta,meta,0,null,at-rule
294,meta,at-rule,1,meta,namespace
295,meta,namespace,2,at-rule,less
296,meta,less,3,namespace,null
297,meta,meta,0,null,at-rule
298,meta,at-rule,1,meta,page
299,meta,page,2,at-rule,less
300,meta,less,3,page,null
301,meta,meta,0,null,at-rule
302,meta,at-rule,1,meta,supports
303,meta,supports,2,at-rule,less
