id,root,name,layer,parent,children
0,comment,comment,0,null,null
1,constant,constant,0,null,language
2,constant,language,1,constant,null
3,emphasis,emphasis,0,null,null
4,log,log,0,null,constant
5,log,constant,1,log,null
6,log,log,0,null,date
7,log,date,1,log,null
8,log,log,0,null,debug
9,log,debug,1,log,null
10,log,log,0,null,error
11,log,error,1,log,null
12,log,log,0,null,exception
13,log,exception,1,log,null
14,log,log,0,null,exceptiontype
15,log,exceptiontype,1,log,null
16,log,log,0,null,info
17,log,info,1,log,null
18,log,log,0,null,string
19,log,string,1,log,null
20,log,log,0,null,verbose
21,log,verbose,1,log,null
22,log,log,0,null,warning
23,log,warning,1,log,null
24,markup,markup,0,null,changed
25,markup,changed,1,markup,null
26,markup,markup,0,null,deleted
27,markup,deleted,1,markup,null
28,markup,markup,0,null,inserted
29,markup,inserted,1,markup,null
30,string,string,0,null,null
31,string,string,0,null,key,
32,string,key,,1,string,null
33,string,string,0,null,regexp,
34,string,regexp,,1,string,null
35,strong,strong,0,null,null
