id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,lua
2,comment,lua,2,block,null
3,comment,comment,0,null,line
4,comment,line,1,comment,double-dash
5,comment,double-dash,2,line,documentation
6,comment,documentation,3,double-dash,lua
7,comment,lua,4,documentation,null
8,comment,comment,0,null,line
9,comment,line,1,comment,double-dash
10,comment,double-dash,2,line,lua
11,comment,lua,3,double-dash,null
12,comment,comment,0,null,line
13,comment,line,1,comment,shebang
14,comment,shebang,2,line,lua
15,comment,lua,3,shebang,null
16,constant,constant,0,null,character
17,constant,character,1,constant,escape
18,constant,escape,2,character,byte
19,constant,byte,3,escape,lua
20,constant,lua,4,byte,null
21,constant,constant,0,null,character
22,constant,character,1,constant,escape
23,constant,escape,2,character,lua
24,constant,lua,3,escape,null
25,constant,constant,0,null,character
26,constant,character,1,constant,escape
27,constant,escape,2,character,unicode
28,constant,unicode,3,escape,lua
29,constant,lua,4,unicode,null
30,constant,constant,0,null,language
31,constant,language,1,constant,lua
32,constant,lua,2,language,null
33,constant,constant,0,null,numeric
34,constant,numeric,1,constant,float
35,constant,float,2,numeric,hexadecimal
36,constant,hexadecimal,3,float,lua
37,constant,lua,4,hexadecimal,null
38,constant,constant,0,null,numeric
39,constant,numeric,1,constant,float
40,constant,float,2,numeric,lua
41,constant,lua,3,float,null
42,constant,constant,0,null,numeric
43,constant,numeric,1,constant,integer
44,constant,integer,2,numeric,hexadecimal
45,constant,hexadecimal,3,integer,lua
46,constant,lua,4,hexadecimal,null
47,constant,constant,0,null,numeric
48,constant,numeric,1,constant,integer
49,constant,integer,2,numeric,lua
50,constant,lua,3,integer,null
51,entity,entity,0,null,name
52,entity,name,1,entity,class
53,entity,class,2,name,lua
54,entity,lua,3,class,null
55,entity,entity,0,null,name
56,entity,name,1,entity,function
57,entity,function,2,name,lua
58,entity,lua,3,function,null
59,entity,entity,0,null,name
60,entity,name,1,entity,tag
61,entity,tag,2,name,lua
62,entity,lua,3,tag,null
63,entity,entity,0,null,name
64,entity,name,1,entity,variable
65,entity,variable,2,name,lua
66,entity,lua,3,variable,null
67,entity,entity,0,null,other
68,entity,other,1,entity,attribute
69,entity,attribute,2,other,lua
70,entity,lua,3,attribute,null
71,invalid,invalid,0,null,illegal
72,invalid,illegal,1,invalid,character
73,invalid,character,2,illegal,escape
74,invalid,escape,3,character,lua
75,invalid,lua,4,escape,null
76,keyword,keyword,0,null,control
77,keyword,control,1,keyword,goto
78,keyword,goto,2,control,lua
79,keyword,lua,3,goto,null
80,keyword,keyword,0,null,control
81,keyword,control,1,keyword,lua
82,keyword,lua,2,control,null
83,keyword,keyword,0,null,local
84,keyword,local,1,keyword,lua
85,keyword,lua,2,local,null
86,keyword,keyword,0,null,operator
87,keyword,operator,1,keyword,lua
88,keyword,lua,2,operator,null
89,keyword,keyword,0,null,operator
90,keyword,operator,1,keyword,unit
91,keyword,unit,2,operator,null
92,keyword,keyword,0,null,other
93,keyword,other,1,keyword,unit
94,keyword,unit,2,other,null
95,meta,meta,0,null,embedded
96,meta,embedded,1,meta,lua
97,meta,lua,2,embedded,null
98,meta,meta,0,null,function
99,meta,function,1,meta,lua
100,meta,lua,2,function,null
101,meta,meta,0,null,parameter
102,meta,parameter,1,meta,lua
103,meta,lua,2,parameter,null
104,punctuation,punctuation,0,null,definition
105,punctuation,definition,1,punctuation,block
106,punctuation,block,2,definition,tag
107,punctuation,tag,3,block,ldoc
108,punctuation,ldoc,4,tag,null
109,punctuation,punctuation,0,null,definition
110,punctuation,definition,1,punctuation,comment
111,punctuation,comment,2,definition,begin
112,punctuation,begin,3,comment,lua
113,punctuation,lua,4,begin,null
114,punctuation,punctuation,0,null,definition
115,punctuation,definition,1,punctuation,comment
116,punctuation,comment,2,definition,end
117,punctuation,end,3,comment,lua
118,punctuation,lua,4,end,null
119,punctuation,punctuation,0,null,definition
120,punctuation,definition,1,punctuation,comment
121,punctuation,comment,2,definition,lua
122,punctuation,lua,3,comment,null
123,punctuation,punctuation,0,null,definition
124,punctuation,definition,1,punctuation,parameters
125,punctuation,parameters,2,definition,begin
126,punctuation,begin,3,parameters,lua
127,punctuation,lua,4,begin,null
128,punctuation,punctuation,0,null,definition
129,punctuation,definition,1,punctuation,parameters
130,punctuation,parameters,2,definition,finish
131,punctuation,finish,3,parameters,lua
132,punctuation,lua,4,finish,null
133,punctuation,punctuation,0,null,definition
134,punctuation,definition,1,punctuation,string
135,punctuation,string,2,definition,begin
136,punctuation,begin,3,string,lua
137,punctuation,lua,4,begin,null
138,punctuation,punctuation,0,null,definition
139,punctuation,definition,1,punctuation,string
140,punctuation,string,2,definition,end
141,punctuation,end,3,string,lua
142,punctuation,lua,4,end,null
143,punctuation,punctuation,0,null,section
144,punctuation,section,1,punctuation,embedded
145,punctuation,embedded,2,section,begin
146,punctuation,begin,3,embedded,lua
147,punctuation,lua,4,begin,null
148,punctuation,punctuation,0,null,section
149,punctuation,section,1,punctuation,embedded
150,punctuation,embedded,2,section,end
151,punctuation,end,3,embedded,lua
152,punctuation,lua,4,end,null
153,punctuation,punctuation,0,null,separator
154,punctuation,separator,1,punctuation,arguments
155,punctuation,arguments,2,separator,lua
156,punctuation,lua,3,arguments,null
157,punctuation,punctuation,0,null,whitespace
158,punctuation,whitespace,1,punctuation,comment
159,punctuation,comment,2,whitespace,leading
160,punctuation,leading,3,comment,lua
161,punctuation,lua,4,leading,null
162,punctuation,punctuation,0,null,whitespace
163,punctuation,whitespace,1,punctuation,comment
164,punctuation,comment,2,whitespace,trailing
165,punctuation,trailing,3,comment,lua
166,punctuation,lua,4,trailing,null
167,storage,storage,0,null,type
168,storage,type,1,storage,annotation
169,storage,annotation,2,type,lua
170,storage,lua,3,annotation,null
171,storage,storage,0,null,type
172,storage,type,1,storage,attribute
173,storage,attribute,2,type,lua
174,storage,lua,3,attribute,null
175,storage,storage,0,null,type
176,storage,type,1,storage,class
177,storage,class,2,type,ldoc
178,storage,ldoc,3,class,null
179,storage,storage,0,null,type
180,storage,type,1,storage,generic
181,storage,generic,2,type,lua
182,storage,lua,3,generic,null
183,string,string,0,null,quoted
184,string,quoted,1,string,double
185,string,double,2,quoted,lua
186,string,lua,3,double,null
187,string,string,0,null,quoted
188,string,quoted,1,string,other
189,string,other,2,quoted,multiline
190,string,multiline,3,other,lua
191,string,lua,4,multiline,null
192,string,string,0,null,quoted
193,string,quoted,1,string,single
194,string,single,2,quoted,lua
195,string,lua,3,single,null
196,string,string,0,null,tag
197,string,tag,1,string,lua
198,string,lua,2,tag,null
199,support,support,0,null,class
200,support,class,1,support,lua
201,support,lua,2,class,null
202,support,support,0,null,function
203,support,function,1,support,any-method
204,support,any-method,2,function,lua
205,support,lua,3,any-method,null
206,support,support,0,null,function
207,support,function,1,support,library
208,support,library,2,function,lua
209,support,lua,3,library,null
210,support,support,0,null,function
211,support,function,1,support,lua
212,support,lua,2,function,null
213,support,support,0,null,type
214,support,type,1,support,lua
215,support,lua,2,type,null
216,variable,variable,0,null,language
217,variable,language,1,variable,self
218,variable,self,2,language,lua
219,variable,lua,3,self,null
220,variable,variable,0,null,lua
221,variable,lua,1,variable,null
222,variable,variable,0,null,other
223,variable,other,1,variable,lua
224,variable,lua,2,other,null
225,variable,variable,0,null,parameter
226,variable,parameter,1,variable,function
227,variable,function,2,parameter,lua
228,variable,lua,3,function,null
