id,root,name,layer,parent,children
0,comment,comment,0,null,line
1,comment,line,1,comment,number-sign
2,comment,number-sign,2,line,makefile
3,comment,makefile,3,number-sign,null
4,constant,constant,0,null,character
5,constant,character,1,constant,escape
6,constant,escape,2,character,continuation
7,constant,continuation,3,escape,makefile
8,constant,makefile,4,continuation,null
9,constant,constant,0,null,other
10,constant,other,1,constant,placeholder
11,constant,placeholder,2,other,makefile
12,constant,makefile,3,placeholder,null
13,entity,entity,0,null,name
14,entity,name,1,entity,function
15,entity,function,2,name,target
16,entity,target,3,function,makefile
17,entity,makefile,4,target,null
18,keyword,keyword,0,null,control
19,keyword,control,1,keyword,$1
20,keyword,$1,2,control,makefile
21,keyword,makefile,3,$1,null
22,keyword,keyword,0,null,control
23,keyword,control,1,keyword,define
24,keyword,define,2,control,makefile
25,keyword,makefile,3,define,null
26,keyword,keyword,0,null,control
27,keyword,control,1,keyword,else
28,keyword,else,2,control,makefile
29,keyword,makefile,3,else,null
30,keyword,keyword,0,null,control
31,keyword,control,1,keyword,include
32,keyword,include,2,control,makefile
33,keyword,makefile,3,include,null
34,keyword,keyword,0,null,control
35,keyword,control,1,keyword,override
36,keyword,override,2,control,makefile
37,keyword,makefile,3,override,null
38,keyword,keyword,0,null,control
39,keyword,control,1,keyword,vpath
40,keyword,vpath,2,control,makefile
41,keyword,makefile,3,vpath,null
42,meta,meta,0,null,scope
43,meta,scope,1,meta,condition
44,meta,condition,2,scope,makefile
45,meta,makefile,3,condition,null
46,meta,meta,0,null,scope
47,meta,scope,1,meta,conditional
48,meta,conditional,2,scope,makefile
49,meta,makefile,3,conditional,null
50,meta,meta,0,null,scope
51,meta,scope,1,meta,function-call
52,meta,function-call,2,scope,makefile
53,meta,makefile,3,function-call,null
54,meta,meta,0,null,scope
55,meta,scope,1,meta,prerequisites
56,meta,prerequisites,2,scope,makefile
57,meta,makefile,3,prerequisites,null
58,meta,meta,0,null,scope
59,meta,scope,1,meta,recipe
60,meta,recipe,2,scope,makefile
61,meta,makefile,3,recipe,null
62,meta,meta,0,null,scope
63,meta,scope,1,meta,target
64,meta,target,2,scope,makefile
65,meta,makefile,3,target,null
66,punctuation,punctuation,0,null,definition
67,punctuation,definition,1,punctuation,comment
68,punctuation,comment,2,definition,makefile
69,punctuation,makefile,3,comment,null
70,punctuation,punctuation,0,null,definition
71,punctuation,definition,1,punctuation,variable
72,punctuation,variable,2,definition,makefile
73,punctuation,makefile,3,variable,null
74,punctuation,punctuation,0,null,separator
75,punctuation,separator,1,punctuation,delimeter
76,punctuation,delimeter,2,separator,comma
77,punctuation,comma,3,delimeter,makefile
78,punctuation,makefile,4,comma,null
79,punctuation,punctuation,0,null,separator
80,punctuation,separator,1,punctuation,key-value
81,punctuation,key-value,2,separator,makefile
82,punctuation,makefile,3,key-value,null
83,punctuation,punctuation,0,null,whitespace
84,punctuation,whitespace,1,punctuation,comment
85,punctuation,comment,2,whitespace,leading
86,punctuation,leading,3,comment,makefile
87,punctuation,makefile,4,leading,null
88,string,string,0,null,interpolated
89,string,interpolated,1,string,makefile
90,string,makefile,2,interpolated,null
91,support,support,0,null,function
92,support,function,1,support,$1
93,support,$1,2,function,makefile
94,support,makefile,3,$1,null
95,support,support,0,null,function
96,support,function,1,support,target
97,support,target,2,function,$1
98,support,$1,3,target,makefile
99,support,makefile,4,$1,null
100,variable,variable,0,null,language
101,variable,language,1,variable,makefile
102,variable,makefile,2,language,null
103,variable,variable,0,null,other
104,variable,other,1,variable,makefile
105,variable,makefile,2,other,null
