id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,html
2,comment,html,2,block,null
3,constant,constant,0,null,character
4,constant,character,1,constant,escape
5,constant,escape,2,character,markdown
6,constant,markdown,3,escape,null
7,constant,constant,0,null,other
8,constant,other,1,constant,reference
9,constant,reference,2,other,link
10,constant,link,3,reference,markdown
11,constant,markdown,4,link,null
12,entity,entity,0,null,name
13,entity,name,1,entity,section
14,entity,section,2,name,markdown
15,entity,markdown,3,section,null
16,entity,entity,0,null,name
17,entity,name,1,entity,tag
18,entity,tag,2,name,html
19,entity,html,3,tag,null
20,fenced_code,fenced_code,0,null,block
21,fenced_code,block,1,fenced_code,language
22,fenced_code,language,2,block,null
23,fenced_code,fenced_code,0,null,block
24,fenced_code,block,1,fenced_code,language
25,fenced_code,language,2,block,attributes
26,fenced_code,attributes,3,language,markdown
27,fenced_code,markdown,4,attributes,null
28,fenced_code,fenced_code,0,null,block
29,fenced_code,block,1,fenced_code,language
30,fenced_code,language,2,block,markdown
31,fenced_code,markdown,3,language,null
32,heading,heading,0,null,1
33,heading,1,1,heading,markdown
34,heading,markdown,2,1,null
35,heading,heading,0,null,2
36,heading,2,1,heading,markdown
37,heading,markdown,2,2,null
38,heading,heading,0,null,3
39,heading,3,1,heading,markdown
40,heading,markdown,2,3,null
41,heading,heading,0,null,4
42,heading,4,1,heading,markdown
43,heading,markdown,2,4,null
44,heading,heading,0,null,5
45,heading,5,1,heading,markdown
46,heading,markdown,2,5,null
47,heading,heading,0,null,6
48,heading,6,1,heading,markdown
49,heading,markdown,2,6,null
50,markup,markup,0,null,bold
51,markup,bold,1,markup,markdown
52,markup,markdown,2,bold,null
53,markup,markup,0,null,fenced_code
54,markup,fenced_code,1,markup,block
55,markup,block,2,fenced_code,markdown
56,markup,markdown,3,block,null
57,markup,markup,0,null,heading
58,markup,heading,1,markup,markdown
59,markup,markdown,2,heading,null
60,markup,markup,0,null,heading
61,markup,heading,1,markup,setext
62,markup,setext,2,heading,1
63,markup,1,3,setext,markdown
64,markup,markdown,4,1,null
65,markup,markup,0,null,heading
66,markup,heading,1,markup,setext
67,markup,setext,2,heading,2
68,markup,2,3,setext,markdown
69,markup,markdown,4,2,null
70,markup,markup,0,null,inline
71,markup,inline,1,markup,raw
72,markup,raw,2,inline,string
73,markup,string,3,raw,markdown
74,markup,markdown,4,string,null
75,markup,markup,0,null,italic
76,markup,italic,1,markup,markdown
77,markup,markdown,2,italic,null
78,markup,markup,0,null,list
79,markup,list,1,markup,numbered
80,markup,numbered,2,list,markdown
81,markup,markdown,3,numbered,null
82,markup,markup,0,null,list
83,markup,list,1,markup,unnumbered
84,markup,unnumbered,2,list,markdown
85,markup,markdown,3,unnumbered,null
86,markup,markup,0,null,quote
87,markup,quote,1,markup,markdown
88,markup,markdown,2,quote,null
89,markup,markup,0,null,raw
90,markup,raw,1,markup,block
91,markup,block,2,raw,markdown
92,markup,markdown,3,block,null
93,markup,markup,0,null,strikethrough
94,markup,strikethrough,1,markup,markdown
95,markup,markdown,2,strikethrough,null
96,markup,markup,0,null,table
97,markup,table,1,markup,markdown
98,markup,markdown,2,table,null
99,markup,markup,0,null,underline
100,markup,underline,1,markup,link
101,markup,link,2,underline,image
102,markup,image,3,link,markdown
103,markup,markdown,4,image,null
104,markup,markup,0,null,underline
105,markup,underline,1,markup,link
106,markup,link,2,underline,markdown
107,markup,markdown,3,link,null
108,meta,meta,0,null,embedded
109,meta,embedded,1,meta,block
110,meta,block,2,embedded,bibtex
111,meta,bibtex,3,block,null
112,meta,meta,0,null,embedded
113,meta,embedded,1,meta,block
114,meta,block,2,embedded,c
115,meta,c,3,block,null
116,meta,meta,0,null,embedded
117,meta,embedded,1,meta,block
118,meta,block,2,embedded,clojure
119,meta,clojure,3,block,null
120,meta,meta,0,null,embedded
121,meta,embedded,1,meta,block
122,meta,block,2,embedded,coffee
123,meta,coffee,3,block,null
124,meta,meta,0,null,embedded
125,meta,embedded,1,meta,block
126,meta,block,2,embedded,cpp
127,meta,cpp,3,block,null
128,meta,meta,0,null,embedded
129,meta,embedded,1,meta,block
130,meta,block,2,embedded,csharp
131,meta,csharp,3,block,null
132,meta,meta,0,null,embedded
133,meta,embedded,1,meta,block
134,meta,block,2,embedded,css
135,meta,css,3,block,null
136,meta,meta,0,null,embedded
137,meta,embedded,1,meta,block
138,meta,block,2,embedded,dart
139,meta,dart,3,block,null
140,meta,meta,0,null,embedded
141,meta,embedded,1,meta,block
142,meta,block,2,embedded,diff
143,meta,diff,3,block,null
144,meta,meta,0,null,embedded
145,meta,embedded,1,meta,block
146,meta,block,2,embedded,dockerfile
147,meta,dockerfile,3,block,null
148,meta,meta,0,null,embedded
149,meta,embedded,1,meta,block
150,meta,block,2,embedded,dosbatch
151,meta,dosbatch,3,block,null
152,meta,meta,0,null,embedded
153,meta,embedded,1,meta,block
154,meta,block,2,embedded,elixir
155,meta,elixir,3,block,null
156,meta,meta,0,null,embedded
157,meta,embedded,1,meta,block
158,meta,block,2,embedded,erlang
159,meta,erlang,3,block,null
160,meta,meta,0,null,embedded
161,meta,embedded,1,meta,block
162,meta,block,2,embedded,frontmatter
163,meta,frontmatter,3,block,null
164,meta,meta,0,null,embedded
165,meta,embedded,1,meta,block
166,meta,block,2,embedded,fsharp
167,meta,fsharp,3,block,null
168,meta,meta,0,null,embedded
169,meta,embedded,1,meta,block
170,meta,block,2,embedded,git_commit
171,meta,git_commit,3,block,null
172,meta,meta,0,null,embedded
173,meta,embedded,1,meta,block
174,meta,block,2,embedded,git_rebase
175,meta,git_rebase,3,block,null
176,meta,meta,0,null,embedded
177,meta,embedded,1,meta,block
178,meta,block,2,embedded,go
179,meta,go,3,block,null
180,meta,meta,0,null,embedded
181,meta,embedded,1,meta,block
182,meta,block,2,embedded,groovy
183,meta,groovy,3,block,null
184,meta,meta,0,null,embedded
185,meta,embedded,1,meta,block
186,meta,block,2,embedded,handlebars
187,meta,handlebars,3,block,null
188,meta,meta,0,null,embedded
189,meta,embedded,1,meta,block
190,meta,block,2,embedded,html
191,meta,html,3,block,null
192,meta,meta,0,null,embedded
193,meta,embedded,1,meta,block
194,meta,block,2,embedded,ini
195,meta,ini,3,block,null
196,meta,meta,0,null,embedded
197,meta,embedded,1,meta,block
198,meta,block,2,embedded,java
199,meta,java,3,block,null
200,meta,meta,0,null,embedded
201,meta,embedded,1,meta,block
202,meta,block,2,embedded,javascript
203,meta,javascript,3,block,null
204,meta,meta,0,null,embedded
205,meta,embedded,1,meta,block
206,meta,block,2,embedded,js_regexp
207,meta,js_regexp,3,block,null
208,meta,meta,0,null,embedded
209,meta,embedded,1,meta,block
210,meta,block,2,embedded,json
211,meta,json,3,block,null
212,meta,meta,0,null,embedded
213,meta,embedded,1,meta,block
214,meta,block,2,embedded,jsonc
215,meta,jsonc,3,block,null
216,meta,meta,0,null,embedded
217,meta,embedded,1,meta,block
218,meta,block,2,embedded,julia
219,meta,julia,3,block,null
220,meta,meta,0,null,embedded
221,meta,embedded,1,meta,block
222,meta,block,2,embedded,latex
223,meta,latex,3,block,null
224,meta,meta,0,null,embedded
225,meta,embedded,1,meta,block
226,meta,block,2,embedded,less
227,meta,less,3,block,null
228,meta,meta,0,null,embedded
229,meta,embedded,1,meta,block
230,meta,block,2,embedded,log
231,meta,log,3,block,null
232,meta,meta,0,null,embedded
233,meta,embedded,1,meta,block
234,meta,block,2,embedded,lua
235,meta,lua,3,block,null
236,meta,meta,0,null,embedded
237,meta,embedded,1,meta,block
238,meta,block,2,embedded,makefile
239,meta,makefile,3,block,null
240,meta,meta,0,null,embedded
241,meta,embedded,1,meta,block
242,meta,block,2,embedded,markdown
243,meta,markdown,3,block,null
244,meta,meta,0,null,embedded
245,meta,embedded,1,meta,block
246,meta,block,2,embedded,objc
247,meta,objc,3,block,null
248,meta,meta,0,null,embedded
249,meta,embedded,1,meta,block
250,meta,block,2,embedded,perl
251,meta,perl,3,block,null
252,meta,meta,0,null,embedded
253,meta,embedded,1,meta,block
254,meta,block,2,embedded,perl6
255,meta,perl6,3,block,null
256,meta,meta,0,null,embedded
257,meta,embedded,1,meta,block
258,meta,block,2,embedded,php
259,meta,php,3,block,null
260,meta,meta,0,null,embedded
261,meta,embedded,1,meta,block
262,meta,block,2,embedded,powershell
263,meta,powershell,3,block,null
264,meta,meta,0,null,embedded
265,meta,embedded,1,meta,block
266,meta,block,2,embedded,pug
267,meta,pug,3,block,null
268,meta,meta,0,null,embedded
269,meta,embedded,1,meta,block
270,meta,block,2,embedded,python
271,meta,python,3,block,null
272,meta,meta,0,null,embedded
273,meta,embedded,1,meta,block
274,meta,block,2,embedded,r
275,meta,r,3,block,null
276,meta,meta,0,null,embedded
277,meta,embedded,1,meta,block
278,meta,block,2,embedded,regexp_python
279,meta,regexp_python,3,block,null
280,meta,meta,0,null,embedded
281,meta,embedded,1,meta,block
282,meta,block,2,embedded,ruby
283,meta,ruby,3,block,null
284,meta,meta,0,null,embedded
285,meta,embedded,1,meta,block
286,meta,block,2,embedded,rust
287,meta,rust,3,block,null
288,meta,meta,0,null,embedded
289,meta,embedded,1,meta,block
290,meta,block,2,embedded,scala
291,meta,scala,3,block,null
292,meta,meta,0,null,embedded
293,meta,embedded,1,meta,block
294,meta,block,2,embedded,scss
295,meta,scss,3,block,null
296,meta,meta,0,null,embedded
297,meta,embedded,1,meta,block
298,meta,block,2,embedded,shellscript
299,meta,shellscript,3,block,null
300,meta,meta,0,null,embedded
301,meta,embedded,1,meta,block
302,meta,block,2,embedded,sql
303,meta,sql,3,block,null
304,meta,meta,0,null,embedded
305,meta,embedded,1,meta,block
306,meta,block,2,embedded,swift
307,meta,swift,3,block,null
308,meta,meta,0,null,embedded
309,meta,embedded,1,meta,block
310,meta,block,2,embedded,twig
311,meta,twig,3,block,null
312,meta,meta,0,null,embedded
313,meta,embedded,1,meta,block
314,meta,block,2,embedded,typescript
315,meta,typescript,3,block,null
316,meta,meta,0,null,embedded
317,meta,embedded,1,meta,block
318,meta,block,2,embedded,typescriptreact
319,meta,typescriptreact,3,block,null
320,meta,meta,0,null,embedded
321,meta,embedded,1,meta,block
322,meta,block,2,embedded,vs_net
323,meta,vs_net,3,block,null
324,meta,meta,0,null,embedded
325,meta,embedded,1,meta,block
326,meta,block,2,embedded,xml
327,meta,xml,3,block,null
328,meta,meta,0,null,embedded
329,meta,embedded,1,meta,block
330,meta,block,2,embedded,xsl
331,meta,xsl,3,block,null
332,meta,meta,0,null,embedded
333,meta,embedded,1,meta,block
334,meta,block,2,embedded,yaml
335,meta,yaml,3,block,null
336,meta,meta,0,null,image
337,meta,image,1,meta,inline
338,meta,inline,2,image,markdown
339,meta,markdown,3,inline,null
340,meta,meta,0,null,image
341,meta,image,1,meta,reference
342,meta,reference,2,image,markdown
343,meta,markdown,3,reference,null
344,meta,meta,0,null,link
345,meta,link,1,meta,email
346,meta,email,2,link,lt-gt
347,meta,lt-gt,3,email,markdown
348,meta,markdown,4,lt-gt,null
349,meta,meta,0,null,link
350,meta,link,1,meta,inet
351,meta,inet,2,link,markdown
352,meta,markdown,3,inet,null
353,meta,meta,0,null,link
354,meta,link,1,meta,inline
355,meta,inline,2,link,markdown
356,meta,markdown,3,inline,null
357,meta,meta,0,null,link
358,meta,link,1,meta,reference
359,meta,reference,2,link,def
360,meta,def,3,reference,markdown
361,meta,markdown,4,def,null
362,meta,meta,0,null,link
363,meta,link,1,meta,reference
364,meta,reference,2,link,literal
365,meta,literal,3,reference,markdown
366,meta,markdown,4,literal,null
367,meta,meta,0,null,link
368,meta,link,1,meta,reference
369,meta,reference,2,link,markdown
370,meta,markdown,3,reference,null
371,meta,meta,0,null,other
372,meta,other,1,meta,valid-ampersand
373,meta,valid-ampersand,2,other,markdown
374,meta,markdown,3,valid-ampersand,null
375,meta,meta,0,null,other
376,meta,other,1,meta,valid-bracket
377,meta,valid-bracket,2,other,markdown
378,meta,markdown,3,valid-bracket,null
379,meta,meta,0,null,paragraph
380,meta,paragraph,1,meta,markdown
381,meta,markdown,2,paragraph,null
382,meta,meta,0,null,separator
383,meta,separator,1,meta,markdown
384,meta,markdown,2,separator,null
385,meta,meta,0,null,tag
386,meta,tag,1,meta,structure
387,meta,structure,2,tag,$4
388,meta,$4,3,structure,end
389,meta,end,4,$4,html
390,meta,html,5,end,null
391,punctuation,punctuation,0,null,definition
392,punctuation,definition,1,punctuation,bold
393,punctuation,bold,2,definition,markdown
394,punctuation,markdown,3,bold,null
395,punctuation,punctuation,0,null,definition
396,punctuation,definition,1,punctuation,comment
397,punctuation,comment,2,definition,html
398,punctuation,html,3,comment,null
399,punctuation,punctuation,0,null,definition
400,punctuation,definition,1,punctuation,constant
401,punctuation,constant,2,definition,begin
402,punctuation,begin,3,constant,markdown
403,punctuation,markdown,4,begin,null
404,punctuation,punctuation,0,null,definition
405,punctuation,definition,1,punctuation,constant
406,punctuation,constant,2,definition,end
407,punctuation,end,3,constant,markdown
408,punctuation,markdown,4,end,null
409,punctuation,punctuation,0,null,definition
410,punctuation,definition,1,punctuation,constant
411,punctuation,constant,2,definition,markdown
412,punctuation,markdown,3,constant,null
413,punctuation,punctuation,0,null,definition
414,punctuation,definition,1,punctuation,heading
415,punctuation,heading,2,definition,markdown
416,punctuation,markdown,3,heading,null
417,punctuation,punctuation,0,null,definition
418,punctuation,definition,1,punctuation,italic
419,punctuation,italic,2,definition,markdown
420,punctuation,markdown,3,italic,null
421,punctuation,punctuation,0,null,definition
422,punctuation,definition,1,punctuation,link
423,punctuation,link,2,definition,description
424,punctuation,description,3,link,begin
425,punctuation,begin,4,description,markdown
426,punctuation,markdown,5,begin,null
427,punctuation,punctuation,0,null,definition
428,punctuation,definition,1,punctuation,link
429,punctuation,link,2,definition,description
430,punctuation,description,3,link,end
431,punctuation,end,4,description,markdown
432,punctuation,markdown,5,end,null
433,punctuation,punctuation,0,null,definition
434,punctuation,definition,1,punctuation,link
435,punctuation,link,2,definition,markdown
436,punctuation,markdown,3,link,null
437,punctuation,punctuation,0,null,definition
438,punctuation,definition,1,punctuation,link
439,punctuation,link,2,definition,title
440,punctuation,title,3,link,begin
441,punctuation,begin,4,title,markdown
442,punctuation,markdown,5,begin,null
443,punctuation,punctuation,0,null,definition
444,punctuation,definition,1,punctuation,link
445,punctuation,link,2,definition,title
446,punctuation,title,3,link,end
447,punctuation,end,4,title,markdown
448,punctuation,markdown,5,end,null
449,punctuation,punctuation,0,null,definition
450,punctuation,definition,1,punctuation,list
451,punctuation,list,2,definition,begin
452,punctuation,begin,3,list,markdown
453,punctuation,markdown,4,begin,null
454,punctuation,punctuation,0,null,definition
455,punctuation,definition,1,punctuation,markdown
456,punctuation,markdown,2,definition,null
457,punctuation,punctuation,0,null,definition
458,punctuation,definition,1,punctuation,metadata
459,punctuation,metadata,2,definition,markdown
460,punctuation,markdown,3,metadata,null
461,punctuation,punctuation,0,null,definition
462,punctuation,definition,1,punctuation,quote
463,punctuation,quote,2,definition,begin
464,punctuation,begin,3,quote,markdown
465,punctuation,markdown,4,begin,null
466,punctuation,punctuation,0,null,definition
467,punctuation,definition,1,punctuation,raw
468,punctuation,raw,2,definition,markdown
469,punctuation,markdown,3,raw,null
470,punctuation,punctuation,0,null,definition
471,punctuation,definition,1,punctuation,strikethrough
472,punctuation,strikethrough,2,definition,markdown
473,punctuation,markdown,3,strikethrough,null
474,punctuation,punctuation,0,null,definition
475,punctuation,definition,1,punctuation,string
476,punctuation,string,2,definition,begin
477,punctuation,begin,3,string,markdown
478,punctuation,markdown,4,begin,null
479,punctuation,punctuation,0,null,definition
480,punctuation,definition,1,punctuation,string
481,punctuation,string,2,definition,end
482,punctuation,end,3,string,markdown
483,punctuation,markdown,4,end,null
484,punctuation,punctuation,0,null,definition
485,punctuation,definition,1,punctuation,table
486,punctuation,table,2,definition,markdown
487,punctuation,markdown,3,table,null
488,punctuation,punctuation,0,null,definition
489,punctuation,definition,1,punctuation,tag
490,punctuation,tag,2,definition,begin
491,punctuation,begin,3,tag,html
492,punctuation,html,4,begin,null
493,punctuation,punctuation,0,null,definition
494,punctuation,definition,1,punctuation,tag
495,punctuation,tag,2,definition,end
496,punctuation,end,3,tag,html
497,punctuation,html,4,end,null
498,punctuation,punctuation,0,null,separator
499,punctuation,separator,1,punctuation,key-value
500,punctuation,key-value,2,separator,markdown
501,punctuation,markdown,3,key-value,null
502,punctuation,punctuation,0,null,separator
503,punctuation,separator,1,punctuation,table
504,punctuation,table,2,separator,markdown
505,punctuation,markdown,3,table,null
506,source,source,0,null,cpp
507,source,cpp,1,source,null
508,string,string,0,null,other
509,string,other,1,string,link
510,string,link,2,other,description
511,string,description,3,link,markdown
512,string,markdown,4,description,null
513,string,string,0,null,other
514,string,other,1,string,link
515,string,link,2,other,description
516,string,description,3,link,title
517,string,title,4,description,markdown
518,string,markdown,5,title,null
519,string,string,0,null,other
520,string,other,1,string,link
521,string,link,2,other,title
522,string,title,3,link,markdown
523,string,markdown,4,title,null
