id,root,name,layer,parent,children
0,markup,markup,0,null,math
1,markup,math,1,markup,inline
2,markup,inline,2,math,markdown
3,markup,markdown,3,inline,null
4,meta,meta,0,null,embedded
5,meta,embedded,1,meta,math
6,meta,math,2,embedded,markdown
7,meta,markdown,3,math,null
8,punctuation,punctuation,0,null,definition
9,punctuation,definition,1,punctuation,math
10,punctuation,math,2,definition,begin
11,punctuation,begin,3,math,markdown
12,punctuation,markdown,4,begin,null
13,punctuation,punctuation,0,null,definition
14,punctuation,definition,1,punctuation,math
15,punctuation,math,2,definition,end
16,punctuation,end,3,math,markdown
17,punctuation,markdown,4,end,null
