id,root,name,layer,parent,children
0,comment,comment,0,null,line
1,comment,line,1,comment,math
2,comment,math,2,line,tex
3,comment,tex,3,math,null
4,constant,constant,0,null,character
5,constant,character,1,constant,math
6,constant,math,2,character,tex
7,constant,tex,3,math,null
8,constant,constant,0,null,numeric
9,constant,numeric,1,constant,math
10,constant,math,2,numeric,tex
11,constant,tex,3,math,null
12,constant,constant,0,null,other
13,constant,other,1,constant,general
14,constant,general,2,other,math
15,constant,math,3,general,tex
16,constant,tex,4,math,null
17,entity,entity,0,null,name
18,entity,name,1,entity,function
19,entity,function,2,name,math
20,entity,math,3,function,tex
21,entity,tex,4,math,null
22,line,line,0,null,separator
23,line,separator,1,line,math
24,line,math,2,separator,tex
25,line,tex,3,math,null
26,meta,meta,0,null,function
27,meta,function,1,meta,math
28,meta,math,2,function,tex
29,meta,tex,3,math,null
30,punctuation,punctuation,0,null,definition
31,punctuation,definition,1,punctuation,arguments
32,punctuation,arguments,2,definition,begin
33,punctuation,begin,3,arguments,math
34,punctuation,math,4,begin,tex
35,punctuation,tex,5,math,null
36,punctuation,punctuation,0,null,definition
37,punctuation,definition,1,punctuation,arguments
38,punctuation,arguments,2,definition,end
39,punctuation,end,3,arguments,math
40,punctuation,math,4,end,tex
41,punctuation,tex,5,math,null
42,punctuation,punctuation,0,null,definition
43,punctuation,definition,1,punctuation,comment
44,punctuation,comment,2,definition,math
45,punctuation,math,3,comment,tex
46,punctuation,tex,4,math,null
47,punctuation,punctuation,0,null,definition
48,punctuation,definition,1,punctuation,constant
49,punctuation,constant,2,definition,math
50,punctuation,math,3,constant,tex
51,punctuation,tex,4,math,null
52,punctuation,punctuation,0,null,definition
53,punctuation,definition,1,punctuation,function
54,punctuation,function,2,definition,math
55,punctuation,math,3,function,tex
56,punctuation,tex,4,math,null
57,punctuation,punctuation,0,null,line
58,punctuation,line,1,punctuation,separator
59,punctuation,separator,2,line,math
60,punctuation,math,3,separator,tex
61,punctuation,tex,4,math,null
62,punctuation,punctuation,0,null,math
63,punctuation,math,1,punctuation,begin
64,punctuation,begin,2,math,bracket
65,punctuation,bracket,3,begin,curly
66,punctuation,curly,4,bracket,null
67,punctuation,punctuation,0,null,math
68,punctuation,math,1,punctuation,begin
69,punctuation,begin,2,math,bracket
70,punctuation,bracket,3,begin,round
71,punctuation,round,4,bracket,null
72,punctuation,punctuation,0,null,math
73,punctuation,math,1,punctuation,end
74,punctuation,end,2,math,bracket
75,punctuation,bracket,3,end,curly
76,punctuation,curly,4,bracket,null
77,punctuation,punctuation,0,null,math
78,punctuation,math,1,punctuation,end
79,punctuation,end,2,math,bracket
80,punctuation,bracket,3,end,round
81,punctuation,round,4,bracket,null
82,punctuation,punctuation,0,null,math
83,punctuation,math,1,punctuation,operator
84,punctuation,operator,2,math,latex
85,punctuation,latex,3,operator,null
86,storage,storage,0,null,type
87,storage,type,1,storage,function
88,storage,function,2,type,math
89,storage,math,3,function,tex
90,storage,tex,4,math,null
