id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,objcpp
2,comment,objcpp,2,block,null
3,comment,comment,0,null,block
4,comment,block,1,comment,preprocessor
5,comment,preprocessor,2,block,elif-branch
6,comment,elif-branch,3,preprocessor,in-block
7,comment,in-block,4,elif-branch,objcpp
8,comment,objcpp,5,in-block,null
9,comment,comment,0,null,block
10,comment,block,1,comment,preprocessor
11,comment,preprocessor,2,block,elif-branch
12,comment,elif-branch,3,preprocessor,objcpp
13,comment,objcpp,4,elif-branch,null
14,comment,comment,0,null,block
15,comment,block,1,comment,preprocessor
16,comment,preprocessor,2,block,else-branch
17,comment,else-branch,3,preprocessor,in-block
18,comment,in-block,4,else-branch,objcpp
19,comment,objcpp,5,in-block,null
20,comment,comment,0,null,block
21,comment,block,1,comment,preprocessor
22,comment,preprocessor,2,block,else-branch
23,comment,else-branch,3,preprocessor,objcpp
24,comment,objcpp,4,else-branch,null
25,comment,comment,0,null,block
26,comment,block,1,comment,preprocessor
27,comment,preprocessor,2,block,if-branch
28,comment,if-branch,3,preprocessor,in-block
29,comment,in-block,4,if-branch,objcpp
30,comment,objcpp,5,in-block,null
31,comment,comment,0,null,block
32,comment,block,1,comment,preprocessor
33,comment,preprocessor,2,block,if-branch
34,comment,if-branch,3,preprocessor,objcpp
35,comment,objcpp,4,if-branch,null
36,comment,comment,0,null,line
37,comment,line,1,comment,banner
38,comment,banner,2,line,objcpp
39,comment,objcpp,3,banner,null
40,comment,comment,0,null,line
41,comment,line,1,comment,double-slash
42,comment,double-slash,2,line,objcpp
43,comment,objcpp,3,double-slash,null
44,constant,constant,0,null,character
45,constant,character,1,constant,escape
46,constant,escape,2,character,line-continuation
47,constant,line-continuation,3,escape,objcpp
48,constant,objcpp,4,line-continuation,null
49,constant,constant,0,null,character
50,constant,character,1,constant,escape
51,constant,escape,2,character,objcpp
52,constant,objcpp,3,escape,null
53,constant,constant,0,null,language
54,constant,language,1,constant,objcpp
55,constant,objcpp,2,language,null
56,constant,constant,0,null,language
57,constant,language,1,constant,predicate
58,constant,predicate,2,language,cocoa
59,constant,cocoa,3,predicate,objcpp
60,constant,objcpp,4,cocoa,null
61,constant,constant,0,null,numeric
62,constant,numeric,1,constant,binary
63,constant,binary,2,numeric,objcpp
64,constant,objcpp,3,binary,null
65,constant,constant,0,null,numeric
66,constant,numeric,1,constant,decimal
67,constant,decimal,2,numeric,objcpp
68,constant,objcpp,3,decimal,null
69,constant,constant,0,null,numeric
70,constant,numeric,1,constant,decimal
71,constant,decimal,2,numeric,point
72,constant,point,3,decimal,objcpp
73,constant,objcpp,4,point,null
74,constant,constant,0,null,numeric
75,constant,numeric,1,constant,exponent
76,constant,exponent,2,numeric,decimal
77,constant,decimal,3,exponent,objcpp
78,constant,objcpp,4,decimal,null
79,constant,constant,0,null,numeric
80,constant,numeric,1,constant,exponent
81,constant,exponent,2,numeric,hexadecimal
82,constant,hexadecimal,3,exponent,objcpp
83,constant,objcpp,4,hexadecimal,null
84,constant,constant,0,null,numeric
85,constant,numeric,1,constant,hexadecimal
86,constant,hexadecimal,2,numeric,objcpp
87,constant,objcpp,3,hexadecimal,null
88,constant,constant,0,null,numeric
89,constant,numeric,1,constant,octal
90,constant,octal,2,numeric,objcpp
91,constant,objcpp,3,octal,null
92,constant,constant,0,null,numeric
93,constant,numeric,1,constant,preprocessor
94,constant,preprocessor,2,numeric,objcpp
95,constant,objcpp,3,preprocessor,null
96,constant,constant,0,null,other
97,constant,other,1,constant,objcpp
98,constant,objcpp,2,other,null
99,constant,constant,0,null,other
100,constant,other,1,constant,placeholder
101,constant,placeholder,2,other,objcpp
102,constant,objcpp,3,placeholder,null
103,constant,constant,0,null,other
104,constant,other,1,constant,variable
105,constant,variable,2,other,mac-classic
106,constant,mac-classic,3,variable,objcpp
107,constant,objcpp,4,mac-classic,null
108,entity,entity,0,null,name
109,entity,name,1,entity,function
110,entity,function,2,name,call
111,entity,call,3,function,objcpp
112,entity,objcpp,4,call,null
113,entity,entity,0,null,name
114,entity,name,1,entity,function
115,entity,function,2,name,constructor
116,entity,constructor,3,function,objcpp
117,entity,objcpp,4,constructor,null
118,entity,entity,0,null,name
119,entity,name,1,entity,function
120,entity,function,2,name,destructor
121,entity,destructor,3,function,objcpp
122,entity,objcpp,4,destructor,null
123,entity,entity,0,null,name
124,entity,name,1,entity,function
125,entity,function,2,name,member
126,entity,member,3,function,objcpp
127,entity,objcpp,4,member,null
128,entity,entity,0,null,name
129,entity,name,1,entity,function
130,entity,function,2,name,name-of-parameter
131,entity,name-of-parameter,3,function,objcpp
132,entity,objcpp,4,name-of-parameter,null
133,entity,entity,0,null,name
134,entity,name,1,entity,function
135,entity,function,2,name,objcpp
136,entity,objcpp,3,function,null
137,entity,entity,0,null,name
138,entity,name,1,entity,function
139,entity,function,2,name,preprocessor
140,entity,preprocessor,3,function,apple-foundation
141,entity,apple-foundation,4,preprocessor,objcpp
142,entity,objcpp,5,apple-foundation,null
143,entity,entity,0,null,name
144,entity,name,1,entity,function
145,entity,function,2,name,preprocessor
146,entity,preprocessor,3,function,objcpp
147,entity,objcpp,4,preprocessor,null
148,entity,entity,0,null,name
149,entity,name,1,entity,namespace
150,entity,namespace,2,name,objcpp
151,entity,objcpp,3,namespace,null
152,entity,entity,0,null,name
153,entity,name,1,entity,namespace
154,entity,namespace,2,name,scope-resolution
155,entity,scope-resolution,3,namespace,objcpp
156,entity,objcpp,4,scope-resolution,null
157,entity,entity,0,null,name
158,entity,name,1,entity,operator
159,entity,operator,2,name,overloadee
160,entity,overloadee,3,operator,objcpp
161,entity,objcpp,4,overloadee,null
162,entity,entity,0,null,name
163,entity,name,1,entity,tag
164,entity,tag,2,name,pragma-mark
165,entity,pragma-mark,3,tag,objcpp
166,entity,objcpp,4,pragma-mark,null
167,entity,entity,0,null,name
168,entity,name,1,entity,type
169,entity,type,2,name,inherited
170,entity,inherited,3,type,objcpp
171,entity,objcpp,4,inherited,null
172,entity,entity,0,null,name
173,entity,name,1,entity,type
174,entity,type,2,name,objcpp
175,entity,objcpp,3,type,null
176,entity,entity,0,null,name
177,entity,name,1,entity,type
178,entity,type,2,name,template
179,entity,template,3,type,objcpp
180,entity,objcpp,4,template,null
181,entity,entity,0,null,other
182,entity,other,1,entity,attribute-name
183,entity,attribute-name,2,other,pragma
184,entity,pragma,3,attribute-name,preprocessor
185,entity,preprocessor,4,pragma,objcpp
186,entity,objcpp,5,preprocessor,null
187,entity,entity,0,null,other
188,entity,other,1,entity,inherited-class
189,entity,inherited-class,2,other,objcpp
190,entity,objcpp,3,inherited-class,null
191,entity,entity,0,null,scope
192,entity,scope,1,entity,name
193,entity,name,2,scope,objcpp
194,entity,objcpp,3,name,null
195,entity,entity,0,null,scope
196,entity,scope,1,entity,objcpp
197,entity,objcpp,2,scope,null
198,everything,everything,0,null,else
199,everything,else,1,everything,objcpp
200,everything,objcpp,2,else,null
201,invalid,invalid,0,null,illegal
202,invalid,illegal,1,invalid,constant
203,invalid,constant,2,illegal,numeric
204,invalid,numeric,3,constant,objcpp
205,invalid,objcpp,4,numeric,null
206,invalid,invalid,0,null,illegal
207,invalid,illegal,1,invalid,delimiter-too-long
208,invalid,delimiter-too-long,2,illegal,objcpp
209,invalid,objcpp,3,delimiter-too-long,null
210,invalid,invalid,0,null,illegal
211,invalid,illegal,1,invalid,macro-name
212,invalid,macro-name,2,illegal,objcpp
213,invalid,objcpp,3,macro-name,null
214,invalid,invalid,0,null,illegal
215,invalid,illegal,1,invalid,placeholder
216,invalid,placeholder,2,illegal,objcpp
217,invalid,objcpp,3,placeholder,null
218,invalid,invalid,0,null,illegal
219,invalid,illegal,1,invalid,stray-$1
220,invalid,stray-$1,2,illegal,objcpp
221,invalid,objcpp,3,stray-$1,null
222,invalid,invalid,0,null,illegal
223,invalid,illegal,1,invalid,unknown-escape
224,invalid,unknown-escape,2,illegal,objcpp
225,invalid,objcpp,3,unknown-escape,null
226,invalid,invalid,0,null,illegal
227,invalid,illegal,1,invalid,unknown-method
228,invalid,unknown-method,2,illegal,objcpp
229,invalid,objcpp,3,unknown-method,null
230,invalid,invalid,0,null,illegal
231,invalid,illegal,1,invalid,you-forgot-semicolon
232,invalid,you-forgot-semicolon,2,illegal,objcpp
233,invalid,objcpp,3,you-forgot-semicolon,null
234,keyword,keyword,0,null,control
235,keyword,control,1,keyword,$1
236,keyword,$1,2,control,objcpp
237,keyword,objcpp,3,$1,null
238,keyword,keyword,0,null,control
239,keyword,control,1,keyword,case
240,keyword,case,2,control,objcpp
241,keyword,objcpp,3,case,null
242,keyword,keyword,0,null,control
243,keyword,control,1,keyword,default
244,keyword,default,2,control,objcpp
245,keyword,objcpp,3,default,null
246,keyword,keyword,0,null,control
247,keyword,control,1,keyword,directive
248,keyword,directive,2,control,$3
249,keyword,$3,3,directive,objcpp
250,keyword,objcpp,4,$3,null
251,keyword,keyword,0,null,control
252,keyword,control,1,keyword,directive
253,keyword,directive,2,control,conditional
254,keyword,conditional,3,directive,objcpp
255,keyword,objcpp,4,conditional,null
256,keyword,keyword,0,null,control
257,keyword,control,1,keyword,directive
258,keyword,directive,2,control,define
259,keyword,define,3,directive,objcpp
260,keyword,objcpp,4,define,null
261,keyword,keyword,0,null,control
262,keyword,control,1,keyword,directive
263,keyword,directive,2,control,diagnostic
264,keyword,diagnostic,3,directive,$3
265,keyword,$3,4,diagnostic,objcpp
266,keyword,objcpp,5,$3,null
267,keyword,keyword,0,null,control
