id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,objc
2,comment,objc,2,block,null
3,comment,comment,0,null,block
4,comment,block,1,comment,preprocessor
5,comment,preprocessor,2,block,elif-branch
6,comment,elif-branch,3,preprocessor,in-block
7,comment,in-block,4,elif-branch,objc
8,comment,objc,5,in-block,null
9,comment,comment,0,null,block
10,comment,block,1,comment,preprocessor
11,comment,preprocessor,2,block,elif-branch
12,comment,elif-branch,3,preprocessor,objc
13,comment,objc,4,elif-branch,null
14,comment,comment,0,null,block
15,comment,block,1,comment,preprocessor
16,comment,preprocessor,2,block,else-branch
17,comment,else-branch,3,preprocessor,in-block
18,comment,in-block,4,else-branch,objc
19,comment,objc,5,in-block,null
20,comment,comment,0,null,block
21,comment,block,1,comment,preprocessor
22,comment,preprocessor,2,block,else-branch
23,comment,else-branch,3,preprocessor,objc
24,comment,objc,4,else-branch,null
25,comment,comment,0,null,block
26,comment,block,1,comment,preprocessor
27,comment,preprocessor,2,block,if-branch
28,comment,if-branch,3,preprocessor,in-block
29,comment,in-block,4,if-branch,objc
30,comment,objc,5,in-block,null
31,comment,comment,0,null,block
32,comment,block,1,comment,preprocessor
33,comment,preprocessor,2,block,if-branch
34,comment,if-branch,3,preprocessor,objc
35,comment,objc,4,if-branch,null
36,comment,comment,0,null,line
37,comment,line,1,comment,banner
38,comment,banner,2,line,objc
39,comment,objc,3,banner,null
40,comment,comment,0,null,line
41,comment,line,1,comment,double-slash
42,comment,double-slash,2,line,objc
43,comment,objc,3,double-slash,null
44,constant,constant,0,null,character
45,constant,character,1,constant,escape
46,constant,escape,2,character,line-continuation
47,constant,line-continuation,3,escape,objc
48,constant,objc,4,line-continuation,null
49,constant,constant,0,null,character
50,constant,character,1,constant,escape
51,constant,escape,2,character,objc
52,constant,objc,3,escape,null
53,constant,constant,0,null,language
54,constant,language,1,constant,objc
55,constant,objc,2,language,null
56,constant,constant,0,null,language
57,constant,language,1,constant,predicate
58,constant,predicate,2,language,cocoa
59,constant,cocoa,3,predicate,objc
60,constant,objc,4,cocoa,null
61,constant,constant,0,null,numeric
62,constant,numeric,1,constant,binary
63,constant,binary,2,numeric,objc
64,constant,objc,3,binary,null
65,constant,constant,0,null,numeric
66,constant,numeric,1,constant,decimal
67,constant,decimal,2,numeric,objc
68,constant,objc,3,decimal,null
69,constant,constant,0,null,numeric
70,constant,numeric,1,constant,decimal
71,constant,decimal,2,numeric,point
72,constant,point,3,decimal,objc
73,constant,objc,4,point,null
74,constant,constant,0,null,numeric
75,constant,numeric,1,constant,exponent
76,constant,exponent,2,numeric,decimal
77,constant,decimal,3,exponent,objc
78,constant,objc,4,decimal,null
79,constant,constant,0,null,numeric
80,constant,numeric,1,constant,exponent
81,constant,exponent,2,numeric,hexadecimal
82,constant,hexadecimal,3,exponent,objc
83,constant,objc,4,hexadecimal,null
84,constant,constant,0,null,numeric
85,constant,numeric,1,constant,hexadecimal
86,constant,hexadecimal,2,numeric,objc
87,constant,objc,3,hexadecimal,null
88,constant,constant,0,null,numeric
89,constant,numeric,1,constant,octal
90,constant,octal,2,numeric,objc
91,constant,objc,3,octal,null
92,constant,constant,0,null,numeric
93,constant,numeric,1,constant,preprocessor
94,constant,preprocessor,2,numeric,objc
95,constant,objc,3,preprocessor,null
96,constant,constant,0,null,other
97,constant,other,1,constant,placeholder
