id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,documentation
2,comment,documentation,2,block,perl
3,comment,perl,3,documentation,null
4,comment,comment,0,null,line
5,comment,line,1,comment,number-sign
6,comment,number-sign,2,line,perl
7,comment,perl,3,number-sign,null
8,constant,constant,0,null,character
9,constant,character,1,constant,escape
10,constant,escape,2,character,perl
11,constant,perl,3,escape,null
12,constant,constant,0,null,character
13,constant,character,1,constant,escape
14,constant,escape,2,character,perl
15,constant,perl,3,escape,perl
16,constant,perl,4,perl,null
17,constant,constant,0,null,language
18,constant,language,1,constant,perl
19,constant,perl,2,language,null
20,constant,constant,0,null,other
21,constant,other,1,constant,bareword
22,constant,bareword,2,other,perl
23,constant,perl,3,bareword,null
24,constant,constant,0,null,other
25,constant,other,1,constant,character-class
26,constant,character-class,2,other,set
27,constant,set,3,character-class,perl
28,constant,perl,4,set,null
29,constant,constant,0,null,other
30,constant,other,1,constant,key
31,constant,key,2,other,perl
32,constant,perl,3,key,null
33,entity,entity,0,null,name
34,entity,name,1,entity,function
35,entity,function,2,name,format
36,entity,format,3,function,perl
37,entity,perl,4,format,null
38,entity,entity,0,null,name
39,entity,name,1,entity,function
40,entity,function,2,name,perl
41,entity,perl,3,function,null
42,entity,entity,0,null,name
43,entity,name,1,entity,type
44,entity,type,2,name,class
45,entity,class,3,type,perl
46,entity,perl,4,class,null
47,entity,entity,0,null,name
48,entity,name,1,entity,type
49,entity,type,2,name,instance
50,entity,instance,3,type,pod
51,entity,pod,4,instance,perl
52,entity,perl,5,pod,null
53,keyword,keyword,0,null,control
54,keyword,control,1,keyword,anchor
55,keyword,anchor,2,control,perl
56,keyword,perl,3,anchor,null
57,keyword,keyword,0,null,control
58,keyword,control,1,keyword,perl
59,keyword,perl,2,control,null
60,keyword,keyword,0,null,control
61,keyword,control,1,keyword,regexp-option
62,keyword,regexp-option,2,control,perl
63,keyword,perl,3,regexp-option,null
64,keyword,keyword,0,null,operator
65,keyword,operator,1,keyword,comparison
66,keyword,comparison,2,operator,perl
67,keyword,perl,3,comparison,null
68,keyword,keyword,0,null,operator
69,keyword,operator,1,keyword,filetest
70,keyword,filetest,2,operator,perl
71,keyword,perl,3,filetest,null
72,keyword,keyword,0,null,operator
73,keyword,operator,1,keyword,logical
74,keyword,logical,2,operator,perl
75,keyword,perl,3,logical,null
76,markup,markup,0,null,bold
77,markup,bold,1,markup,pod
78,markup,pod,2,bold,perl
79,markup,perl,3,pod,null
80,markup,markup,0,null,italic
81,markup,italic,1,markup,pod
82,markup,pod,2,italic,perl
83,markup,perl,3,pod,null
84,markup,markup,0,null,raw
85,markup,raw,1,markup,pod
86,markup,pod,2,raw,perl
87,markup,perl,3,pod,null
88,markup,markup,0,null,underline
89,markup,underline,1,markup,link
90,markup,link,2,underline,hyperlink
91,markup,hyperlink,3,link,pod
92,markup,pod,4,hyperlink,perl
93,markup,perl,5,pod,null
94,meta,meta,0,null,class
95,meta,class,1,meta,perl
96,meta,perl,2,class,null
97,meta,meta,0,null,embedded
98,meta,embedded,1,meta,block
99,meta,block,2,embedded,css
100,meta,css,3,block,null
101,meta,meta,0,null,embedded
102,meta,embedded,1,meta,block
103,meta,block,2,embedded,html
104,meta,html,3,block,null
105,meta,meta,0,null,embedded
106,meta,embedded,1,meta,block
107,meta,block,2,embedded,js
108,meta,js,3,block,null
109,meta,meta,0,null,embedded
110,meta,embedded,1,meta,block
111,meta,block,2,embedded,postscript
112,meta,postscript,3,block,null
113,meta,meta,0,null,embedded
114,meta,embedded,1,meta,block
115,meta,block,2,embedded,sql
116,meta,sql,3,block,null
117,meta,meta,0,null,embedded
118,meta,embedded,1,meta,block
119,meta,block,2,embedded,xml
120,meta,xml,3,block,null
121,meta,meta,0,null,embedded
122,meta,embedded,1,meta,pod
123,meta,pod,2,embedded,perl
124,meta,perl,3,pod,null
125,meta,meta,0,null,even-tab
126,meta,even-tab,1,meta,null
127,meta,meta,0,null,format
128,meta,format,1,meta,perl
129,meta,perl,2,format,null
130,meta,meta,0,null,function
131,meta,function,1,meta,perl
132,meta,perl,2,function,null
133,meta,meta,0,null,leading-tabs
134,meta,leading-tabs,1,meta,null
135,meta,meta,0,null,odd-tab
136,meta,odd-tab,1,meta,null
137,punctuation,punctuation,0,null,definition
138,punctuation,definition,1,punctuation,character-class
139,punctuation,character-class,2,definition,begin
140,punctuation,begin,3,character-class,perl
141,punctuation,perl,4,begin,null
142,punctuation,punctuation,0,null,definition
143,punctuation,definition,1,punctuation,character-class
144,punctuation,character-class,2,definition,end
145,punctuation,end,3,character-class,perl
146,punctuation,perl,4,end,null
