id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,perl
2,comment,perl,2,block,null
3,comment,comment,0,null,line
4,comment,line,1,comment,number-sign
5,comment,number-sign,2,line,perl
6,comment,perl,3,number-sign,null
7,constant,constant,0,null,character
8,constant,character,1,constant,escape
9,constant,escape,2,character,perl
10,constant,perl,3,escape,null
11,constant,constant,0,null,numeric
12,constant,numeric,1,constant,perl
13,constant,perl,2,numeric,null
14,entity,entity,0,null,name
15,entity,name,1,entity,type
16,entity,type,2,name,class
17,entity,class,3,type,perl
18,entity,perl,4,class,6
19,entity,6,5,perl,null
20,keyword,keyword,0,null,control
21,keyword,control,1,keyword,conditional
22,keyword,conditional,2,control,perl
23,keyword,perl,3,conditional,null
24,keyword,keyword,0,null,control
25,keyword,control,1,keyword,control-handlers
26,keyword,control-handlers,2,control,perl
27,keyword,perl,3,control-handlers,null
28,keyword,keyword,0,null,control
29,keyword,control,1,keyword,flowcontrol
30,keyword,flowcontrol,2,control,perl
31,keyword,perl,3,flowcontrol,null
32,keyword,keyword,0,null,control
33,keyword,control,1,keyword,repeat
34,keyword,repeat,2,control,perl
35,keyword,perl,3,repeat,null
36,keyword,keyword,0,null,operator
37,keyword,operator,1,keyword,perl
38,keyword,perl,2,operator,null
39,keyword,keyword,0,null,other
40,keyword,other,1,keyword,include
41,keyword,include,2,other,perl
42,keyword,perl,3,include,null
43,keyword,keyword,0,null,other
44,keyword,other,1,keyword,pragma
45,keyword,pragma,2,other,perl
46,keyword,perl,3,pragma,null
47,meta,meta,0,null,class
48,meta,class,1,meta,perl
49,meta,perl,2,class,6
50,meta,6,3,perl,null
51,meta,meta,0,null,function
52,meta,function,1,meta,perl
53,meta,perl,2,function,null
54,punctuation,punctuation,0,null,definition
55,punctuation,definition,1,punctuation,comment
56,punctuation,comment,2,definition,perl
57,punctuation,perl,3,comment,null
58,punctuation,punctuation,0,null,definition
59,punctuation,definition,1,punctuation,string
60,punctuation,string,2,definition,begin
61,punctuation,begin,3,string,perl
62,punctuation,perl,4,begin,null
63,punctuation,punctuation,0,null,definition
64,punctuation,definition,1,punctuation,string
65,punctuation,string,2,definition,end
66,punctuation,end,3,string,perl
67,punctuation,perl,4,end,null
68,punctuation,punctuation,0,null,whitespace
69,punctuation,whitespace,1,punctuation,comment
70,punctuation,comment,2,whitespace,leading
71,punctuation,leading,3,comment,perl
72,punctuation,perl,4,leading,null
73,storage,storage,0,null,modifier
74,storage,modifier,1,storage,perl
75,storage,perl,2,modifier,null
76,storage,storage,0,null,modifier
77,storage,modifier,1,storage,type
78,storage,type,2,modifier,constraints
79,storage,constraints,3,type,perl
80,storage,perl,4,constraints,null
81,storage,storage,0,null,type
82,storage,type,1,storage,class
83,storage,class,2,type,perl
84,storage,perl,3,class,6
85,storage,6,4,perl,null
86,storage,storage,0,null,type
87,storage,type,1,storage,declare
88,storage,declare,2,type,routine
89,storage,routine,3,declare,perl
90,storage,perl,4,routine,null
91,storage,storage,0,null,type
92,storage,type,1,storage,variable
93,storage,variable,2,type,perl
94,storage,perl,3,variable,null
95,string,string,0,null,quoted
96,string,quoted,1,string,double
97,string,double,2,quoted,heredoc
98,string,heredoc,3,double,brace
99,string,brace,4,heredoc,perl
100,string,perl,5,brace,null
101,string,string,0,null,quoted
102,string,quoted,1,string,double
103,string,double,2,quoted,heredoc
104,string,heredoc,3,double,bracket
105,string,bracket,4,heredoc,perl
106,string,perl,5,bracket,null
107,string,string,0,null,quoted
108,string,quoted,1,string,double
109,string,double,2,quoted,heredoc
110,string,heredoc,3,double,paren
111,string,paren,4,heredoc,perl
112,string,perl,5,paren,null
113,string,string,0,null,quoted
114,string,quoted,1,string,double
115,string,double,2,quoted,perl
116,string,perl,3,double,null
117,string,string,0,null,quoted
118,string,quoted,1,string,single
119,string,single,2,quoted,heredoc
120,string,heredoc,3,single,brace
121,string,brace,4,heredoc,perl
122,string,perl,5,brace,null
123,string,string,0,null,quoted
124,string,quoted,1,string,single
125,string,single,2,quoted,heredoc
126,string,heredoc,3,single,bracket
127,string,bracket,4,heredoc,perl
128,string,perl,5,bracket,null
129,string,string,0,null,quoted
130,string,quoted,1,string,single
131,string,single,2,quoted,heredoc
132,string,heredoc,3,single,double
133,string,double,4,heredoc,perl
134,string,perl,5,double,null
135,string,string,0,null,quoted
136,string,quoted,1,string,single
137,string,single,2,quoted,heredoc
138,string,heredoc,3,single,paren
139,string,paren,4,heredoc,perl
140,string,perl,5,paren,null
141,string,string,0,null,quoted
142,string,quoted,1,string,single
143,string,single,2,quoted,heredoc
144,string,heredoc,3,single,perl
145,string,perl,4,heredoc,null
