id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,documentation
2,comment,documentation,2,block,phpdoc
3,comment,phpdoc,3,documentation,php
4,comment,php,4,phpdoc,null
5,comment,comment,0,null,block
6,comment,block,1,comment,php
7,comment,php,2,block,null
8,comment,comment,0,null,line
9,comment,line,1,comment,double-dash
10,comment,double-dash,2,line,sql
11,comment,sql,3,double-dash,null
12,comment,comment,0,null,line
13,comment,line,1,comment,double-slash
14,comment,double-slash,2,line,php
15,comment,php,3,double-slash,null
16,comment,comment,0,null,line
17,comment,line,1,comment,number-sign
18,comment,number-sign,2,line,php
19,comment,php,3,number-sign,null
20,comment,comment,0,null,line
21,comment,line,1,comment,number-sign
22,comment,number-sign,2,line,sql
23,comment,sql,3,number-sign,null
24,constant,constant,0,null,character
25,constant,character,1,constant,escape
26,constant,escape,2,character,hex
27,constant,hex,3,escape,php
28,constant,php,4,hex,null
29,constant,constant,0,null,character
30,constant,character,1,constant,escape
31,constant,escape,2,character,octal
32,constant,octal,3,escape,php
33,constant,php,4,octal,null
34,constant,constant,0,null,character
35,constant,character,1,constant,escape
36,constant,escape,2,character,php
37,constant,php,3,escape,null
38,constant,constant,0,null,character
39,constant,character,1,constant,escape
40,constant,escape,2,character,regex
41,constant,regex,3,escape,php
42,constant,php,4,regex,null
43,constant,constant,0,null,character
44,constant,character,1,constant,escape
45,constant,escape,2,character,unicode
46,constant,unicode,3,escape,php
47,constant,php,4,unicode,null
48,constant,constant,0,null,enum
49,constant,enum,1,constant,php
50,constant,php,2,enum,null
51,constant,constant,0,null,language
52,constant,language,1,constant,php
53,constant,php,2,language,null
54,constant,constant,0,null,numeric
55,constant,numeric,1,constant,binary
56,constant,binary,2,numeric,php
57,constant,php,3,binary,null
58,constant,constant,0,null,numeric
59,constant,numeric,1,constant,decimal
60,constant,decimal,2,numeric,php
61,constant,php,3,decimal,null
62,constant,constant,0,null,numeric
63,constant,numeric,1,constant,hex
64,constant,hex,2,numeric,php
65,constant,php,3,hex,null
66,constant,constant,0,null,numeric
67,constant,numeric,1,constant,index
68,constant,index,2,numeric,php
69,constant,php,3,index,null
70,constant,constant,0,null,numeric
71,constant,numeric,1,constant,octal
72,constant,octal,2,numeric,php
73,constant,php,3,octal,null
74,constant,constant,0,null,other
75,constant,other,1,constant,class
76,constant,class,2,other,php
77,constant,php,3,class,null
78,constant,constant,0,null,other
79,constant,other,1,constant,php
80,constant,php,2,other,null
81,entity,entity,0,null,name
82,entity,name,1,entity,function
83,entity,function,2,name,php
84,entity,php,3,function,null
85,entity,entity,0,null,name
86,entity,name,1,entity,goto-label
87,entity,goto-label,2,name,php
88,entity,php,3,goto-label,null
89,entity,entity,0,null,name
90,entity,name,1,entity,type
91,entity,type,2,name,class
92,entity,class,3,type,php
93,entity,php,4,class,null
94,entity,entity,0,null,name
95,entity,name,1,entity,type
96,entity,type,2,name,enum
97,entity,enum,3,type,php
98,entity,php,4,enum,null
99,entity,entity,0,null,name
100,entity,name,1,entity,type
101,entity,type,2,name,interface
102,entity,interface,3,type,php
103,entity,php,4,interface,null
104,entity,entity,0,null,name
105,entity,name,1,entity,type
106,entity,type,2,name,namespace
107,entity,namespace,3,type,php
108,entity,php,4,namespace,null
109,entity,entity,0,null,name
110,entity,name,1,entity,type
111,entity,type,2,name,trait
112,entity,trait,3,type,php
113,entity,php,4,trait,null
114,entity,entity,0,null,name
115,entity,name,1,entity,variable
116,entity,variable,2,name,parameter
117,entity,parameter,3,variable,php
118,entity,php,4,parameter,null
119,entity,entity,0,null,other
120,entity,other,1,entity,alias
121,entity,alias,2,other,php
122,entity,php,3,alias,null
123,entity,entity,0,null,other
124,entity,other,1,entity,inherited-class
125,entity,inherited-class,2,other,php
126,entity,php,3,inherited-class,null
127,invalid,invalid,0,null,illegal
128,invalid,illegal,1,invalid,identifier
129,invalid,identifier,2,illegal,php
130,invalid,php,3,identifier,null
131,invalid,invalid,0,null,illegal
132,invalid,illegal,1,invalid,missing-asterisk
133,invalid,missing-asterisk,2,illegal,phpdoc
134,invalid,phpdoc,3,missing-asterisk,php
135,invalid,php,4,phpdoc,null
136,invalid,invalid,0,null,illegal
137,invalid,illegal,1,invalid,return-type
138,invalid,return-type,2,illegal,php
139,invalid,php,3,return-type,null
140,invalid,invalid,0,null,illegal
141,invalid,illegal,1,invalid,trailing-whitespace
142,invalid,trailing-whitespace,2,illegal,php
143,invalid,php,3,trailing-whitespace,null
144,invalid,invalid,0,null,illegal
145,invalid,illegal,1,invalid,wrong-access-type
146,invalid,wrong-access-type,2,illegal,phpdoc
147,invalid,phpdoc,3,wrong-access-type,php
