id,root,name,layer,parent,children
0,invalid,invalid,0,null,deprecated
1,invalid,deprecated,1,invalid,10
2,invalid,10,2,deprecated,10
3,invalid,10,3,10,support
4,invalid,support,4,10,constant
5,invalid,constant,5,support,c
6,invalid,c,6,constant,null
7,invalid,invalid,0,null,deprecated
8,invalid,deprecated,1,invalid,10
9,invalid,10,2,deprecated,10
10,invalid,10,3,10,support
11,invalid,support,4,10,constant
12,invalid,constant,5,support,cf
13,invalid,cf,6,constant,c
14,invalid,c,7,cf,null
15,invalid,invalid,0,null,deprecated
16,invalid,deprecated,1,invalid,10
17,invalid,10,2,deprecated,10
18,invalid,10,3,10,support
19,invalid,support,4,10,function
20,invalid,function,5,support,c
21,invalid,c,6,function,null
22,invalid,invalid,0,null,deprecated
23,invalid,deprecated,1,invalid,10
24,invalid,10,2,deprecated,10
25,invalid,10,3,10,support
26,invalid,support,4,10,function
27,invalid,function,5,support,cf
28,invalid,cf,6,function,c
29,invalid,c,7,cf,null
30,invalid,invalid,0,null,deprecated
31,invalid,deprecated,1,invalid,10
32,invalid,10,2,deprecated,10
33,invalid,10,3,10,support
34,invalid,support,4,10,type
35,invalid,type,5,support,c
36,invalid,c,6,type,null
37,invalid,invalid,0,null,deprecated
38,invalid,deprecated,1,invalid,10
39,invalid,10,2,deprecated,10
40,invalid,10,3,10,support
41,invalid,support,4,10,type
42,invalid,type,5,support,cf
43,invalid,cf,6,type,c
44,invalid,c,7,cf,null
45,invalid,invalid,0,null,deprecated
46,invalid,deprecated,1,invalid,10
47,invalid,10,2,deprecated,10
48,invalid,10,3,10,support
49,invalid,support,4,10,variable
50,invalid,variable,5,support,c
51,invalid,c,6,variable,null
52,invalid,invalid,0,null,deprecated
53,invalid,deprecated,1,invalid,10
54,invalid,10,2,deprecated,11
55,invalid,11,3,10,support
56,invalid,support,4,11,constant
57,invalid,constant,5,support,c
58,invalid,c,6,constant,null
59,invalid,invalid,0,null,deprecated
60,invalid,deprecated,1,invalid,10
61,invalid,10,2,deprecated,11
62,invalid,11,3,10,support
63,invalid,support,4,11,function
64,invalid,function,5,support,c
65,invalid,c,6,function,null
66,invalid,invalid,0,null,deprecated
67,invalid,deprecated,1,invalid,10
68,invalid,10,2,deprecated,11
69,invalid,11,3,10,support
