id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,powershell
2,comment,powershell,2,block,null
3,comment,comment,0,null,documentation
4,comment,documentation,1,comment,embedded
5,comment,embedded,2,documentation,powershell
6,comment,powershell,3,embedded,null
7,comment,comment,0,null,line
8,comment,line,1,comment,powershell
9,comment,powershell,2,line,null
10,constant,constant,0,null,character
11,constant,character,1,constant,escape
12,constant,escape,2,character,powershell
13,constant,powershell,3,escape,null
14,constant,constant,0,null,language
15,constant,language,1,constant,powershell
16,constant,powershell,2,language,null
17,constant,constant,0,null,numeric
18,constant,numeric,1,constant,hex
19,constant,hex,2,numeric,powershell
20,constant,powershell,3,hex,null
21,constant,constant,0,null,numeric
22,constant,numeric,1,constant,integer
23,constant,integer,2,numeric,powershell
24,constant,powershell,3,integer,null
25,constant,constant,0,null,numeric
26,constant,numeric,1,constant,octal
27,constant,octal,2,numeric,powershell
28,constant,powershell,3,octal,null
29,constant,constant,0,null,string
30,constant,string,1,constant,documentation
31,constant,documentation,2,string,powershell
32,constant,powershell,3,documentation,null
33,entity,entity,0,null,name
34,entity,name,1,entity,function
35,entity,function,2,name,null
36,entity,entity,0,null,name
37,entity,name,1,entity,function
38,entity,function,2,name,powershell
39,entity,powershell,3,function,null
40,interpolated,interpolated,0,null,complex
41,interpolated,complex,1,interpolated,source
42,interpolated,source,2,complex,powershell
43,interpolated,powershell,3,source,null
44,invalid,invalid,0,null,character
45,invalid,character,1,invalid,escape
46,invalid,escape,2,character,powershell
47,invalid,powershell,3,escape,null
48,keyword,keyword,0,null,control
49,keyword,control,1,keyword,powershell
50,keyword,powershell,2,control,null
51,keyword,keyword,0,null,control
52,keyword,control,1,keyword,requires
53,keyword,requires,2,control,powershell
54,keyword,powershell,3,requires,null
55,keyword,keyword,0,null,control
56,keyword,control,1,keyword,using
57,keyword,using,2,control,powershell
58,keyword,powershell,3,using,null
59,keyword,keyword,0,null,operator
60,keyword,operator,1,keyword,assignment
61,keyword,assignment,2,operator,powershell
62,keyword,powershell,3,assignment,null
63,keyword,keyword,0,null,operator
64,keyword,operator,1,keyword,bitwise
65,keyword,bitwise,2,operator,powershell
66,keyword,powershell,3,bitwise,null
67,keyword,keyword,0,null,operator
68,keyword,operator,1,keyword,comparison
69,keyword,comparison,2,operator,powershell
70,keyword,powershell,3,comparison,null
71,keyword,keyword,0,null,operator
72,keyword,operator,1,keyword,documentation
73,keyword,documentation,2,operator,powershell
74,keyword,powershell,3,documentation,null
75,keyword,keyword,0,null,operator
76,keyword,operator,1,keyword,logical
77,keyword,logical,2,operator,powershell
78,keyword,powershell,3,logical,null
79,keyword,keyword,0,null,operator
80,keyword,operator,1,keyword,other
81,keyword,other,2,operator,powershell
82,keyword,powershell,3,other,null
83,keyword,keyword,0,null,operator
84,keyword,operator,1,keyword,range
85,keyword,range,2,operator,powershell
86,keyword,powershell,3,range,null
87,keyword,keyword,0,null,operator
88,keyword,operator,1,keyword,redirection
89,keyword,redirection,2,operator,powershell
90,keyword,powershell,3,redirection,null
91,keyword,keyword,0,null,operator
