id,root,name,layer,parent,children
0,comment,comment,0,null,line
1,comment,line,1,comment,number-sign
2,comment,number-sign,2,line,r
3,comment,r,3,number-sign,null
4,comment,comment,0,null,line
5,comment,line,1,comment,pragma-mark
6,comment,pragma-mark,2,line,r
7,comment,r,3,pragma-mark,null
8,comment,comment,0,null,line
9,comment,line,1,comment,pragma
10,comment,pragma,2,line,r
11,comment,r,3,pragma,null
12,comment,comment,0,null,line
13,comment,line,1,comment,roxygen
14,comment,roxygen,2,line,r
15,comment,r,3,roxygen,null
16,constant,constant,0,null,character
17,constant,character,1,constant,escape
18,constant,escape,2,character,r
19,constant,r,3,escape,null
20,constant,constant,0,null,language
21,constant,language,1,constant,r
22,constant,r,2,language,null
23,constant,constant,0,null,numeric
24,constant,numeric,1,constant,float
25,constant,float,2,numeric,decimal
26,constant,decimal,3,float,r
27,constant,r,4,decimal,null
28,constant,constant,0,null,numeric
29,constant,numeric,1,constant,float
30,constant,float,2,numeric,hexadecimal
31,constant,hexadecimal,3,float,r
32,constant,r,4,hexadecimal,null
33,constant,constant,0,null,numeric
34,constant,numeric,1,constant,imaginary
35,constant,imaginary,2,numeric,decimal
36,constant,decimal,3,imaginary,r
37,constant,r,4,decimal,null
38,constant,constant,0,null,numeric
39,constant,numeric,1,constant,imaginary
40,constant,imaginary,2,numeric,hexadecimal
41,constant,hexadecimal,3,imaginary,r
42,constant,r,4,hexadecimal,null
43,constant,constant,0,null,numeric
44,constant,numeric,1,constant,integer
45,constant,integer,2,numeric,decimal
46,constant,decimal,3,integer,r
47,constant,r,4,decimal,null
48,constant,constant,0,null,numeric
49,constant,numeric,1,constant,integer
50,constant,integer,2,numeric,hexadecimal
51,constant,hexadecimal,3,integer,r
52,constant,r,4,hexadecimal,null
53,entity,entity,0,null,name
54,entity,name,1,entity,function
55,entity,function,2,name,r
56,entity,r,3,function,null
57,entity,entity,0,null,name
58,entity,name,1,entity,pragma
59,entity,pragma,2,name,name
60,entity,name,3,pragma,r
61,entity,r,4,name,null
62,entity,entity,0,null,namespace
63,entity,namespace,1,entity,r
64,entity,r,2,namespace,null
65,invalid,invalid,0,null,illegal
66,invalid,illegal,1,invalid,variable
67,invalid,variable,2,illegal,other
68,invalid,other,3,variable,r
69,invalid,r,4,other,null
70,keyword,keyword,0,null,control
71,keyword,control,1,keyword,r
72,keyword,r,2,control,null
73,keyword,keyword,0,null,operator
74,keyword,operator,1,keyword,arithmetic
75,keyword,arithmetic,2,operator,r
76,keyword,r,3,arithmetic,null
77,keyword,keyword,0,null,operator
78,keyword,operator,1,keyword,assignment
79,keyword,assignment,2,operator,r
80,keyword,r,3,assignment,null
81,keyword,keyword,0,null,operator
82,keyword,operator,1,keyword,comparison
83,keyword,comparison,2,operator,r
84,keyword,r,3,comparison,null
85,keyword,keyword,0,null,operator
86,keyword,operator,1,keyword,logical
87,keyword,logical,2,operator,r
88,keyword,r,3,logical,null
89,keyword,keyword,0,null,operator
90,keyword,operator,1,keyword,other
91,keyword,other,2,operator,r
92,keyword,r,3,other,null
93,keyword,keyword,0,null,operator
94,keyword,operator,1,keyword,pipe
95,keyword,pipe,2,operator,r
96,keyword,r,3,pipe,null
97,keyword,keyword,0,null,other
98,keyword,other,1,keyword,r
99,keyword,r,2,other,null
100,meta,meta,0,null,function-call
101,meta,function-call,1,meta,arguments
102,meta,arguments,2,function-call,r
103,meta,r,3,arguments,null
104,meta,meta,0,null,function-call
105,meta,function-call,1,meta,parameters
106,meta,parameters,2,function-call,r
107,meta,r,3,parameters,null
108,meta,meta,0,null,function-call
109,meta,function-call,1,meta,r
110,meta,r,2,function-call,null
111,meta,meta,0,null,function
112,meta,function,1,meta,parameters
113,meta,parameters,2,function,r
114,meta,r,3,parameters,null
115,meta,meta,0,null,function
116,meta,function,1,meta,r
117,meta,r,2,function,null
118,meta,meta,0,null,item-access
119,meta,item-access,1,meta,arguments
120,meta,arguments,2,item-access,r
121,meta,r,3,arguments,null
122,punctuation,punctuation,0,null,definition
123,punctuation,definition,1,punctuation,comment
124,punctuation,comment,2,definition,r
125,punctuation,r,3,comment,null
126,punctuation,punctuation,0,null,definition
127,punctuation,definition,1,punctuation,string
128,punctuation,string,2,definition,begin
129,punctuation,begin,3,string,r
130,punctuation,r,4,begin,null
131,punctuation,punctuation,0,null,definition
132,punctuation,definition,1,punctuation,string
133,punctuation,string,2,definition,end
134,punctuation,end,3,string,r
135,punctuation,r,4,end,null
136,punctuation,punctuation,0,null,definition
137,punctuation,definition,1,punctuation,string
138,punctuation,string,2,definition,raw
139,punctuation,raw,3,string,begin
140,punctuation,begin,4,raw,r
141,punctuation,r,5,begin,null
142,punctuation,punctuation,0,null,definition
143,punctuation,definition,1,punctuation,string
144,punctuation,string,2,definition,raw
145,punctuation,raw,3,string,end
146,punctuation,end,4,raw,r
