id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,null
2,constant,constant,0,null,character
3,constant,character,1,constant,escape
4,constant,escape,2,character,null
5,constant,constant,0,null,numeric
6,constant,numeric,1,constant,null
7,entity,entity,0,null,name
8,entity,name,1,entity,tag
9,entity,tag,2,name,null
10,entity,entity,0,null,name
11,entity,name,1,entity,tag
12,entity,tag,2,name,anchor
13,entity,anchor,3,tag,null
14,keyword,keyword,0,null,control
15,keyword,control,1,keyword,null
16,keyword,keyword,0,null,control
17,keyword,control,1,keyword,py
18,keyword,py,2,control,null
19,keyword,keyword,0,null,control
20,keyword,control,1,keyword,table
21,keyword,table,2,control,null
22,markup,markup,0,null,bold
23,markup,bold,1,markup,null
24,markup,markup,0,null,heading
25,markup,heading,1,markup,null
26,markup,markup,0,null,italic
27,markup,italic,1,markup,null
28,markup,markup,0,null,underline
29,markup,underline,1,markup,link
30,markup,link,2,underline,null
31,string,string,0,null,interpolated
32,string,interpolated,1,string,null
33,variable,variable,0,null,null
34,variable,variable,0,null,parameter
35,variable,parameter,1,variable,null
36,variable,variable,0,null,parameter
37,variable,parameter,1,variable,codeblock
38,variable,codeblock,2,parameter,cmake
39,variable,cmake,3,codeblock,null
40,variable,variable,0,null,parameter
41,variable,parameter,1,variable,codeblock
42,variable,codeblock,2,parameter,console
43,variable,console,3,codeblock,null
44,variable,variable,0,null,parameter
45,variable,parameter,1,variable,codeblock
46,variable,codeblock,2,parameter,cpp
47,variable,cpp,3,codeblock,null
48,variable,variable,0,null,parameter
49,variable,parameter,1,variable,codeblock
50,variable,codeblock,2,parameter,dts
51,variable,dts,3,codeblock,null
52,variable,variable,0,null,parameter
53,variable,parameter,1,variable,codeblock
54,variable,codeblock,2,parameter,js
55,variable,js,3,codeblock,null
56,variable,variable,0,null,parameter
57,variable,parameter,1,variable,codeblock
58,variable,codeblock,2,parameter,kconfig
59,variable,kconfig,3,codeblock,null
60,variable,variable,0,null,parameter
61,variable,parameter,1,variable,codeblock
62,variable,codeblock,2,parameter,py
63,variable,py,3,codeblock,null
64,variable,variable,0,null,parameter
65,variable,parameter,1,variable,codeblock
66,variable,codeblock,2,parameter,ruby
67,variable,ruby,3,codeblock,null
68,variable,variable,0,null,parameter
69,variable,parameter,1,variable,codeblock
70,variable,codeblock,2,parameter,yaml
71,variable,yaml,3,codeblock,null
72,variable,variable,0,null,parameter
73,variable,parameter,1,variable,html
74,variable,html,2,parameter,null
