id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,documentation
2,comment,documentation,2,block,ruby
3,comment,ruby,3,documentation,null
4,comment,comment,0,null,line
5,comment,line,1,comment,number-sign
6,comment,number-sign,2,line,ruby
7,comment,ruby,3,number-sign,null
8,constant,constant,0,null,character
9,constant,character,1,constant,escape
10,constant,escape,2,character,ruby
11,constant,ruby,3,escape,null
12,constant,constant,0,null,language
13,constant,language,1,constant,ruby
14,constant,ruby,2,language,null
15,constant,constant,0,null,numeric
16,constant,numeric,1,constant,binary
17,constant,binary,2,numeric,ruby
18,constant,ruby,3,binary,null
19,constant,constant,0,null,numeric
20,constant,numeric,1,constant,float
21,constant,float,2,numeric,ruby
22,constant,ruby,3,float,null
23,constant,constant,0,null,numeric
24,constant,numeric,1,constant,hex
25,constant,hex,2,numeric,ruby
26,constant,ruby,3,hex,null
27,constant,constant,0,null,numeric
28,constant,numeric,1,constant,integer
29,constant,integer,2,numeric,ruby
30,constant,ruby,3,integer,null
31,constant,constant,0,null,numeric
32,constant,numeric,1,constant,octal
33,constant,octal,2,numeric,ruby
34,constant,ruby,3,octal,null
35,constant,constant,0,null,numeric
36,constant,numeric,1,constant,ruby
37,constant,ruby,2,numeric,null
38,constant,constant,0,null,other
39,constant,other,1,constant,character-class
40,constant,character-class,2,other,set
41,constant,set,3,character-class,ruby
42,constant,ruby,4,set,null
43,constant,constant,0,null,other
44,constant,other,1,constant,symbol
45,constant,symbol,2,other,double-quoted
46,constant,double-quoted,3,symbol,ruby
47,constant,ruby,4,double-quoted,null
48,constant,constant,0,null,other
49,constant,other,1,constant,symbol
50,constant,symbol,2,other,hashkey
51,constant,hashkey,3,symbol,parameter
52,constant,parameter,4,hashkey,function
53,constant,function,5,parameter,ruby
54,constant,ruby,6,function,null
55,constant,constant,0,null,other
56,constant,other,1,constant,symbol
57,constant,symbol,2,other,hashkey
58,constant,hashkey,3,symbol,ruby
59,constant,ruby,4,hashkey,null
60,constant,constant,0,null,other
61,constant,other,1,constant,symbol
62,constant,symbol,2,other,percent
63,constant,percent,3,symbol,ruby
64,constant,ruby,4,percent,null
65,constant,constant,0,null,other
66,constant,other,1,constant,symbol
67,constant,symbol,2,other,ruby
68,constant,ruby,3,symbol,null
69,constant,constant,0,null,other
70,constant,other,1,constant,symbol
71,constant,symbol,2,other,single-quoted
72,constant,single-quoted,3,symbol,ruby
73,constant,ruby,4,single-quoted,null
74,entity,entity,0,null,name
75,entity,name,1,entity,function
76,entity,function,2,name,ruby
77,entity,ruby,3,function,null
78,entity,entity,0,null,name
79,entity,name,1,entity,type
80,entity,type,2,name,class
81,entity,class,3,type,ruby
82,entity,ruby,4,class,null
83,entity,entity,0,null,name
84,entity,name,1,entity,type
85,entity,type,2,name,module
86,entity,module,3,type,ruby
87,entity,ruby,4,module,null
88,entity,entity,0,null,other
89,entity,other,1,entity,inherited-class
90,entity,inherited-class,2,other,module
91,entity,module,3,inherited-class,first
92,entity,first,4,module,ruby
93,entity,ruby,5,first,null
94,entity,entity,0,null,other
95,entity,other,1,entity,inherited-class
96,entity,inherited-class,2,other,module
97,entity,module,3,inherited-class,second
98,entity,second,4,module,ruby
99,entity,ruby,5,second,null
100,entity,entity,0,null,other
101,entity,other,1,entity,inherited-class
102,entity,inherited-class,2,other,module
103,entity,module,3,inherited-class,third
104,entity,third,4,module,ruby
105,entity,ruby,5,third,null
106,entity,entity,0,null,other
107,entity,other,1,entity,inherited-class
108,entity,inherited-class,2,other,ruby
109,entity,ruby,3,inherited-class,null
110,invalid,invalid,0,null,deprecated
111,invalid,deprecated,1,invalid,ruby
112,invalid,ruby,2,deprecated,null
113,keyword,keyword,0,null,control
114,keyword,control,1,keyword,class
115,keyword,class,2,control,ruby
116,keyword,ruby,3,class,null
117,keyword,keyword,0,null,control
118,keyword,control,1,keyword,def
119,keyword,def,2,control,ruby
120,keyword,ruby,3,def,null
121,keyword,keyword,0,null,control
122,keyword,control,1,keyword,module
123,keyword,module,2,control,ruby
124,keyword,ruby,3,module,null
125,keyword,keyword,0,null,control
126,keyword,control,1,keyword,pseudo-method
127,keyword,pseudo-method,2,control,ruby
128,keyword,ruby,3,pseudo-method,null
129,keyword,keyword,0,null,control
130,keyword,control,1,keyword,ruby
131,keyword,ruby,2,control,null
132,keyword,keyword,0,null,control
133,keyword,control,1,keyword,start-block
134,keyword,start-block,2,control,ruby
135,keyword,ruby,3,start-block,null
136,keyword,keyword,0,null,operator
137,keyword,operator,1,keyword,arithmetic
138,keyword,arithmetic,2,operator,ruby
139,keyword,ruby,3,arithmetic,null
140,keyword,keyword,0,null,operator
