id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,documentation
2,comment,documentation,2,block,rust
3,comment,rust,3,documentation,null
4,comment,comment,0,null,block
5,comment,block,1,comment,rust
6,comment,rust,2,block,null
7,comment,comment,0,null,line
8,comment,line,1,comment,documentation
9,comment,documentation,2,line,rust
10,comment,rust,3,documentation,null
11,comment,comment,0,null,line
12,comment,line,1,comment,double-slash
13,comment,double-slash,2,line,rust
14,comment,rust,3,double-slash,null
15,constant,constant,0,null,character
16,constant,character,1,constant,escape
17,constant,escape,2,character,backslash
18,constant,backslash,3,escape,rust
19,constant,rust,4,backslash,null
20,constant,constant,0,null,character
21,constant,character,1,constant,escape
22,constant,escape,2,character,bit
23,constant,bit,3,escape,rust
24,constant,rust,4,bit,null
25,constant,constant,0,null,character
26,constant,character,1,constant,escape
27,constant,escape,2,character,rust
28,constant,rust,3,escape,null
29,constant,constant,0,null,character
30,constant,character,1,constant,escape
31,constant,escape,2,character,unicode
32,constant,unicode,3,escape,punctuation
33,constant,punctuation,4,unicode,rust
34,constant,rust,5,punctuation,null
35,constant,constant,0,null,character
36,constant,character,1,constant,escape
37,constant,escape,2,character,unicode
38,constant,unicode,3,escape,rust
39,constant,rust,4,unicode,null
40,constant,constant,0,null,language
41,constant,language,1,constant,bool
42,constant,bool,2,language,rust
43,constant,rust,3,bool,null
44,constant,constant,0,null,numeric
45,constant,numeric,1,constant,bin
46,constant,bin,2,numeric,rust
47,constant,rust,3,bin,null
48,constant,constant,0,null,numeric
49,constant,numeric,1,constant,decimal
50,constant,decimal,2,numeric,exponent
51,constant,exponent,3,decimal,mantissa
52,constant,mantissa,4,exponent,rust
53,constant,rust,5,mantissa,null
54,constant,constant,0,null,numeric
55,constant,numeric,1,constant,decimal
56,constant,decimal,2,numeric,rust
57,constant,rust,3,decimal,null
58,constant,constant,0,null,numeric
59,constant,numeric,1,constant,hex
60,constant,hex,2,numeric,rust
61,constant,rust,3,hex,null
62,constant,constant,0,null,numeric
63,constant,numeric,1,constant,oct
64,constant,oct,2,numeric,rust
65,constant,rust,3,oct,null
66,constant,constant,0,null,other
67,constant,other,1,constant,caps
68,constant,caps,2,other,rust
69,constant,rust,3,caps,null
70,entity,entity,0,null,name
71,entity,name,1,entity,function
72,entity,function,2,name,macro
73,entity,macro,3,function,rules
74,entity,rules,4,macro,rust
75,entity,rust,5,rules,null
76,entity,entity,0,null,name
77,entity,name,1,entity,function
78,entity,function,2,name,macro
79,entity,macro,3,function,rust
80,entity,rust,4,macro,null
81,entity,entity,0,null,name
82,entity,name,1,entity,function
83,entity,function,2,name,rust
84,entity,rust,3,function,null
85,entity,entity,0,null,name
86,entity,name,1,entity,module
87,entity,module,2,name,rust
88,entity,rust,3,module,null
89,entity,entity,0,null,name
90,entity,name,1,entity,namespace
91,entity,namespace,2,name,rust
92,entity,rust,3,namespace,null
93,entity,entity,0,null,name
94,entity,name,1,entity,type
95,entity,type,2,name,declaration
96,entity,declaration,3,type,rust
97,entity,rust,4,declaration,null
98,entity,entity,0,null,name
99,entity,name,1,entity,type
100,entity,type,2,name,enum
101,entity,enum,3,type,rust
102,entity,rust,4,enum,null
103,entity,entity,0,null,name
104,entity,name,1,entity,type
105,entity,type,2,name,lifetime
106,entity,lifetime,3,type,rust
107,entity,rust,4,lifetime,null
108,entity,entity,0,null,name
109,entity,name,1,entity,type
110,entity,type,2,name,macro
111,entity,macro,3,type,rust
112,entity,rust,4,macro,null
113,entity,entity,0,null,name
114,entity,name,1,entity,type
115,entity,type,2,name,metavariable
116,entity,metavariable,3,type,rust
117,entity,rust,4,metavariable,null
118,entity,entity,0,null,name
119,entity,name,1,entity,type
120,entity,type,2,name,numeric
121,entity,numeric,3,type,rust
122,entity,rust,4,numeric,null
123,entity,entity,0,null,name
124,entity,name,1,entity,type
125,entity,type,2,name,option
126,entity,option,3,type,rust
127,entity,rust,4,option,null
128,entity,entity,0,null,name
129,entity,name,1,entity,type
130,entity,type,2,name,primitive
131,entity,primitive,3,type,rust
132,entity,rust,4,primitive,null
133,entity,entity,0,null,name
134,entity,name,1,entity,type
135,entity,type,2,name,result
136,entity,result,3,type,rust
137,entity,rust,4,result,null
138,entity,entity,0,null,name
139,entity,name,1,entity,type
140,entity,type,2,name,rust
141,entity,rust,3,type,null
142,entity,entity,0,null,name
143,entity,name,1,entity,type
144,entity,type,2,name,struct
145,entity,struct,3,type,rust
146,entity,rust,4,struct,null
147,entity,entity,0,null,name
148,entity,name,1,entity,type
149,entity,type,2,name,trait
150,entity,trait,3,type,rust
151,entity,rust,4,trait,null
152,keyword,keyword,0,null,control
