id,root,name,layer,parent,children
0,constant,constant,0,null,language
1,constant,language,1,constant,access-type
2,constant,access-type,2,language,sassdoc
3,constant,sassdoc,3,access-type,null
4,constant,constant,0,null,other
5,constant,other,1,constant,email
6,constant,email,2,other,link
7,constant,link,3,email,underline
8,constant,underline,4,link,sassdoc
9,constant,sassdoc,5,underline,null
10,entity,entity,0,null,name
11,entity,name,1,entity,type
12,entity,type,2,name,instance
13,entity,instance,3,type,sassdoc
14,entity,sassdoc,4,instance,null
15,invalid,invalid,0,null,illegal
16,invalid,illegal,1,invalid,syntax
17,invalid,syntax,2,illegal,sassdoc
18,invalid,sassdoc,3,syntax,null
19,invalid,invalid,0,null,illegal
20,invalid,illegal,1,invalid,type
21,invalid,type,2,illegal,sassdoc
22,invalid,sassdoc,3,type,null
23,keyword,keyword,0,null,operator
24,keyword,operator,1,keyword,assignment
25,keyword,assignment,2,operator,sassdoc
26,keyword,sassdoc,3,assignment,null
27,meta,meta,0,null,example
28,meta,example,1,meta,css
29,meta,css,2,example,scss
30,meta,scss,3,css,sassdoc
31,meta,sassdoc,4,scss,null
32,meta,meta,0,null,example
33,meta,example,1,meta,html
34,meta,html,2,example,sassdoc
35,meta,sassdoc,3,html,null
36,meta,meta,0,null,example
37,meta,example,1,meta,js
38,meta,js,2,example,sassdoc
39,meta,sassdoc,3,js,null
40,punctuation,punctuation,0,null,definition
41,punctuation,definition,1,punctuation,block
42,punctuation,block,2,definition,tag
43,punctuation,tag,3,block,sassdoc
44,punctuation,sassdoc,4,tag,null
45,punctuation,punctuation,0,null,definition
46,punctuation,definition,1,punctuation,bracket
47,punctuation,bracket,2,definition,angle
48,punctuation,angle,3,bracket,begin
49,punctuation,begin,4,angle,sassdoc
50,punctuation,sassdoc,5,begin,null
51,punctuation,punctuation,0,null,definition
52,punctuation,definition,1,punctuation,bracket
53,punctuation,bracket,2,definition,angle
54,punctuation,angle,3,bracket,end
55,punctuation,end,4,angle,sassdoc
56,punctuation,sassdoc,5,end,null
57,punctuation,punctuation,0,null,definition
58,punctuation,definition,1,punctuation,bracket
59,punctuation,bracket,2,definition,curly
60,punctuation,curly,3,bracket,begin
61,punctuation,begin,4,curly,sassdoc
62,punctuation,sassdoc,5,begin,null
63,punctuation,punctuation,0,null,definition
64,punctuation,definition,1,punctuation,bracket
65,punctuation,bracket,2,definition,curly
66,punctuation,curly,3,bracket,end
67,punctuation,end,4,curly,sassdoc
68,punctuation,sassdoc,5,end,null
69,punctuation,punctuation,0,null,definition
70,punctuation,definition,1,punctuation,delimiter
71,punctuation,delimiter,2,definition,sassdoc
72,punctuation,sassdoc,3,delimiter,null
73,punctuation,punctuation,0,null,definition
74,punctuation,definition,1,punctuation,optional-value
75,punctuation,optional-value,2,definition,begin
76,punctuation,begin,3,optional-value,bracket
77,punctuation,bracket,4,begin,square
78,punctuation,square,5,bracket,sassdoc
79,punctuation,sassdoc,6,square,null
80,punctuation,punctuation,0,null,definition
81,punctuation,definition,1,punctuation,optional-value
82,punctuation,optional-value,2,definition,end
83,punctuation,end,3,optional-value,bracket
84,punctuation,bracket,4,end,square
85,punctuation,square,5,bracket,sassdoc
86,punctuation,sassdoc,6,square,null
87,source,source,0,null,embedded
88,source,embedded,1,source,css
89,source,css,2,embedded,scss
90,source,scss,3,css,null
91,source,source,0,null,embedded
92,source,embedded,1,source,html
93,source,html,2,embedded,null
94,source,source,0,null,embedded
95,source,embedded,1,source,js
96,source,js,2,embedded,null
97,storage,storage,0,null,type
98,storage,type,1,storage,class
99,storage,class,2,type,sassdoc
100,storage,sassdoc,3,class,null
101,variable,variable,0,null,other
102,variable,other,1,variable,link
103,variable,link,2,other,underline
104,variable,underline,3,link,sassdoc
105,variable,sassdoc,4,underline,null
106,variable,variable,0,null,other
107,variable,other,1,variable,sassdoc
108,variable,sassdoc,2,other,null
