id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,documentation
2,comment,documentation,2,block,scss
3,comment,scss,3,documentation,null
4,comment,comment,0,null,block
5,comment,block,1,comment,scss
6,comment,scss,2,block,null
7,comment,comment,0,null,line
8,comment,line,1,comment,scss
9,comment,scss,2,line,null
10,constant,constant,0,null,character
11,constant,character,1,constant,escape
12,constant,escape,2,character,scss
13,constant,scss,3,escape,null
14,constant,constant,0,null,numeric
15,constant,numeric,1,constant,css
16,constant,css,2,numeric,null
17,constant,constant,0,null,other
18,constant,other,1,constant,scss
19,constant,scss,2,other,null
20,entity,entity,0,null,name
21,entity,name,1,entity,function
22,entity,function,2,name,scss
23,entity,scss,3,function,null
24,entity,entity,0,null,name
25,entity,name,1,entity,namespace-prefix
26,entity,namespace-prefix,2,name,scss
27,entity,scss,3,namespace-prefix,null
28,entity,entity,0,null,name
29,entity,name,1,entity,tag
30,entity,tag,2,name,custom
31,entity,custom,3,tag,scss
32,entity,scss,4,custom,null
33,entity,entity,0,null,name
34,entity,name,1,entity,tag
35,entity,tag,2,name,reference
36,entity,reference,3,tag,scss
37,entity,scss,4,reference,null
38,entity,entity,0,null,name
39,entity,name,1,entity,tag
40,entity,tag,2,name,wildcard
41,entity,wildcard,3,tag,scss
42,entity,scss,4,wildcard,null
43,entity,entity,0,null,other
44,entity,other,1,entity,attribute-name
45,entity,attribute-name,2,other,attribute
46,entity,attribute,3,attribute-name,scss
47,entity,scss,4,attribute,null
48,entity,entity,0,null,other
49,entity,other,1,entity,attribute-name
50,entity,attribute-name,2,other,class
51,entity,class,3,attribute-name,css
52,entity,css,4,class,null
53,entity,entity,0,null,other
54,entity,other,1,entity,attribute-name
55,entity,attribute-name,2,other,id
56,entity,id,3,attribute-name,css
57,entity,css,4,id,null
58,entity,entity,0,null,other
59,entity,other,1,entity,attribute-name
60,entity,attribute-name,2,other,module
61,entity,module,3,attribute-name,scss
62,entity,scss,4,module,null
63,entity,entity,0,null,other
64,entity,other,1,entity,attribute-name
65,entity,attribute-name,2,other,parent-selector-suffix
66,entity,parent-selector-suffix,3,attribute-name,css
67,entity,css,4,parent-selector-suffix,null
68,entity,entity,0,null,other
69,entity,other,1,entity,attribute-name
70,entity,attribute-name,2,other,placeholder
71,entity,placeholder,3,attribute-name,css
72,entity,css,4,placeholder,null
73,entity,entity,0,null,other
74,entity,other,1,entity,attribute-name
75,entity,attribute-name,2,other,pseudo-class
76,entity,pseudo-class,3,attribute-name,css
77,entity,css,4,pseudo-class,null
78,entity,entity,0,null,other
79,entity,other,1,entity,attribute-name
80,entity,attribute-name,2,other,scss
81,entity,scss,3,attribute-name,null
82,invalid,invalid,0,null,illegal
83,invalid,illegal,1,invalid,identifier
84,invalid,identifier,2,illegal,scss
85,invalid,scss,3,identifier,null
86,invalid,invalid,0,null,illegal
87,invalid,illegal,1,invalid,scss
88,invalid,scss,2,illegal,null
89,keyword,keyword,0,null,control
90,keyword,control,1,keyword,at-rule
91,keyword,at-rule,2,control,at-root
92,keyword,at-root,3,at-rule,scss
93,keyword,scss,4,at-root,null
94,keyword,keyword,0,null,control
95,keyword,control,1,keyword,at-rule
96,keyword,at-rule,2,control,charset
97,keyword,charset,3,at-rule,scss
98,keyword,scss,4,charset,null
99,keyword,keyword,0,null,control
100,keyword,control,1,keyword,at-rule
101,keyword,at-rule,2,control,extend
102,keyword,extend,3,at-rule,scss
103,keyword,scss,4,extend,null
104,keyword,keyword,0,null,control
105,keyword,control,1,keyword,at-rule
106,keyword,at-rule,2,control,fontface
107,keyword,fontface,3,at-rule,scss
108,keyword,scss,4,fontface,null
109,keyword,keyword,0,null,control
110,keyword,control,1,keyword,at-rule
111,keyword,at-rule,2,control,forward
112,keyword,forward,3,at-rule,scss
113,keyword,scss,4,forward,null
114,keyword,keyword,0,null,control
115,keyword,control,1,keyword,at-rule
116,keyword,at-rule,2,control,function
117,keyword,function,3,at-rule,scss
118,keyword,scss,4,function,null
119,keyword,keyword,0,null,control
120,keyword,control,1,keyword,at-rule
121,keyword,at-rule,2,control,import
122,keyword,import,3,at-rule,scss
123,keyword,scss,4,import,null
124,keyword,keyword,0,null,control
125,keyword,control,1,keyword,at-rule
126,keyword,at-rule,2,control,include
127,keyword,include,3,at-rule,scss
128,keyword,scss,4,include,null
129,keyword,keyword,0,null,control
130,keyword,control,1,keyword,at-rule
131,keyword,at-rule,2,control,keyframes
132,keyword,keyframes,3,at-rule,scss
133,keyword,scss,4,keyframes,null
134,keyword,keyword,0,null,control
135,keyword,control,1,keyword,at-rule
136,keyword,at-rule,2,control,media
137,keyword,media,3,at-rule,scss
