id,root,name,layer,parent,children
0,comment,comment,0,null,null
1,constant,constant,0,null,character
2,constant,character,1,constant,escape
3,constant,escape,2,character,null
4,constant,constant,0,null,numeric
5,constant,numeric,1,constant,integer
6,constant,integer,2,numeric,null
7,entity,entity,0,null,other
8,entity,other,1,entity,attribute-name
9,entity,attribute-name,2,other,null
10,entity,entity,0,null,other
11,entity,other,1,entity,attribute-value
12,entity,attribute-value,2,other,null
13,invalid,invalid,0,null,illegal
14,invalid,illegal,1,invalid,null
15,keyword,keyword,0,null,operator
16,keyword,operator,1,keyword,word
17,keyword,word,2,operator,search
18,keyword,search,3,word,null
19,keyword,keyword,0,null,other
20,keyword,other,1,keyword,null
21,meta,meta,0,null,header
22,meta,header,1,meta,search
23,meta,search,2,header,null
24,meta,meta,0,null,path
25,meta,path,1,meta,basename
26,meta,basename,2,path,search
27,meta,search,3,basename,null
28,meta,meta,0,null,path
29,meta,path,1,meta,dirname
30,meta,dirname,2,path,search
31,meta,search,3,dirname,null
32,meta,meta,0,null,path
33,meta,path,1,meta,search
34,meta,search,2,path,null
35,meta,meta,0,null,resultBlock
36,meta,resultBlock,1,meta,search
37,meta,search,2,resultBlock,null
38,meta,meta,0,null,resultLine
39,meta,resultLine,1,meta,elision
40,meta,elision,2,resultLine,null
41,meta,meta,0,null,resultLine
42,meta,resultLine,1,meta,multiLine
43,meta,multiLine,2,resultLine,search
44,meta,search,3,multiLine,null
45,meta,meta,0,null,resultLine
46,meta,resultLine,1,meta,search
47,meta,search,2,resultLine,null
48,meta,meta,0,null,resultLine
49,meta,resultLine,1,meta,singleLine
50,meta,singleLine,2,resultLine,search
51,meta,search,3,singleLine,null
52,meta,meta,0,null,resultLinePrefix
53,meta,resultLinePrefix,1,meta,contextLinePrefix
54,meta,contextLinePrefix,2,resultLinePrefix,search
55,meta,search,3,contextLinePrefix,null
56,meta,meta,0,null,resultLinePrefix
57,meta,resultLinePrefix,1,meta,lineNumber
58,meta,lineNumber,2,resultLinePrefix,search
59,meta,search,3,lineNumber,null
60,meta,meta,0,null,resultLinePrefix
61,meta,resultLinePrefix,1,meta,matchLinePrefix
62,meta,matchLinePrefix,2,resultLinePrefix,search
63,meta,search,3,matchLinePrefix,null
64,meta,meta,0,null,resultLinePrefix
65,meta,resultLinePrefix,1,meta,search
66,meta,search,2,resultLinePrefix,null
67,punctuation,punctuation,0,null,separator
68,punctuation,separator,1,punctuation,null
69,string,string,0,null,null
70,string,string,0,null,unquoted
71,string,unquoted,1,string,null
