id,root,name,layer,parent,children
0,comment,comment,0,null,line
1,comment,line,1,comment,double-slash
2,comment,double-slash,2,line,shaderlab
3,comment,shaderlab,3,double-slash,null
4,constant,constant,0,null,numeric
5,constant,numeric,1,constant,shaderlab
6,constant,shaderlab,2,numeric,null
7,keyword,keyword,0,null,other
8,keyword,other,1,keyword,null
9,meta,meta,0,null,attribute
10,meta,attribute,1,meta,shaderlab
11,meta,shaderlab,2,attribute,null
12,meta,meta,0,null,cgblock
13,meta,cgblock,1,meta,null
14,meta,meta,0,null,hlslblock
15,meta,hlslblock,1,meta,null
16,storage,storage,0,null,type
17,storage,type,1,storage,basic
18,storage,basic,2,type,shaderlab
19,storage,shaderlab,3,basic,null
20,storage,storage,0,null,type
21,storage,type,1,storage,structure
22,storage,structure,2,type,shaderlab
23,storage,shaderlab,3,structure,null
24,string,string,0,null,quoted
25,string,quoted,1,string,double
26,string,double,2,quoted,shaderlab
27,string,shaderlab,3,double,null
28,support,support,0,null,class
29,support,class,1,support,structures
30,support,structures,2,class,shaderlab
31,support,shaderlab,3,structures,null
32,support,support,0,null,class
33,support,class,1,support,surface
34,support,surface,2,class,shaderlab
35,support,shaderlab,3,surface,null
36,support,support,0,null,constant
37,support,constant,1,support,property-value
38,support,property-value,2,constant,bindchannels
39,support,bindchannels,3,property-value,shaderlab
40,support,shaderlab,4,bindchannels,null
41,support,support,0,null,constant
42,support,constant,1,support,property-value
43,support,property-value,2,constant,blendfactors
44,support,blendfactors,3,property-value,shaderlab
45,support,shaderlab,4,blendfactors,null
46,support,support,0,null,constant
47,support,constant,1,support,property-value
48,support,property-value,2,constant,blendoperations
49,support,blendoperations,3,property-value,shaderlab
50,support,shaderlab,4,blendoperations,null
51,support,support,0,null,constant
52,support,constant,1,support,property-value
53,support,property-value,2,constant,comparisonfunction
54,support,comparisonfunction,3,property-value,shaderlab
55,support,shaderlab,4,comparisonfunction,null
56,support,support,0,null,constant
57,support,constant,1,support,property-value
58,support,property-value,2,constant,fog
59,support,fog,3,property-value,shaderlab
60,support,shaderlab,4,fog,null
61,support,support,0,null,constant
62,support,constant,1,support,property-value
63,support,property-value,2,constant,shaderlab
64,support,shaderlab,3,property-value,null
65,support,support,0,null,constant
66,support,constant,1,support,property-value
67,support,property-value,2,constant,stenciloperation
68,support,stenciloperation,3,property-value,shaderlab
69,support,shaderlab,4,stenciloperation,null
70,support,support,0,null,constant
71,support,constant,1,support,property-value
72,support,property-value,2,constant,texturecombiners
73,support,texturecombiners,3,property-value,shaderlab
74,support,shaderlab,4,texturecombiners,null
75,support,support,0,null,type
76,support,type,1,support,attributename
77,support,attributename,2,type,shaderlab
78,support,shaderlab,3,attributename,null
79,support,support,0,null,type
80,support,type,1,support,basic
81,support,basic,2,type,shaderlab
82,support,shaderlab,3,basic,null
83,support,support,0,null,type
84,support,type,1,support,propertyname
85,support,propertyname,2,type,shaderlab
86,support,shaderlab,3,propertyname,null
87,support,support,0,null,variable
88,support,variable,1,support,camera
89,support,camera,2,variable,shaderlab
90,support,shaderlab,3,camera,null
91,support,support,0,null,variable
92,support,variable,1,support,declaration
93,support,declaration,2,variable,shaderlab
94,support,shaderlab,3,declaration,null
95,support,support,0,null,variable
96,support,variable,1,support,fog
97,support,fog,2,variable,shaderlab
98,support,shaderlab,3,fog,null
99,support,support,0,null,variable
100,support,variable,1,support,lighting
101,support,lighting,2,variable,shaderlab
102,support,shaderlab,3,lighting,null
103,support,support,0,null,variable
104,support,variable,1,support,preprocessor
105,support,preprocessor,2,variable,platformdifference
106,support,platformdifference,3,preprocessor,shaderlab
107,support,shaderlab,4,platformdifference,null
108,support,support,0,null,variable
109,support,variable,1,support,preprocessor
110,support,preprocessor,2,variable,targetmodel
111,support,targetmodel,3,preprocessor,shaderlab
112,support,shaderlab,4,targetmodel,null
113,support,support,0,null,variable
114,support,variable,1,support,preprocessor
115,support,preprocessor,2,variable,targetplatform
116,support,targetplatform,3,preprocessor,shaderlab
117,support,shaderlab,4,targetplatform,null
118,support,support,0,null,variable
119,support,variable,1,support,preprocessor
120,support,preprocessor,2,variable,texture2D
121,support,texture2D,3,preprocessor,shaderlab
122,support,shaderlab,4,texture2D,null
123,support,support,0,null,variable
124,support,variable,1,support,preprocessor
125,support,preprocessor,2,variable,unityversion
126,support,unityversion,3,preprocessor,shaderlab
127,support,shaderlab,4,unityversion,null
128,support,support,0,null,variable
129,support,variable,1,support,reference
130,support,reference,2,variable,shaderlab
131,support,shaderlab,3,reference,null
132,support,support,0,null,variable
133,support,variable,1,support,time
134,support,time,2,variable,shaderlab
135,support,shaderlab,3,time,null
136,support,support,0,null,variable
137,support,variable,1,support,transformations
138,support,transformations,2,variable,shaderlab
139,support,shaderlab,3,transformations,null
140,support,support,0,null,variable
141,support,variable,1,support,various
142,support,various,2,variable,shaderlab
143,support,shaderlab,3,various,null
