id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,shell
2,comment,shell,2,block,null
3,comment,comment,0,null,line
4,comment,line,1,comment,double-slash
5,comment,double-slash,2,line,shell
6,comment,shell,3,double-slash,null
7,comment,comment,0,null,line
8,comment,line,1,comment,number-sign
9,comment,number-sign,2,line,shell
10,comment,shell,3,number-sign,null
11,constant,constant,0,null,character
12,constant,character,1,constant,escape
13,constant,escape,2,character,ansi-c
14,constant,ansi-c,3,escape,shell
15,constant,shell,4,ansi-c,null
16,constant,constant,0,null,character
17,constant,character,1,constant,escape
18,constant,escape,2,character,control-char
19,constant,control-char,3,escape,shell
20,constant,shell,4,control-char,null
21,constant,constant,0,null,character
22,constant,character,1,constant,escape
23,constant,escape,2,character,hex
24,constant,hex,3,escape,shell
25,constant,shell,4,hex,null
26,constant,constant,0,null,character
27,constant,character,1,constant,escape
28,constant,escape,2,character,line-continuation
29,constant,line-continuation,3,escape,shell
30,constant,shell,4,line-continuation,null
31,constant,constant,0,null,character
32,constant,character,1,constant,escape
33,constant,escape,2,character,octal
34,constant,octal,3,escape,shell
35,constant,shell,4,octal,null
36,constant,constant,0,null,character
37,constant,character,1,constant,escape
38,constant,escape,2,character,shell
39,constant,shell,3,escape,null
40,constant,constant,0,null,language
41,constant,language,1,constant,$0
42,constant,$0,2,language,shell
43,constant,shell,3,$0,null
44,constant,constant,0,null,language
45,constant,language,1,constant,$1
46,constant,$1,2,language,shell
47,constant,shell,3,$1,null
48,constant,constant,0,null,numeric
49,constant,numeric,1,constant,decimal
50,constant,decimal,2,numeric,shell
51,constant,shell,3,decimal,null
52,constant,constant,0,null,numeric
53,constant,numeric,1,constant,hex
54,constant,hex,2,numeric,shell
55,constant,shell,3,hex,null
56,constant,constant,0,null,numeric
57,constant,numeric,1,constant,integer
58,constant,integer,2,numeric,shell
59,constant,shell,3,integer,null
60,constant,constant,0,null,numeric
61,constant,numeric,1,constant,octal
62,constant,octal,2,numeric,shell
63,constant,shell,3,octal,null
64,constant,constant,0,null,numeric
65,constant,numeric,1,constant,other
66,constant,other,2,numeric,shell
67,constant,shell,3,other,null
68,constant,constant,0,null,numeric
69,constant,numeric,1,constant,shell
70,constant,shell,2,numeric,null
71,constant,constant,0,null,numeric
72,constant,numeric,1,constant,version
73,constant,version,2,numeric,shell
74,constant,shell,3,version,null
75,constant,constant,0,null,other
76,constant,other,1,constant,option
77,constant,option,2,other,null
78,constant,constant,0,null,other
79,constant,other,1,constant,option
80,constant,option,2,other,dash
81,constant,dash,3,option,shell
82,constant,shell,4,dash,null
83,constant,constant,0,null,other
84,constant,other,1,constant,option
85,constant,option,2,other,shell
86,constant,shell,3,option,null
87,entity,entity,0,null,name
88,entity,name,1,entity,command
89,entity,command,2,name,null
90,entity,entity,0,null,name
91,entity,name,1,entity,command
92,entity,command,2,name,shell
93,entity,shell,3,command,null
94,entity,entity,0,null,name
95,entity,name,1,entity,function
96,entity,function,2,name,call
97,entity,call,3,function,null
98,entity,entity,0,null,name
99,entity,name,1,entity,function
100,entity,function,2,name,call
101,entity,call,3,function,shell
102,entity,shell,4,call,null
103,entity,entity,0,null,name
104,entity,name,1,entity,function
105,entity,function,2,name,shell
106,entity,shell,3,function,null
107,entity,entity,0,null,other
108,entity,other,1,entity,attribute-name
109,entity,attribute-name,2,other,bracket
110,entity,bracket,3,attribute-name,shell
111,entity,shell,4,bracket,null
112,entity,entity,0,null,other
113,entity,other,1,entity,attribute-name
114,entity,attribute-name,2,other,shell
115,entity,shell,3,attribute-name,null
116,keyword,keyword,0,null,control
117,keyword,control,1,keyword,$0
118,keyword,$0,2,control,shell
119,keyword,shell,3,$0,null
120,keyword,keyword,0,null,control
121,keyword,control,1,keyword,case
122,keyword,case,2,control,shell
123,keyword,shell,3,case,null
124,keyword,keyword,0,null,control
125,keyword,control,1,keyword,esac
126,keyword,esac,2,control,shell
127,keyword,shell,3,esac,null
128,keyword,keyword,0,null,control
129,keyword,control,1,keyword,fi
130,keyword,fi,2,control,shell
131,keyword,shell,3,fi,null
132,keyword,keyword,0,null,control
133,keyword,control,1,keyword,for
134,keyword,for,2,control,shell
135,keyword,shell,3,for,null
136,keyword,keyword,0,null,control
137,keyword,control,1,keyword,if
138,keyword,if,2,control,shell
139,keyword,shell,3,if,null
140,keyword,keyword,0,null,control
141,keyword,control,1,keyword,in
142,keyword,in,2,control,shell
143,keyword,shell,3,in,null
144,keyword,keyword,0,null,control
145,keyword,control,1,keyword,shell
146,keyword,shell,2,control,null
147,keyword,keyword,0,null,control
148,keyword,control,1,keyword,while
149,keyword,while,2,control,shell
150,keyword,shell,3,while,null
151,keyword,keyword,0,null,operator
152,keyword,operator,1,keyword,alternation
153,keyword,alternation,2,operator,ruby
154,keyword,ruby,3,alternation,shell
155,keyword,shell,4,ruby,null
156,keyword,keyword,0,null,operator
157,keyword,operator,1,keyword,arithmetic
158,keyword,arithmetic,2,operator,shell
159,keyword,shell,3,arithmetic,null
160,keyword,keyword,0,null,operator
161,keyword,operator,1,keyword,assignment
162,keyword,assignment,2,operator,compound
163,keyword,compound,3,assignment,shell
164,keyword,shell,4,compound,null
165,keyword,keyword,0,null,operator
166,keyword,operator,1,keyword,assignment
167,keyword,assignment,2,operator,shell
168,keyword,shell,3,assignment,null
169,keyword,keyword,0,null,operator
170,keyword,operator,1,keyword,at
171,keyword,at,2,operator,shell
