id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,documentation
2,comment,documentation,2,block,json
3,comment,json,3,documentation,comments
4,comment,comments,4,json,snippets
5,comment,snippets,5,comments,null
6,comment,comment,0,null,block
7,comment,block,1,comment,json
8,comment,json,2,block,comments
9,comment,comments,3,json,snippets
10,comment,snippets,4,comments,null
11,comment,comment,0,null,line
12,comment,line,1,comment,double-slash
13,comment,double-slash,2,line,js
14,comment,js,3,double-slash,null
15,constant,constant,0,null,character
16,constant,character,1,constant,escape
17,constant,escape,2,character,json
18,constant,json,3,escape,comments
19,constant,comments,4,json,snippets
20,constant,snippets,5,comments,null
21,constant,constant,0,null,language
22,constant,language,1,constant,json
23,constant,json,2,language,comments
24,constant,comments,3,json,snippets
25,constant,snippets,4,comments,null
26,constant,constant,0,null,numeric
27,constant,numeric,1,constant,json
28,constant,json,2,numeric,comments
29,constant,comments,3,json,snippets
30,constant,snippets,4,comments,null
31,constant,constant,0,null,other
32,constant,other,1,constant,option
33,constant,option,2,other,json
34,constant,json,3,option,comments
35,constant,comments,4,json,snippets
36,constant,snippets,5,comments,null
37,custom,custom,0,null,punctuation
38,custom,punctuation,1,custom,section
39,custom,section,2,punctuation,insertion
40,custom,insertion,3,section,bracket
41,custom,bracket,4,insertion,json
42,custom,json,5,bracket,comments
43,custom,comments,6,json,snippets
44,custom,snippets,7,comments,null
45,custom,custom,0,null,punctuation
46,custom,punctuation,1,custom,section
47,custom,section,2,punctuation,insertion
48,custom,insertion,3,section,dollar
49,custom,dollar,4,insertion,brackets
50,custom,brackets,5,dollar,json
51,custom,json,6,brackets,comments
52,custom,comments,7,json,snippets
53,custom,snippets,8,comments,null
54,custom,custom,0,null,punctuation
55,custom,punctuation,1,custom,section
56,custom,section,2,punctuation,insertion
57,custom,insertion,3,section,dollar
58,custom,dollar,4,insertion,simple
59,custom,simple,5,dollar,json
60,custom,json,6,simple,comments
61,custom,comments,7,json,snippets
62,custom,snippets,8,comments,null
63,custom,custom,0,null,punctuation
64,custom,punctuation,1,custom,separator
65,custom,separator,2,punctuation,choice
66,custom,choice,3,separator,json
67,custom,json,4,choice,comments
68,custom,comments,5,json,snippets
69,custom,snippets,6,comments,null
70,custom,custom,0,null,punctuation
71,custom,punctuation,1,custom,separator
72,custom,separator,2,punctuation,colon
73,custom,colon,3,separator,json
74,custom,json,4,colon,comments
75,custom,comments,5,json,snippets
76,custom,snippets,6,comments,null
77,custom,custom,0,null,variable
78,custom,variable,1,custom,other
79,custom,other,2,variable,normal
80,custom,normal,3,other,named
81,custom,named,4,normal,json
82,custom,json,5,named,comments
83,custom,comments,6,json,snippets
84,custom,snippets,7,comments,null
85,custom,custom,0,null,variable
86,custom,variable,1,custom,other
87,custom,other,2,variable,normal
88,custom,normal,3,other,numeric
89,custom,numeric,4,normal,json
90,custom,json,5,numeric,comments
91,custom,comments,6,json,snippets
92,custom,snippets,7,comments,null
93,invalid,invalid,0,null,illegal
94,invalid,illegal,1,invalid,expected-array-separator
95,invalid,expected-array-separator,2,illegal,json
96,invalid,json,3,expected-array-separator,comments
97,invalid,comments,4,json,snippets
98,invalid,snippets,5,comments,null
99,invalid,invalid,0,null,illegal
100,invalid,illegal,1,invalid,expected-dictionary-separator
101,invalid,expected-dictionary-separator,2,illegal,json
102,invalid,json,3,expected-dictionary-separator,comments
103,invalid,comments,4,json,snippets
104,invalid,snippets,5,comments,null
105,invalid,invalid,0,null,illegal
106,invalid,illegal,1,invalid,unrecognized-string-escape
107,invalid,unrecognized-string-escape,2,illegal,json
108,invalid,json,3,unrecognized-string-escape,comments
109,invalid,comments,4,json,snippets
110,invalid,snippets,5,comments,null
111,keyword,keyword,0,null,operator
112,keyword,operator,1,keyword,insertion
113,keyword,insertion,2,operator,json
114,keyword,json,3,insertion,comments
115,keyword,comments,4,json,snippets
116,keyword,snippets,5,comments,null
117,keyword,keyword,0,null,operator
118,keyword,operator,1,keyword,ternary
119,keyword,ternary,2,operator,json
120,keyword,json,3,ternary,comments
121,keyword,comments,4,json,snippets
122,keyword,snippets,5,comments,null
123,keyword,keyword,0,null,other
124,keyword,other,1,keyword,flag
125,keyword,flag,2,other,json
126,keyword,json,3,flag,comments
127,keyword,comments,4,json,snippets
128,keyword,snippets,5,comments,null
129,meta,meta,0,null,any
130,meta,any,1,meta,json
131,meta,json,2,any,comments
132,meta,comments,3,json,snippets
133,meta,snippets,4,comments,null
134,meta,meta,0,null,insertion
135,meta,insertion,1,meta,brackets
136,meta,brackets,2,insertion,json
137,meta,json,3,brackets,comments
138,meta,comments,4,json,snippets
139,meta,snippets,5,comments,null
