id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,null
2,comment,comment,0,null,line
3,comment,line,1,comment,double-dash
4,comment,double-dash,2,line,sql
5,comment,sql,3,double-dash,null
6,constant,constant,0,null,character
7,constant,character,1,constant,escape
8,constant,escape,2,character,slash
9,constant,slash,3,escape,sql
10,constant,sql,4,slash,null
11,constant,constant,0,null,character
12,constant,character,1,constant,escape
13,constant,escape,2,character,sql
14,constant,sql,3,escape,null
15,constant,constant,0,null,numeric
16,constant,numeric,1,constant,sql
17,constant,sql,2,numeric,null
18,constant,constant,0,null,other
19,constant,other,1,constant,database-name
20,constant,database-name,2,other,sql
21,constant,sql,3,database-name,null
22,constant,constant,0,null,other
23,constant,other,1,constant,table-name
24,constant,table-name,2,other,sql
25,constant,sql,3,table-name,null
26,entity,entity,0,null,name
27,entity,name,1,entity,function
28,entity,function,2,name,sql
29,entity,sql,3,function,null
30,keyword,keyword,0,null,operator
31,keyword,operator,1,keyword,comparison
32,keyword,comparison,2,operator,sql
33,keyword,sql,3,comparison,null
34,keyword,keyword,0,null,operator
35,keyword,operator,1,keyword,concatenator
36,keyword,concatenator,2,operator,sql
37,keyword,sql,3,concatenator,null
38,keyword,keyword,0,null,operator
39,keyword,operator,1,keyword,math
40,keyword,math,2,operator,sql
41,keyword,sql,3,math,null
42,keyword,keyword,0,null,operator
43,keyword,operator,1,keyword,star
44,keyword,star,2,operator,sql
45,keyword,sql,3,star,null
46,keyword,keyword,0,null,other
47,keyword,other,1,keyword,DDL
48,keyword,DDL,2,other,create
49,keyword,create,3,DDL,II
50,keyword,II,4,create,sql
51,keyword,sql,5,II,null
52,keyword,keyword,0,null,other
53,keyword,other,1,keyword,DML
54,keyword,DML,2,other,II
55,keyword,II,3,DML,sql
56,keyword,sql,4,II,null
57,keyword,keyword,0,null,other
58,keyword,other,1,keyword,DML
59,keyword,DML,2,other,sql
60,keyword,sql,3,DML,null
61,keyword,keyword,0,null,other
62,keyword,other,1,keyword,LUW
63,keyword,LUW,2,other,sql
64,keyword,sql,3,LUW,null
65,keyword,keyword,0,null,other
66,keyword,other,1,keyword,alias
67,keyword,alias,2,other,sql
68,keyword,sql,3,alias,null
69,keyword,keyword,0,null,other
70,keyword,other,1,keyword,authorization
71,keyword,authorization,2,other,sql
72,keyword,sql,3,authorization,null
73,keyword,keyword,0,null,other
74,keyword,other,1,keyword,cascade
75,keyword,cascade,2,other,sql
76,keyword,sql,3,cascade,null
77,keyword,keyword,0,null,other
78,keyword,other,1,keyword,create
79,keyword,create,2,other,sql
80,keyword,sql,3,create,null
81,keyword,keyword,0,null,other
82,keyword,other,1,keyword,data-integrity
83,keyword,data-integrity,2,other,sql
84,keyword,sql,3,data-integrity,null
85,keyword,keyword,0,null,other
86,keyword,other,1,keyword,object-comments
87,keyword,object-comments,2,other,sql
88,keyword,sql,3,object-comments,null
89,keyword,keyword,0,null,other
90,keyword,other,1,keyword,order
91,keyword,order,2,other,sql
92,keyword,sql,3,order,null
93,keyword,keyword,0,null,other
94,keyword,other,1,keyword,sql
95,keyword,sql,2,other,null
96,keyword,keyword,0,null,other
97,keyword,other,1,keyword,table
98,keyword,table,2,other,sql
99,keyword,sql,3,table,null
100,meta,meta,0,null,alter
101,meta,alter,1,meta,sql
102,meta,sql,2,alter,null
103,meta,meta,0,null,block
104,meta,block,1,meta,sql
105,meta,sql,2,block,null
106,meta,meta,0,null,create
107,meta,create,1,meta,sql
108,meta,sql,2,create,null
109,meta,meta,0,null,drop
110,meta,drop,1,meta,sql
111,meta,sql,2,drop,null
112,punctuation,punctuation,0,null,definition
113,punctuation,definition,1,punctuation,comment
114,punctuation,comment,2,definition,sql
115,punctuation,sql,3,comment,null
116,punctuation,punctuation,0,null,definition
117,punctuation,definition,1,punctuation,string
118,punctuation,string,2,definition,begin
119,punctuation,begin,3,string,sql
120,punctuation,sql,4,begin,null
121,punctuation,punctuation,0,null,definition
122,punctuation,definition,1,punctuation,string
123,punctuation,string,2,definition,end
124,punctuation,end,3,string,sql
125,punctuation,sql,4,end,null
126,punctuation,punctuation,0,null,section
127,punctuation,section,1,punctuation,scope
128,punctuation,scope,2,section,begin
129,punctuation,begin,3,scope,sql
130,punctuation,sql,4,begin,null
131,punctuation,punctuation,0,null,section
132,punctuation,section,1,punctuation,scope
133,punctuation,scope,2,section,end
134,punctuation,end,3,scope,sql
135,punctuation,sql,4,end,null
136,punctuation,punctuation,0,null,whitespace
137,punctuation,whitespace,1,punctuation,comment
138,punctuation,comment,2,whitespace,leading
139,punctuation,leading,3,comment,sql
140,punctuation,sql,4,leading,null
141,storage,storage,0,null,modifier
142,storage,modifier,1,storage,sql
143,storage,sql,2,modifier,null
144,storage,storage,0,null,type
145,storage,type,1,storage,sql
146,storage,sql,2,type,null
147,string,string,0,null,interpolated
148,string,interpolated,1,string,sql
149,string,sql,2,interpolated,null
150,string,string,0,null,other
151,string,other,1,string,quoted
152,string,quoted,2,other,brackets
153,string,brackets,3,quoted,sql
154,string,sql,4,brackets,null
155,string,string,0,null,quoted
156,string,quoted,1,string,double
157,string,double,2,quoted,sql
158,string,sql,3,double,null
159,string,string,0,null,quoted
160,string,quoted,1,string,other
161,string,other,2,quoted,backtick
162,string,backtick,3,other,sql
