id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,documentation
2,comment,documentation,2,block,playground
3,comment,playground,3,documentation,swift
4,comment,swift,4,playground,null
5,comment,comment,0,null,block
6,comment,block,1,comment,documentation
7,comment,documentation,2,block,swift
8,comment,swift,3,documentation,null
9,comment,comment,0,null,block
10,comment,block,1,comment,preprocessor
11,comment,preprocessor,2,block,swift
12,comment,swift,3,preprocessor,null
13,comment,comment,0,null,block
14,comment,block,1,comment,regexp
15,comment,regexp,2,block,null
16,comment,comment,0,null,block
17,comment,block,1,comment,swift
18,comment,swift,2,block,null
19,comment,comment,0,null,line
20,comment,line,1,comment,double-slash
21,comment,double-slash,2,line,documentation
22,comment,documentation,3,double-slash,swift
23,comment,swift,4,documentation,null
24,comment,comment,0,null,line
25,comment,line,1,comment,double-slash
26,comment,double-slash,2,line,swift
27,comment,swift,3,double-slash,null
28,comment,comment,0,null,line
29,comment,line,1,comment,number-sign
30,comment,number-sign,2,line,swift
31,comment,swift,3,number-sign,null
32,comment,comment,0,null,line
33,comment,line,1,comment,regexp
34,comment,regexp,2,line,null
35,comment,comment,0,null,line
36,comment,line,1,comment,triple-slash
37,comment,triple-slash,2,line,documentation
38,comment,documentation,3,triple-slash,swift
39,comment,swift,4,documentation,null
40,constant,constant,0,null,character
41,constant,character,1,constant,character-class
42,constant,character-class,2,character,regexp
43,constant,regexp,3,character-class,null
44,constant,constant,0,null,character
45,constant,character,1,constant,entity
46,constant,entity,2,character,control-character
47,constant,control-character,3,entity,regexp
48,constant,regexp,4,control-character,null
49,constant,constant,0,null,character
50,constant,character,1,constant,escape
51,constant,escape,2,character,backslash
52,constant,backslash,3,escape,regexp
53,constant,regexp,4,backslash,null
54,constant,constant,0,null,character
55,constant,character,1,constant,escape
56,constant,escape,2,character,newline
57,constant,newline,3,escape,swift
58,constant,swift,4,newline,null
59,constant,constant,0,null,character
60,constant,character,1,constant,escape
61,constant,escape,2,character,swift
62,constant,swift,3,escape,null
63,constant,constant,0,null,character
64,constant,character,1,constant,escape
65,constant,escape,2,character,unicode
66,constant,unicode,3,escape,swift
67,constant,swift,4,unicode,null
68,constant,constant,0,null,character
69,constant,character,1,constant,numeric
70,constant,numeric,2,character,regexp
71,constant,regexp,3,numeric,null
72,constant,constant,0,null,language
73,constant,language,1,constant,boolean
74,constant,boolean,2,language,swift
75,constant,swift,3,boolean,null
76,constant,constant,0,null,language
77,constant,language,1,constant,nil
78,constant,nil,2,language,swift
79,constant,swift,3,nil,null
80,constant,constant,0,null,numeric
81,constant,numeric,1,constant,float
82,constant,float,2,numeric,decimal
83,constant,decimal,3,float,swift
84,constant,swift,4,decimal,null
85,constant,constant,0,null,numeric
86,constant,numeric,1,constant,float
87,constant,float,2,numeric,hexadecimal
88,constant,hexadecimal,3,float,swift
89,constant,swift,4,hexadecimal,null
90,constant,constant,0,null,numeric
91,constant,numeric,1,constant,integer
92,constant,integer,2,numeric,binary
93,constant,binary,3,integer,swift
94,constant,swift,4,binary,null
95,constant,constant,0,null,numeric
96,constant,numeric,1,constant,integer
97,constant,integer,2,numeric,decimal
98,constant,decimal,3,integer,regexp
99,constant,regexp,4,decimal,null
100,constant,constant,0,null,numeric
101,constant,numeric,1,constant,integer
102,constant,integer,2,numeric,decimal
103,constant,decimal,3,integer,swift
104,constant,swift,4,decimal,null
105,constant,constant,0,null,numeric
106,constant,numeric,1,constant,integer
107,constant,integer,2,numeric,hexadecimal
108,constant,hexadecimal,3,integer,swift
109,constant,swift,4,hexadecimal,null
110,constant,constant,0,null,numeric
111,constant,numeric,1,constant,integer
112,constant,integer,2,numeric,octal
113,constant,octal,3,integer,swift
114,constant,swift,4,octal,null
115,constant,constant,0,null,numeric
116,constant,numeric,1,constant,integer
117,constant,integer,2,numeric,swift
118,constant,swift,3,integer,null
119,constant,constant,0,null,numeric
120,constant,numeric,1,constant,swift
121,constant,swift,2,numeric,null
122,constant,constant,0,null,other
123,constant,other,1,constant,character-class
124,constant,character-class,2,other,set
125,constant,set,3,character-class,regexp
126,constant,regexp,4,set,null
127,entity,entity,0,null,name
128,entity,name,1,entity,function
129,entity,function,2,name,callout
130,entity,callout,3,function,regexp
131,entity,regexp,4,callout,null
132,entity,entity,0,null,name
133,entity,name,1,entity,function
134,entity,function,2,name,compound-name
135,entity,compound-name,3,function,swift
136,entity,swift,4,compound-name,null
137,entity,entity,0,null,name
138,entity,name,1,entity,function
139,entity,function,2,name,operator
140,entity,operator,3,function,swift
141,entity,swift,4,operator,null
142,entity,entity,0,null,name
143,entity,name,1,entity,function
144,entity,function,2,name,swift
145,entity,swift,3,function,null
