id,root,name,layer,parent,children
0,comment,comment,0,null,block
1,comment,block,1,comment,xml
2,comment,xml,2,block,null
3,constant,constant,0,null,character
4,constant,character,1,constant,entity
5,constant,entity,2,character,xml
6,constant,xml,3,entity,null
7,constant,constant,0,null,character
8,constant,character,1,constant,parameter-entity
9,constant,parameter-entity,2,character,xml
10,constant,xml,3,parameter-entity,null
11,entity,entity,0,null,name
12,entity,name,1,entity,tag
13,entity,tag,2,name,localname
14,entity,localname,3,tag,xml
15,entity,xml,4,localname,null
16,entity,entity,0,null,name
17,entity,name,1,entity,tag
18,entity,tag,2,name,namespace
19,entity,namespace,3,tag,xml
20,entity,xml,4,namespace,null
21,entity,entity,0,null,name
22,entity,name,1,entity,tag
23,entity,tag,2,name,xml
24,entity,xml,3,tag,null
25,entity,entity,0,null,other
26,entity,other,1,entity,attribute-name
27,entity,attribute-name,2,other,localname
28,entity,localname,3,attribute-name,xml
29,entity,xml,4,localname,null
30,entity,entity,0,null,other
31,entity,other,1,entity,attribute-name
32,entity,attribute-name,2,other,namespace
33,entity,namespace,3,attribute-name,xml
34,entity,xml,4,namespace,null
35,entity,entity,0,null,other
36,entity,other,1,entity,attribute-name
37,entity,attribute-name,2,other,xml
38,entity,xml,3,attribute-name,null
39,invalid,invalid,0,null,illegal
40,invalid,illegal,1,invalid,bad-ampersand
41,invalid,bad-ampersand,2,illegal,xml
42,invalid,xml,3,bad-ampersand,null
43,invalid,invalid,0,null,illegal
44,invalid,illegal,1,invalid,bad-comments-or-CDATA
45,invalid,bad-comments-or-CDATA,2,illegal,xml
46,invalid,xml,3,bad-comments-or-CDATA,null
47,keyword,keyword,0,null,other
48,keyword,other,1,keyword,doctype
49,keyword,doctype,2,other,xml
50,keyword,xml,3,doctype,null
51,keyword,keyword,0,null,other
52,keyword,other,1,keyword,entity
53,keyword,entity,2,other,xml
54,keyword,xml,3,entity,null
55,keyword,keyword,0,null,other
56,keyword,other,1,keyword,entitytype
57,keyword,entitytype,2,other,xml
58,keyword,xml,3,entitytype,null
59,keyword,keyword,0,null,other
60,keyword,other,1,keyword,page-props
61,keyword,page-props,2,other,xml
62,keyword,xml,3,page-props,null
63,meta,meta,0,null,internalsubset
64,meta,internalsubset,1,meta,xml
65,meta,xml,2,internalsubset,null
66,meta,meta,0,null,tag
67,meta,tag,1,meta,no-content
68,meta,no-content,2,tag,xml
69,meta,xml,3,no-content,null
70,meta,meta,0,null,tag
71,meta,tag,1,meta,preprocessor
72,meta,preprocessor,2,tag,xml
73,meta,xml,3,preprocessor,null
74,meta,meta,0,null,tag
75,meta,tag,1,meta,sgml
76,meta,sgml,2,tag,doctype
77,meta,doctype,3,sgml,xml
78,meta,xml,4,doctype,null
79,meta,meta,0,null,tag
80,meta,tag,1,meta,xml
81,meta,xml,2,tag,null
82,punctuation,punctuation,0,null,definition
83,punctuation,definition,1,punctuation,comment
84,punctuation,comment,2,definition,xml
85,punctuation,xml,3,comment,null
86,punctuation,punctuation,0,null,definition
87,punctuation,definition,1,punctuation,constant
88,punctuation,constant,2,definition,xml
89,punctuation,xml,3,constant,null
90,punctuation,punctuation,0,null,definition
91,punctuation,definition,1,punctuation,entity
92,punctuation,entity,2,definition,xml
93,punctuation,xml,3,entity,null
94,punctuation,punctuation,0,null,definition
95,punctuation,definition,1,punctuation,string
96,punctuation,string,2,definition,begin
97,punctuation,begin,3,string,xml
98,punctuation,xml,4,begin,null
99,punctuation,punctuation,0,null,definition
100,punctuation,definition,1,punctuation,string
101,punctuation,string,2,definition,end
102,punctuation,end,3,string,xml
103,punctuation,xml,4,end,null
104,punctuation,punctuation,0,null,definition
105,punctuation,definition,1,punctuation,tag
106,punctuation,tag,2,definition,xml
107,punctuation,xml,3,tag,null
108,punctuation,punctuation,0,null,section
109,punctuation,section,1,punctuation,embedded
110,punctuation,embedded,2,section,begin
111,punctuation,begin,3,embedded,xml
112,punctuation,xml,4,begin,null
113,punctuation,punctuation,0,null,section
114,punctuation,section,1,punctuation,embedded
115,punctuation,embedded,2,section,end
116,punctuation,end,3,embedded,xml
117,punctuation,xml,4,end,null
118,punctuation,punctuation,0,null,separator
119,punctuation,separator,1,punctuation,namespace
120,punctuation,namespace,2,separator,xml
121,punctuation,xml,3,namespace,null
122,source,source,0,null,java-props
123,source,java-props,1,source,embedded
124,source,embedded,2,java-props,xml
125,source,xml,3,embedded,null
126,source,source,0,null,java
127,source,java,1,source,embedded
128,source,embedded,2,java,xml
129,source,xml,3,embedded,null
130,string,string,0,null,quoted
131,string,quoted,1,string,double
132,string,double,2,quoted,xml
133,string,xml,3,double,null
134,string,string,0,null,quoted
135,string,quoted,1,string,single
136,string,single,2,quoted,xml
137,string,xml,3,single,null
138,string,string,0,null,unquoted
139,string,unquoted,1,string,cdata
140,string,cdata,2,unquoted,xml
141,string,xml,3,cdata,null
142,variable,variable,0,null,language
143,variable,language,1,variable,documentroot
144,variable,documentroot,2,language,xml
145,variable,xml,3,documentroot,null
146,variable,variable,0,null,language
147,variable,language,1,variable,entity
148,variable,entity,2,language,xml
149,variable,xml,3,entity,null
