id,root,name,layer,parent,children
0,entity,entity,0,null,name
1,entity,name,1,entity,tag
2,entity,tag,2,name,localname
3,entity,localname,3,tag,xml
4,entity,xml,4,localname,null
5,entity,entity,0,null,name
6,entity,name,1,entity,tag
7,entity,tag,2,name,namespace
8,entity,namespace,3,tag,xml
9,entity,xml,4,namespace,null
10,entity,entity,0,null,name
11,entity,name,1,entity,tag
12,entity,tag,2,name,xml
13,entity,xml,3,tag,null
14,entity,entity,0,null,other
15,entity,other,1,entity,attribute-name
16,entity,attribute-name,2,other,localname
17,entity,localname,3,attribute-name,xml
18,entity,xml,4,localname,null
19,entity,entity,0,null,other
20,entity,other,1,entity,attribute-name
21,entity,attribute-name,2,other,namespace
22,entity,namespace,3,attribute-name,xml
23,entity,xml,4,namespace,null
24,entity,entity,0,null,other
25,entity,other,1,entity,attribute-name
26,entity,attribute-name,2,other,xml
27,entity,xml,3,attribute-name,null
28,meta,meta,0,null,tag
29,meta,tag,1,meta,xml
30,meta,xml,2,tag,template
31,meta,template,3,xml,null
32,punctuation,punctuation,0,null,definition
33,punctuation,definition,1,punctuation,string
34,punctuation,string,2,definition,begin
35,punctuation,begin,3,string,xml
36,punctuation,xml,4,begin,null
37,punctuation,punctuation,0,null,definition
38,punctuation,definition,1,punctuation,string
39,punctuation,string,2,definition,end
40,punctuation,end,3,string,xml
41,punctuation,xml,4,end,null
42,punctuation,punctuation,0,null,definition
43,punctuation,definition,1,punctuation,tag
44,punctuation,tag,2,definition,xml
45,punctuation,xml,3,tag,null
46,punctuation,punctuation,0,null,separator
47,punctuation,separator,1,punctuation,namespace
48,punctuation,namespace,2,separator,xml
49,punctuation,xml,3,namespace,null
50,string,string,0,null,quoted
51,string,quoted,1,string,double
52,string,double,2,quoted,xml
53,string,xml,3,double,null
54,string,string,0,null,quoted
55,string,quoted,1,string,single
56,string,single,2,quoted,xml
57,string,xml,3,single,null
