id,root,name,layer,parent,children
0,byte-order-mark,byte-order-mark,0,null,yaml
1,byte-order-mark,yaml,1,byte-order-mark,null
2,comment,comment,0,null,line
3,comment,line,1,comment,number-sign
4,comment,number-sign,2,line,yaml
5,comment,yaml,3,number-sign,null
6,constant,constant,0,null,character
7,constant,character,1,constant,escape
8,constant,escape,2,character,single-quote
9,constant,single-quote,3,escape,yaml
10,constant,yaml,4,single-quote,null
11,constant,constant,0,null,character
12,constant,character,1,constant,escape
13,constant,escape,2,character,unicode
14,constant,unicode,3,escape,16-bit
15,constant,16-bit,4,unicode,yaml
16,constant,yaml,5,16-bit,null
17,constant,constant,0,null,character
18,constant,character,1,constant,escape
19,constant,escape,2,character,unicode
20,constant,unicode,3,escape,32-bit
21,constant,32-bit,4,unicode,yaml
22,constant,yaml,5,32-bit,null
23,constant,constant,0,null,character
24,constant,character,1,constant,escape
25,constant,escape,2,character,unicode
26,constant,unicode,3,escape,8-bit
27,constant,8-bit,4,unicode,yaml
28,constant,yaml,5,8-bit,null
29,constant,constant,0,null,character
30,constant,character,1,constant,escape
31,constant,escape,2,character,yaml
32,constant,yaml,3,escape,null
33,constant,constant,0,null,language
34,constant,language,1,constant,boolean
35,constant,boolean,2,language,yaml
36,constant,yaml,3,boolean,null
37,constant,constant,0,null,language
38,constant,language,1,constant,null
39,constant,null,2,language,yaml
40,constant,yaml,3,null,null
41,constant,constant,0,null,numeric
42,constant,numeric,1,constant,float
43,constant,float,2,numeric,inf
44,constant,inf,3,float,yaml
45,constant,yaml,4,inf,null
46,constant,constant,0,null,numeric
47,constant,numeric,1,constant,float
48,constant,float,2,numeric,nan
49,constant,nan,3,float,yaml
50,constant,yaml,4,nan,null
51,constant,constant,0,null,numeric
52,constant,numeric,1,constant,float
53,constant,float,2,numeric,yaml
54,constant,yaml,3,float,null
55,constant,constant,0,null,numeric
56,constant,numeric,1,constant,indentation-indicator
57,constant,indentation-indicator,2,numeric,yaml
58,constant,yaml,3,indentation-indicator,null
59,constant,constant,0,null,numeric
60,constant,numeric,1,constant,integer
61,constant,integer,2,numeric,decimal
62,constant,decimal,3,integer,yaml
63,constant,yaml,4,decimal,null
64,constant,constant,0,null,numeric
65,constant,numeric,1,constant,integer
66,constant,integer,2,numeric,hexadecimal
67,constant,hexadecimal,3,integer,yaml
68,constant,yaml,4,hexadecimal,null
69,constant,constant,0,null,numeric
70,constant,numeric,1,constant,integer
71,constant,integer,2,numeric,octal
72,constant,octal,3,integer,yaml
73,constant,yaml,4,octal,null
74,constant,constant,0,null,numeric
75,constant,numeric,1,constant,yaml-version
76,constant,yaml-version,2,numeric,yaml
77,constant,yaml,3,yaml-version,null
78,entity,entity,0,null,name
79,entity,name,1,entity,tag
80,entity,tag,2,name,yaml
81,entity,yaml,3,tag,null
82,entity,entity,0,null,other
83,entity,other,1,entity,document
84,entity,document,2,other,begin
85,entity,begin,3,document,yaml
86,entity,yaml,4,begin,null
87,entity,entity,0,null,other
88,entity,other,1,entity,document
89,entity,document,2,other,end
90,entity,end,3,document,yaml
91,entity,yaml,4,end,null
92,invalid,invalid,0,null,illegal
93,invalid,illegal,1,invalid,bom
94,invalid,bom,2,illegal,yaml
95,invalid,yaml,3,bom,null
96,invalid,invalid,0,null,illegal
97,invalid,illegal,1,invalid,character
98,invalid,character,2,illegal,uri
99,invalid,uri,3,character,yaml
100,invalid,yaml,4,uri,null
101,invalid,invalid,0,null,illegal
102,invalid,illegal,1,invalid,character
103,invalid,character,2,illegal,yaml
104,invalid,yaml,3,character,null
105,invalid,invalid,0,null,illegal
106,invalid,illegal,1,invalid,constant
