id,root,name,layer,parent,children
0,comment,comment,0,null,line
1,comment,line,1,comment,number-sign
2,comment,number-sign,2,line,yaml
3,comment,yaml,3,number-sign,null
4,constant,constant,0,null,character
5,constant,character,1,constant,escape
6,constant,escape,2,character,double-quoted
7,constant,double-quoted,3,escape,newline
8,constant,newline,4,double-quoted,yaml
9,constant,yaml,5,newline,null
10,constant,constant,0,null,character
11,constant,character,1,constant,escape
12,constant,escape,2,character,single-quoted
13,constant,single-quoted,3,escape,yaml
14,constant,yaml,4,single-quoted,null
15,constant,constant,0,null,character
16,constant,character,1,constant,escape
17,constant,escape,2,character,yaml
18,constant,yaml,3,escape,null
19,constant,constant,0,null,language
20,constant,language,1,constant,boolean
21,constant,boolean,2,language,yaml
22,constant,yaml,3,boolean,null
23,constant,constant,0,null,language
24,constant,language,1,constant,merge
25,constant,merge,2,language,yaml
26,constant,yaml,3,merge,null
27,constant,constant,0,null,language
28,constant,language,1,constant,null
29,constant,null,2,language,yaml
30,constant,yaml,3,null,null
31,constant,constant,0,null,language
32,constant,language,1,constant,value
33,constant,value,2,language,yaml
34,constant,yaml,3,value,null
35,constant,constant,0,null,numeric
36,constant,numeric,1,constant,float
37,constant,float,2,numeric,yaml
38,constant,yaml,3,float,null
39,constant,constant,0,null,numeric
40,constant,numeric,1,constant,indentation-indicator
41,constant,indentation-indicator,2,numeric,yaml
42,constant,yaml,3,indentation-indicator,null
43,constant,constant,0,null,numeric
44,constant,numeric,1,constant,integer
45,constant,integer,2,numeric,yaml
46,constant,yaml,3,integer,null
47,constant,constant,0,null,numeric
48,constant,numeric,1,constant,yaml-version
49,constant,yaml-version,2,numeric,yaml
50,constant,yaml,3,yaml-version,null
51,constant,constant,0,null,other
52,constant,other,1,constant,timestamp
53,constant,timestamp,2,other,yaml
54,constant,yaml,3,timestamp,null
55,entity,entity,0,null,name
56,entity,name,1,entity,tag
57,entity,tag,2,name,yaml
58,entity,yaml,3,tag,null
59,entity,entity,0,null,name
60,entity,name,1,entity,type
61,entity,type,2,name,anchor
62,entity,anchor,3,type,yaml
63,entity,yaml,4,anchor,null
64,entity,entity,0,null,other
65,entity,other,1,entity,document
66,entity,document,2,other,begin
67,entity,begin,3,document,yaml
68,entity,yaml,4,begin,null
69,entity,entity,0,null,other
70,entity,other,1,entity,document
71,entity,document,2,other,end
72,entity,end,3,document,yaml
73,entity,yaml,4,end,null
74,invalid,invalid,0,null,illegal
75,invalid,illegal,1,invalid,character
76,invalid,character,2,illegal,anchor
77,invalid,anchor,3,character,yaml
78,invalid,yaml,4,anchor,null
79,invalid,invalid,0,null,illegal
80,invalid,illegal,1,invalid,expected-comment-or-newline
81,invalid,expected-comment-or-newline,2,illegal,yaml
82,invalid,yaml,3,expected-comment-or-newline,null
83,invalid,invalid,0,null,illegal
84,invalid,illegal,1,invalid,expected-newline
85,invalid,expected-newline,2,illegal,yaml
86,invalid,yaml,3,expected-newline,null
87,invalid,invalid,0,null,illegal
88,invalid,illegal,1,invalid,tag-handle
89,invalid,tag-handle,2,illegal,yaml
90,invalid,yaml,3,tag-handle,null
91,invalid,invalid,0,null,illegal
92,invalid,illegal,1,invalid,unrecognized
93,invalid,unrecognized,2,illegal,yaml
94,invalid,yaml,3,unrecognized,null
95,keyword,keyword,0,null,control
96,keyword,control,1,keyword,flow
97,keyword,flow,2,control,alias
98,keyword,alias,3,flow,yaml
99,keyword,yaml,4,alias,null
100,keyword,keyword,0,null,control
101,keyword,control,1,keyword,flow
102,keyword,flow,2,control,block-scalar
103,keyword,block-scalar,3,flow,folded
104,keyword,folded,4,block-scalar,yaml
105,keyword,yaml,5,folded,null
106,keyword,keyword,0,null,control
107,keyword,control,1,keyword,flow
108,keyword,flow,2,control,block-scalar
109,keyword,block-scalar,3,flow,literal
110,keyword,literal,4,block-scalar,yaml
111,keyword,yaml,5,literal,null
112,keyword,keyword,0,null,control
113,keyword,control,1,keyword,property
114,keyword,property,2,control,anchor
115,keyword,anchor,3,property,yaml
116,keyword,yaml,4,anchor,null
117,keyword,keyword,0,null,other
118,keyword,other,1,keyword,directive
119,keyword,directive,2,other,tag
120,keyword,tag,3,directive,yaml
121,keyword,yaml,4,tag,null
122,keyword,keyword,0,null,other
123,keyword,other,1,keyword,directive
124,keyword,directive,2,other,yaml
125,keyword,yaml,3,directive,yaml
126,keyword,yaml,4,yaml,null
127,meta,meta,0,null,block-mapping
128,meta,block-mapping,1,meta,yaml
129,meta,yaml,2,block-mapping,null
130,meta,meta,0,null,directive
131,meta,directive,1,meta,yaml
132,meta,yaml,2,directive,null
133,meta,meta,0,null,flow-mapping
134,meta,flow-mapping,1,meta,yaml
135,meta,yaml,2,flow-mapping,null
136,meta,meta,0,null,flow-pair
137,meta,flow-pair,1,meta,explicit
138,meta,explicit,2,flow-pair,yaml
